geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,Alicante_hdbscan_5_5
POINT (-0.4285691 38.3672123),,,pharmacy,,pharmacy,,,Calle de Maruja Pastor,7,3540.0,,Fe María Ballestero Ferrer y Arantzazu Grediaga Ballestero,,-0.4285691,38.3672123,-1
POINT (-0.4327739 38.3659949),,,pharmacy,,pharmacy,,,,,,,,,-0.4327739,38.3659949,41
POINT (-0.4317022 38.363614),Mercadona,supermarket,,,,,,,,,Mercadona,,,-0.4317022,38.363614,-1
POINT (-0.4127324 38.3728668),Hotel Castilla,,,hotel,,,,,,,,,,-0.4127324,38.3728668,-1
POINT (-0.4795226 38.3481957),Mirador del castillo,,,viewpoint,,,,,,,,,,-0.4795226,38.3481957,-1
POINT (-0.4876266 38.3407886),Biblioteca Gabriel Miró,,library,,,,,,,,,Fundación CAM,,-0.4876266,38.3407886,-1
POINT (-0.4650551 38.3628089),Burger King,,fast_food,,,,,,,,Burger King,,burger,-0.4650551,38.3628089,55
POINT (-0.4627947 38.3636439),colegio Teresianas,,school,,,,,,,,,,,-0.4627947,38.3636439,55
POINT (-0.4691607 38.3666165),Carrefour,supermarket,,,,,,Jose Luis Garcia Selles,,3015.0,Carrefour,,,-0.4691607,38.3666165,70
POINT (-0.4796001 38.3454876),Museo Bellas Artes Gravina,,,museum,,,,Calle Gravina,13,3002.0,,,,-0.4796001,38.3454876,-1
POINT (-0.4875089 38.351689),,,pharmacy,,pharmacy,,,,,,,,,-0.4875089,38.351689,-1
POINT (-0.4798691 38.3466046),,,school,,,,,,,,,,,-0.4798691,38.3466046,-1
POINT (-0.4804366 38.3466942),Museo del Agua - Los Pozos de Garrigós,,,museum,,,,,,,,,,-0.4804366,38.3466942,-1
POINT (-0.4798209 38.3556864),,,bank,,,,,,,,,,,-0.4798209,38.3556864,-1
POINT (-0.4795002 38.3546278),,,post_office,,,,,,,,,,,-0.4795002,38.3546278,-1
POINT (-0.4833981 38.3526493),Valencia 11,,restaurant,,,,,,,,,,,-0.4833981,38.3526493,-1
POINT (-0.468365 38.3598232),casa Salvi,,restaurant,,,,,,,,,,,-0.468365,38.3598232,-1
POINT (-0.4802513 38.3617135),Mercadona,supermarket,,,,,,,,,Mercadona,,,-0.4802513,38.3617135,81
POINT (-0.47971 38.3624904),,,post_office,,,,,,,,,,,-0.47971,38.3624904,-1
POINT (-0.4289221 38.362741),Supercor,supermarket,,,,,,,,,Supercor,,,-0.4289221,38.362741,-1
POINT (-0.4594944 38.3678908),Renault Automoviles Gomis,car,,,,,,,,,Renault,,,-0.4594944,38.3678908,-1
POINT (-0.4574946 38.3694049),Luz Garden,lighting,,,,,,,,,,,,-0.4574946,38.3694049,51
POINT (-0.4243018 38.3674563),Apedales,bicycle,,,,,,,,,,,,-0.4243018,38.3674563,34
POINT (-0.5400782 38.3415623),Mercalicante,wholesale,,,,,,,,,,,,-0.5400782,38.3415623,-1
POINT (-0.4650035 38.3701678),Parque Comercial Vistahermosa,mall,,,,,,,,,,,,-0.4650035,38.3701678,46
POINT (-0.4680452 38.3704654),Leroy Merlin,doityourself,,,,,,,,,Leroy Merlin,,,-0.4680452,38.3704654,-1
POINT (-0.4683767 38.3644006),,,pub,,,,,,,,,,,-0.4683767,38.3644006,69
POINT (-0.4864956 38.3379544),Panoramis,mall,,,,,,,,,,,,-0.4864956,38.3379544,-1
POINT (-0.4308318 38.3660534),Torre Mauro,,restaurant,,,,,,,,,,,-0.4308318,38.3660534,-1
POINT (-0.4700606 38.3699207),Salones Juan XXIII,,restaurant,,,,,,,,,,,-0.4700606,38.3699207,-1
POINT (-0.4919222 38.3691052),,,cafe,,,,,,,,,,,-0.4919222,38.3691052,-1
POINT (-0.4311114 38.3656993),Correos,,post_office,,,,,,,,,,,-0.4311114,38.3656993,-1
POINT (-0.465327 38.3697802),Burger King,,fast_food,,,,,,,,Burger King,,burger,-0.465327,38.3697802,46
POINT (-0.494505 38.3468766),restaurante astorga,,restaurant,,,,,,,,,,,-0.494505,38.3468766,-1
POINT (-0.4943209 38.3458184),desconocido,,,hotel,,,,,,,,,,-0.4943209,38.3458184,102
POINT (-0.4942852 38.3448704),Rodríguez Clavel,,pharmacy,,pharmacy,,,,,,,,,-0.4942852,38.3448704,102
POINT (-0.4942354 38.3448865),Azul Marino,optician,,,,,,,,,,,,-0.4942354,38.3448865,102
POINT (-0.4933563 38.3441723),Centro Salud Asisa,,doctors,,doctor,,,,,,,,,-0.4933563,38.3441723,102
POINT (-0.4724387 38.3631084),,kiosk,,,,,,,,,,,,-0.4724387,38.3631084,73
POINT (-0.4696366 38.3672564),Primark,clothes,,,,,,José Luis Garcia Selles,,3015.0,Primark,,,-0.4696366,38.3672564,70
POINT (-0.467404 38.362757),,,pub,,,,,,,,,,,-0.467404,38.362757,69
POINT (-0.4334877 38.3686514),Restaurante Baeza & Rufete,,restaurant,,,,,Avenida de Ansaldo,31,3540.0,,,regional,-0.4334877,38.3686514,28
POINT (-0.4304898 38.3629134),La Tagliatella,,restaurant,,,,,,,,,,italian,-0.4304898,38.3629134,-1
POINT (-0.4351289 38.3690009),peluquería Iniesta,hairdresser,,,,,,,,,,,,-0.4351289,38.3690009,27
POINT (-0.435038 38.3688856),,florist,,,,,,,,,,,,-0.435038,38.3688856,27
POINT (-0.4349943 38.3688279),,hairdresser,,,,,,,,,,,,-0.4349943,38.3688279,27
POINT (-0.4348772 38.3687039),cervecería Max,,restaurant,,,,,,,,,,,-0.4348772,38.3687039,27
POINT (-0.4347227 38.3685288),cervecería Continental,,pub,,,,,,,,,,,-0.4347227,38.3685288,27
POINT (-0.4340623 38.3676487),La espiga de oro,bakery,,,,,,,,,,,,-0.4340623,38.3676487,37
POINT (-0.4340367 38.3676065),papelería Jover,stationery,,,,,,,,,,,,-0.4340367,38.3676065,37
POINT (-0.4340081 38.3675704),peluquería Sonia Valero,hairdresser,,,,,,,,,,,,-0.4340081,38.3675704,37
POINT (-0.4339871 38.3675389),inmobiliaria Arias,estate_agent,,,,,,,,,,,,-0.4339871,38.3675389,37
POINT (-0.4337621 38.3672383),,,veterinary,,,,,,,,,,,-0.4337621,38.3672383,37
POINT (-0.4336995 38.367172),Mar abierto,clothes,,,,,,,,,,,,-0.4336995,38.367172,37
POINT (-0.4336258 38.3670778),Café el paseo,,cafe,,,,,,,,,,,-0.4336258,38.3670778,37
POINT (-0.4332607 38.3666114),Noe,clothes,,,,,,,,,,,,-0.4332607,38.3666114,-1
POINT (-0.4330619 38.3663406),Expendidura nº 50,tobacco,,,,,,,,,,,,-0.4330619,38.3663406,-1
POINT (-0.4328683 38.3661025),La boutique del descanso,bed,,,,,,,,,,,,-0.4328683,38.3661025,41
POINT (-0.4327223 38.365914),Banco de Valencia,,bank,,,,,,,,,,,-0.4327223,38.365914,41
POINT (-0.4326188 38.3657873),Reale,,,,,insurance,,,,,Reale,,,-0.4326188,38.3657873,41
POINT (-0.4325498 38.3657078),El castell,kiosk,,,,,,,,,,,,-0.4325498,38.3657078,41
POINT (-0.4324978 38.3656355),pastelería panadería la espiga de oro,convenience,,,,,,,,,,,,-0.4324978,38.3656355,41
POINT (-0.4324418 38.3655585),Electrodomésticos Expert,electronics,,,,,,,,,,,,-0.4324418,38.3655585,41
POINT (-0.4322083 38.3654754),L'arruz,,restaurant,,,,,,,,,,,-0.4322083,38.3654754,41
POINT (-0.4313128 38.3655913),,clothes,,,,,,,,,,,,-0.4313128,38.3655913,-1
POINT (-0.4290554 38.3665208),Nácara,,cafe,,,,,,,,,,,-0.4290554,38.3665208,38
POINT (-0.4289624 38.3665774),óptica Visual 20,optician,,,,,,,,,,,,-0.4289624,38.3665774,38
POINT (-0.4287264 38.3666636),ferretería Brico-Lloret,hardware,,,,,,,,,,,,-0.4287264,38.3666636,38
POINT (-0.4285094 38.3667471),clínica dental Arancia,,clinic,,dentist,,,,,,,,,-0.4285094,38.3667471,38
POINT (-0.4284465 38.3670076),,,clinic,,dentist,,,,,,,,,-0.4284465,38.3670076,-1
POINT (-0.4280989 38.3672747),Sketch,,cafe,,,,,,,,,,,-0.4280989,38.3672747,-1
POINT (-0.427959 38.36734),Bombón,,cafe,,,,,,,,,,,-0.427959,38.36734,36
POINT (-0.4276548 38.3674541),peluquería caballeros,hairdresser,,,,,,,,,,,,-0.4276548,38.3674541,36
