Segment,Unnamed: 0,param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,shop_rel_bakery,shop_rel_hairdresser,amenity_rel_restaurant,amenity_rel_pub,amenity_rel_school,amenity_rel_pharmacy,amenity_rel_bank,amenity_rel_atm,amenity_rel_post_office,amenity_rel_community_centre,amenity_rel_bar,amenity_rel_clinic,shop_rel_gift,shop_rel_books,amenity_rel_cafe,shop_rel_electronics,shop_rel_shoes,amenity_rel_bureau_de_change,amenity_rel_fast_food,shop_rel_laundry,shop_rel_convenience,shop_rel_greengrocer,shop_rel_tobacco,amenity_rel_dentist,amenity_rel_language_school,shop_rel_hardware,shop_rel_supermarket,amenity_rel_veterinary,shop_rel_beauty,shop_rel_clothes,shop_rel_telecommunication,shop_rel_vacant,amenity_rel_events_venue,amenity_rel_hospital,amenity_rel_university,amenity_rel_library,amenity_rel_charging_station,amenity_rel_doctors,amenity_rel_theatre,amenity_rel_post_box,shop_rel_newsagent,shop_rel_deli,shop_rel_jewelry,shop_rel_butcher,shop_rel_lottery,shop_rel_computer,shop_rel_bag,shop_rel_optician,shop_rel_fashion_accessories,shop_rel_chocolate,shop_rel_sports,shop_rel_watches,shop_rel_mobile_phone_accessories,amenity_rel_car_rental,amenity_rel_college,shop_rel_kiosk,shop_rel_ticket,amenity_rel_taxi,shop_rel_bicycle,shop_rel_haberdashery,shop_rel_confectionery,shop_rel_mall,shop_rel_travel_agency,shop_rel_outdoor,shop_rel_car,shop_rel_garden_centre,shop_rel_variety_store,shop_rel_furniture,shop_rel_car_repair,shop_rel_seafood,shop_rel_florist,shop_rel_interior_decoration,shop_rel_pastry,shop_rel_herbalist,shop_rel_department_store,shop_rel_cosmetics,shop_rel_appliance,shop_rel_stationery,amenity_rel_cinema,shop_rel_medical_supply,shop_rel_dry_cleaning,shop_rel_printer_ink,shop_rel_mobile_phone,shop_rel_frozen_food,amenity_rel_fountain,shop_rel_doityourself,shop_rel_storage_rental,shop_rel_toys,shop_rel_curtain,shop_rel_bed,shop_rel_tea,shop_rel_pet,shop_rel_perfumery,shop_rel_yes,shop_rel_wholesale,shop_rel_pet_grooming,amenity_rel_biergarten,shop_rel_collector,shop_rel_trade,amenity_rel_parcel_locker,shop_rel_nuts,shop_rel_houseware,shop_rel_fabric,shop_rel_glaziery,shop_rel_kitchen,shop_rel_fishing,shop_rel_coffee,shop_rel_video_games,shop_rel_doors,shop_rel_locksmith,shop_rel_paint,shop_rel_household_linen,shop_rel_copyshop,amenity_rel_workshop,shop_rel_craft,shop_rel_carpet,shop_rel_party,amenity_rel_exhibition_centre,amenity_rel_conference_centre,shop_rel_second_hand,shop_rel_window_blind,shop_rel_motorcycle_repair,shop_rel_motorcycle,shop_rel_cannabis,shop_rel_cheese,shop_rel_hearing_aids,shop_rel_food,shop_rel_baby_goods,shop_rel_hairdresser_supply,shop_rel_sewing,shop_rel_photo,shop_rel_general,shop_rel_shoe_repair,shop_rel_fuel,shop_rel_money_lender,shop_rel_bookmaker,shop_rel_nutrition_supplements,amenity_rel_money_transfer,shop_rel_frame,shop_rel_car_parts,shop_rel_tyres,shop_rel_tattoo,amenity_rel_arts_centre,shop_rel_massage,shop_rel_chemist,shop_rel_alcohol,shop_rel_ice_cream,shop_rel_hairdresser;pet,shop_rel_bathroom_furnishing,shop_rel_health_food,shop_rel_windows,shop_rel_wine,amenity_rel_parking,shop_rel_tailor,shop_rel_estate_agent,shop_rel_beverages,shop_rel_shutters,shop_rel_optician;hearing_aids,shop_rel_doityourself;sewing,shop_rel_art,shop_rel_dairy,shop_rel_games,shop_rel_esoteric,shop_rel_video,shop_rel_religion,shop_rel_farm,amenity_rel_car_sharing,shop_rel_electrical,shop_rel_indian_food,shop_rel_leather,shop_rel_gas,shop_rel_hifi,amenity_rel_sop,shop_rel_grocery,amenity_rel_post_depot,amenity_rel_social_facility,shop_rel_e-cigarette,shop_rel_model,shop_rel_eggs,amenity_rel_marketplace,shop_rel_repair,shop_rel_radiotechnics,amenity_rel_car_wash,shop_rel_nails,shop_rel_charity,shop_rel_spices,amenity_rel_bicycle_repair_station,shop_rel_flooring,shop_rel_musical_instrument,shop_rel_lighting,shop_rel_music,shop_rel_gold_buyer,amenity_rel_ice_cream,shop_rel_outpost,shop_rel_pawnbroker,shop_rel_pottery,shop_rel_clothes;secondhand,shop_rel_wigs,shop_rel_agrarian,shop_rel_tiles,shop_rel_kitchen;bathroom_furnishing,amenity_rel_place_of_worship,amenity_rel_music_venue,amenity_rel_studio,shop_rel_accessories,shop_rel_weapons,shop_rel_hairdesser,shop_rel_boutique,shop_rel_energy,amenity_rel_coworking_space,shop_rel_erotic,shop_rel_antiques,shop_rel_orthopaedics,amenity_rel_gambling,amenity_rel_casino,shop_rel_CCG,shop_rel_wedding,shop_rel_spy,shop_rel_signs,amenity_rel_driving_school,shop_rel_printing,shop_rel_variety,amenity_rel_prep_school,shop_rel_plant_shop,amenity_rel_bicycle_rental,shop_rel_fireplace,shop_rel_rental,shop_rel_camera,shop_rel_hair extensions,amenity_rel_retail,amenity_rel_student_accommodation,geometry,population,av_age,percent_65,pp_income,male_rate,pop_buffer,has_Dia,has_Burger King,has_Mercadona,has_Ahorramás,has_Carrefour,has_Rodilla,has_McDonald's,has_Vips,has_100 Montaditos,has_Supercor,has_Alcampo,has_Telepizza,has_Lidl,has_Starbucks,has_Malvón,has_Domino's,has_Marco Aldany,has_Orange,has_Ginos,has_Granier,has_La Sirena,has_KFC,has_ALDI,has_Vitaldent,has_Foster's Hollywood,has_Mango,has_Vodafone,has_Movistar,has_Opticalia,has_Multiópticas,has_Lizarrán,has_Papa John's,has_Zara,trains_metro,trains_metro_in_buffer,bus,bus_in_buffer
Verkehr,42,madrid_hdbscan_5_5,42,6,-3.678342165204125,40.48600658512672,-3.6783998,40.48599360538015,2.8777788000019566e-06,2084941.344343742,0.000800519275994,0.0011674757795703,0.0006702987584458,0.0004945111446946,Yes,,,,,,,,,,,,,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167,,,,,,,,0.5,,,,,,,,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.6785965 40.4853822, -3.6793233 40.4863476, -3.6782031 40.4867862, -3.6772736 40.4855363, -3.6785965 40.4853822))",19.0,41.59,18.63,13516.56,88.1,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shopping,67,madrid_hdbscan_5_5,67,86,-3.5979763988372087,40.36838251744186,-3.59797685,40.36840595,6.345786900010375e-06,13552298.770048425,0.000693950313172,0.0017332640846913,0.0006675316228889,0.0004649325380404,Yes,,,0.047,,,0.023,0.012,0.023,,,,,,,0.012,0.012,0.116,,0.093,,,,,,,,,,,0.372,,,,,,,,,,,,,0.07,,,,,0.035,,,0.023,,,,,,,0.023,,,,,,,,,,,,,,0.012,,,,0.035,,,0.012,,,,0.023,,,,,0.023,,0.012,,,,,,,,,,,,,,,,,0.012,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.5986733 40.366834, -3.5990268 40.3670038, -3.59916 40.3684171, -3.598934 40.3686643, -3.5984018 40.3690379, -3.5981186 40.3691357, -3.5976748 40.3691197, -3.597323 40.3690919, -3.596968 40.3689922, -3.5967348 40.3688621, -3.5965558 40.36874, -3.5964932 40.3686461, -3.596403 40.3684116, -3.5986733 40.366834))",71.0,35.1,5.1,18023.0,88.1,1359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
Local,100,madrid_hdbscan_5_5,100,18,-3.619176183308061,40.38015023365299,-3.61918725,40.3801769,2.974821415515674e-06,6050783.3869011495,0.0004885296500187,0.0011793106635064,0.0003832566136395,0.0004377741566473,Yes,,,0.056,,,0.056,0.111,,,,,,,,0.056,,,,,0.056,,0.167,,0.056,,,0.056,,,,,,,0.056,,,,,,,,,,0.056,,,,0.056,,,,,,,,,,,,,,,,,,,,,,0.056,0.056,,,,,,,,,,,,,,,,,,,,,,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.6190494 40.379382, -3.6202616 40.3796891, -3.619297999545099 40.38101750575376, -3.6185457 40.3808106, -3.6184427 40.3806025, -3.6190494 40.379382))",556.0,44.23,21.54,11477.41,88.1,6269.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
Mixed,148,madrid_hdbscan_5_5,148,6,-3.6701934608504,40.51141096323809,-3.67001475,40.5114027,1.48847881115492e-06,4030960.9750807015,0.0006374789553192,0.0009217749783819,0.0005798686767315,0.0003097167185137,No,,,0.667,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.669619765102401 40.51091217942859, -3.6711103 40.5113157, -3.6702707 40.5119108, -3.6696293 40.5115941, -3.669619765102401 40.51091217942859))",16.0,33.3,5.2,26407.0,88.1,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
Verkehr,161,madrid_hdbscan_5_5,161,8,-3.63666922822146,40.44775096185775,-3.6365075324806817,40.447833482371,4.440786419968381e-06,1801482.7202738924,0.0012738725096878,0.0034030137902943,0.0016124764171222,0.0002746392325295,No,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.6365321 40.4472773, -3.6400622 40.4480122, -3.6347356 40.448111, -3.634867873982607 40.447874784601126, -3.6365321 40.4472773))",72.0,45.26,21.58,28611.94,88.1,983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Local,169,madrid_hdbscan_5_5,169,34,-3.616617798062265,40.42741572208433,-3.6162982,40.42743215,1.5600589173112614e-05,2179404.8687980645,0.0010165461333546,0.0028978414047304,0.0010088754554947,0.0006062682883732,Yes,,,0.029,0.029,0.088,0.118,0.118,,,,0.029,,,,0.118,,0.029,,,,0.029,0.029,0.029,,,,0.029,0.029,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,,,,,,,0.029,,,,,,,,0.029,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.617212847795128 40.42602620952277, -3.6195064 40.4271845, -3.6184172 40.4280246, -3.6163061 40.4292031, -3.614595752533585 40.428495761002516, -3.6153391 40.4272321, -3.617212847795128 40.42602620952277))",1604.0,40.99,14.6,9834.94,88.1,8873.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,11.0
Local,176,madrid_hdbscan_5_5,176,9,-3.6616007111111113,40.481380977777775,-3.6614251,40.4813784,1.8768718500044231e-06,4795212.843103161,0.0005946299820505,0.0014733380865513,0.0006948447923328,0.0002505268616236,Yes,0.111,0.222,0.222,,,,,,,,,,,,0.222,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.6625795 40.4809979, -3.6630561 40.4811517, -3.661103 40.4818414, -3.660831 40.4813581, -3.6610581 40.481115, -3.6625795 40.4809979))",240.0,43.41,16.47,18208.12,88.1,4584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Local,180,madrid_hdbscan_5_5,180,17,-3.666174921698196,40.48089644245532,-3.6661952,40.4810051,7.593639920103602e-06,2238715.580257335,0.0009905310858376,0.002217112294607,0.0007837741389929,0.0007799891098983,Yes,0.059,,0.118,,0.118,0.059,0.118,,,,,,,,0.059,,,,,,0.118,,,,,,,,,0.059,,,,,,,,,,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.6673598 40.4797011, -3.667362861632598 40.47982375947689, -3.6670833 40.4806212, -3.6667047 40.4811475, -3.6661952 40.4816944, -3.6652875 40.4822846, -3.6645221 40.4823742, -3.6652111 40.4807413, -3.665985906941382 40.4802308562413, -3.6673598 40.4797011))",634.0,46.85,27.84,26868.22,88.1,6396.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0
Shopping,227,madrid_hdbscan_5_5,227,64,-3.763771073257144,40.38611772198689,-3.7637565,40.38610115,3.585710069996833e-06,17848626.562285475,0.00047624109802,0.0014799481240416,0.0003530206645784,0.0003955301975974,Yes,,0.031,0.031,0.016,,0.016,,0.016,,,0.016,,,,,,0.031,,0.062,,,0.016,,0.016,,,0.016,,0.047,0.078,,,,,,,0.016,,,0.031,,0.031,0.031,0.062,0.016,,,0.016,0.031,,0.031,,,,,,,,,,0.016,0.016,,,,,,0.016,,0.016,,,0.016,,,,,,,,,,0.062,,,,,,,,,,0.047,0.016,,,,,,,,,,,0.016,,,0.016,,,,,,,,,0.016,,,,,,,,,,,,0.016,,0.016,,,,,,,,,,,,0.016,,,,,,,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.7646737 40.3849449, -3.7649056 40.3856434, -3.7643136 40.3863802, -3.764065 40.386642, -3.7638412 40.3868418, -3.7632807 40.3863664, -3.7630153 40.3857874, -3.7646737 40.3849449))",204.0,46.6,16.7,18150.0,88.1,2242.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0
Local,253,madrid_hdbscan_5_5,253,10,-3.61350103,40.43803539,-3.61350095,40.43808345,3.034962750008731e-06,3294933.35625659,0.0007339487363233,0.0013825727253971,0.0004349025409215,0.000679062343898,Yes,,,0.1,,,,,,,,,,,,,,,,0.1,,,,,,,,0.1,,,,,0.1,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,0.1,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.6127214 40.4368936, -3.6130678 40.4372685, -3.6141513 40.4390161, -3.6139661 40.4387757, -3.6136694 40.4383603, -3.6127214 40.4368936))",46.0,44.82,21.36,14586.18,88.1,5012.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
