geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,madrid_hdbscan_5_5
POINT (-3.7117951 40.4254487),Tempo,,pub,,,,,,,,,,,-3.7117951,40.4254487,-413197,4500161,tempo,1114
POINT (-3.7118533 40.42514),Taj Mahal,,restaurant,,,,,Calle del Duque de Osuna,6,28015,,,indian,-3.7118533,40.42514,-413204,4500127,taj mahal,1114
POINT (-3.7163184 40.4366465),Don Oso,,fast_food,,,,,Calle de Donoso Cortés,90,28015,,,burger,-3.7163184,40.4366465,-413701,4501407,don oso,1019
POINT (-3.6354236 40.4387505),Banco Santander,,bank,,,,,,,,Banco Santander,Santander,,-3.6354236,40.4387505,-404695,4501642,banco santander,458
POINT (-3.7008582 40.4102862),Preity Raj,,restaurant,,,,,,,,,,,-3.7008582,40.4102862,-411980,4498473,preity raj,1060
POINT (-3.7009094 40.4096555),La Inquilina,,pub,,,,,Calle del Ave María,39,28012,,,,-3.7009094,40.4096555,-411985,4498403,la inquilina,1060
POINT (-3.6367311 40.4380852),Pinturas Murillo,paint,,,,,,,,,,,,-3.6367311,40.4380852,-404841,4501568,pinturas murillo,458
POINT (-3.6372999 40.4378811),Caixa Geral,,bank,,,,,,,,,,,-3.6372999,40.4378811,-404904,4501545,caixa geral,458
POINT (-3.6356333 40.4383732),,tobacco,,,,,,,,,,,,-3.6356333,40.4383732,-404719,4501600,,458
POINT (-3.6371025 40.4379268),Banco Santander,,bank,,,,,,,,Banco Santander,Santander,,-3.6371025,40.4379268,-404882,4501550,banco santander,458
POINT (-3.6373154 40.4382334),Jota Cinco,,restaurant,,,,,,,,,,,-3.6373154,40.4382334,-404906,4501584,jota cinco,458
POINT (-3.6373926 40.438217),Mamma Juana,,restaurant,,,,,,,,,,,-3.6373926,40.438217,-404915,4501582,mamma juana,458
POINT (-3.6376634 40.4381266),Banco Sabadell,,bank,,,,,,,,Banco Sabadell,,,-3.6376634,40.4381266,-404945,4501572,banco sabadell,458
