geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Bilbao_hdbscan_5_5
POINT (-2.9027061 43.258858),,,pharmacy,,pharmacy,,,Pau Casals etorbidea,1,48004.0,,,,-2.9027061,43.258858,-323129,4815576,,-1
POINT (-2.907334 43.2575034),,,taxi,,,,,,,,,,,-2.907334,43.2575034,-323644,4815425,,-1
POINT (-2.9067984 43.2570843),Lda. M. PARAMO GOMEZ,,pharmacy,,pharmacy,,,,,,,,,-2.9067984,43.2570843,-323585,4815379,lda. m. paramo gomez,-1
POINT (-2.9096712 43.2570764),,,pharmacy,,pharmacy,,,,,,,,,-2.9096712,43.2570764,-323905,4815378,,-1
POINT (-2.9208467 43.2561175),"Lcdos. M. A. Galdiz, J. Arriandiaga",,pharmacy,,pharmacy,,,,,,,,,-2.9208467,43.2561175,-325149,4815271,"lcdos. m. a. galdiz, j. arriandiaga",-1
POINT (-2.9194039 43.2562739),,,post_box,,,,,,,,,,,-2.9194039,43.2562739,-324988,4815288,,65
POINT (-2.9171474 43.2549423),,,post_box,,,,,,,,,,,-2.9171474,43.2549423,-324737,4815140,,64
POINT (-2.9156711 43.2538984),,,taxi,,,,,,,,,,,-2.9156711,43.2538984,-324573,4815024,,63
POINT (-2.9213004 43.25724),,,,viewpoint,,,,,,,,,,-2.9213004,43.25724,-325199,4815396,,-1
POINT (-2.9208113 43.2575947),,,,viewpoint,,,,,,,,,,-2.9208113,43.2575947,-325145,4815435,,-1
POINT (-2.9181779 43.2513128),Farmacia Casas Martín,,pharmacy,,pharmacy,,,Marcelino Menendez y Pelayo kalea / Calle Marcelino Menendez Pelayo,26,48006.0,,,,-2.9181779,43.2513128,-324852,4814736,farmacia casas martín,23
POINT (-2.9170824 43.253293),Ldos. Garmendia-Purroy,,pharmacy,,pharmacy,,,,,,,,,-2.9170824,43.253293,-324730,4814957,ldos. garmendia-purroy,-1
POINT (-2.9132719 43.2533182),Ldo. Mª Pilar Ruiz Garmendia,,pharmacy,,pharmacy,,,Calle Santo Rosario,1,48004.0,,,,-2.9132719,43.2533182,-324305,4814959,ldo. mª pilar ruiz garmendia,-1
POINT (-2.9152581 43.2537666),Lda. Mercedes Boyra Navarro,,pharmacy,,pharmacy,,,,,,,,,-2.9152581,43.2537666,-324527,4815009,lda. mercedes boyra navarro,-1
POINT (-2.9111617 43.2544335),Lda. Ainara Ruiz de Oña,,pharmacy,,pharmacy,,,,,,,,,-2.9111617,43.2544335,-324071,4815084,lda. ainara ruiz de oña,58
POINT (-2.9204165 43.2581854),Pasio-Irudien museoa,,,museum,,,,Calle Iturribide / Iturribide kalea,3,48006.0,,,,-2.9204165,43.2581854,-325101,4815501,pasio-irudien museoa,82
POINT (-2.912593 43.251404),Galtzagorri Sagardotegia,,restaurant,,,,,Juan de la Cosa kalea,26,,,,basque_ciderhouse,-2.912593,43.251404,-324230,4814746,galtzagorri sagardotegia,-1
POINT (-2.9127973 43.2524125),Oficina de Correos,,post_office,,,,,,,,Oficina de Correos,Correos,,-2.9127973,43.2524125,-324253,4814859,oficina de correos,-1
POINT (-2.9130641 43.2489852),locutorio,copyshop,,,,,,Calle Sagarminaga,55,,,,,-2.9130641,43.2489852,-324282,4814477,locutorio,-1
POINT (-2.9607523 43.2782676),Oficina de Correos,,post_office,,,,,,,,Oficina de Correos,Correos,,-2.9607523,43.2782676,-329591,4817737,oficina de correos,24
POINT (-2.9306678 43.2632518),,,pharmacy,,pharmacy,,,,,,,,,-2.9306678,43.2632518,-326242,4816065,,121
POINT (-2.9291461 43.2633025),,,pharmacy,,pharmacy,,,Alameda Mazarredo / Mazarredo zumarkalea,9,,,,,-2.9291461,43.2633025,-326073,4816071,,-1
POINT (-2.9373129 43.2588155),Lda. Amaia Chorro Martínez,,pharmacy,,pharmacy,,,,,,,,,-2.9373129,43.2588155,-326982,4815571,lda. amaia chorro martínez,-1
POINT (-2.9357034 43.2577836),Ibis Bilbao Centro,,,hotel,,,,Calle General Concha / Concha jeneralaren kalea,28,48010.0,Ibis,Ibis,,-2.9357034,43.2577836,-326803,4815456,ibis bilbao centro,136
POINT (-2.9365189 43.2587736),Eroski,supermarket,,,,,,,,,Eroski,,,-2.9365189,43.2587736,-326893,4815567,eroski,143
POINT (-2.9352217 43.2576674),,,taxi,,,,,,,,,,,-2.9352217,43.2576674,-326749,4815444,,136
POINT (-2.9377311 43.2592403),,,post_box,,,,,,,,,,,-2.9377311,43.2592403,-327028,4815619,,-1
POINT (-2.9179059 43.2736308),Restaurante Txakoli,,restaurant,,,,,BI-3741 Carretera de Artxanda / Artxandako errepidea,19,48015.0,,,regional,-2.9179059,43.2736308,-324821,4817221,restaurante txakoli,-1
POINT (-2.9369528 43.2586109),KFC,,fast_food,,,,,,,,KFC,,chicken,-2.9369528,43.2586109,-326942,4815549,kfc,-1
POINT (-2.9364729 43.2588525),Cevitxef,,restaurant,,,,,Alameda Recalde / Recalde zumarkalea,53,48010.0,,,,-2.9364729,43.2588525,-326888,4815575,cevitxef,143
POINT (-2.9387208 43.2579043),,,pharmacy,,pharmacy,,,,,,,,,-2.9387208,43.2579043,-327138,4815470,,-1
POINT (-2.9366781 43.2572292),,,pharmacy,,pharmacy,,,,,,,,,-2.9366781,43.2572292,-326911,4815395,,-1
POINT (-2.9361802 43.2572167),BM,supermarket,,,,,,,,,BM,,,-2.9361802,43.2572167,-326856,4815393,bm,-1
POINT (-2.9373792 43.2572682),Simply Market,supermarket,,,,,,,,,Simply Market,,,-2.9373792,43.2572682,-326989,4815399,simply market,-1
POINT (-2.9346269 43.2567692),Carrefour,supermarket,,,,,,,,48003.0,Carrefour,,,-2.9346269,43.2567692,-326683,4815344,carrefour,-1
POINT (-2.939583 43.2586259),Silken Indautxu,,,hotel,,,,,,,,Hoteles Silken,,-2.939583,43.2586259,-327234,4815550,silken indautxu,88
POINT (-2.9463066 43.2661789),Itsasmuseum Bilbao,,,museum,,,,,,,,,,-2.9463066,43.2661789,-327983,4816391,itsasmuseum bilbao,-1
POINT (-2.9412471 43.2700425),La Terraza,,pub,,,,,,,,,,,-2.9412471,43.2700425,-327420,4816821,la terraza,-1
POINT (-2.9365326 43.2586397),Ze,,bar,,,,,,,,,,,-2.9365326,43.2586397,-326895,4815552,ze,143
POINT (-2.9370198 43.2589382),Tapachula,,restaurant,,,,,,,,,,mexican,-2.9370198,43.2589382,-326949,4815585,tapachula,-1
POINT (-2.9370779 43.2591308),Alhondegi,,bar,,,,,,,,,,,-2.9370779,43.2591308,-326956,4815606,alhondegi,-1
POINT (-2.9223182 43.2546807),Hikaateneo Bilbao,,cafe,,,,,,,,,,,-2.9223182,43.2546807,-325312,4815111,hikaateneo bilbao,73
POINT (-2.9302219 43.2501173),Gambrinus,,pub,,,,,,,,,,,-2.9302219,43.2501173,-326192,4814603,gambrinus,38
POINT (-2.928002 43.2503583),5th Avenue,,bar,,,,,,,,,,,-2.928002,43.2503583,-325945,4814630,5th avenue,-1
POINT (-2.9315503 43.2508027),Sugoi,,pub,,,,,,,,,,,-2.9315503,43.2508027,-326340,4814679,sugoi,38
POINT (-2.9328272 43.2504944),Telepizza,,fast_food,,,,,,,,Telepizza,,pizza,-2.9328272,43.2504944,-326482,4814645,telepizza,38
POINT (-2.9313208 43.250788),Kutxabank,,bank,,,,,,,,Kutxabank,BBK,,-2.9313208,43.250788,-326315,4814678,kutxabank,38
POINT (-2.9322149 43.2506484),Laboral Kutxa,,bank,,,,,,,,Laboral Kutxa,Caja Laboral-Euskadiko Kutxa,,-2.9322149,43.2506484,-326414,4814662,laboral kutxa,38
POINT (-2.9226366 43.2403524),Ferrobarril,,bar,,,,,,,,,,,-2.9226366,43.2403524,-325348,4813516,ferrobarril,1
POINT (-2.9225078 43.2409902),El Barrilito,,bar,,,,,,,,,,,-2.9225078,43.2409902,-325334,4813587,el barrilito,1
POINT (-2.925429 43.2426617),La Compra,supermarket,,,,,,,,,,,,-2.925429,43.2426617,-325659,4813773,la compra,1
