geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Cordoba_hdbscan_5_5
POINT (-4.7208905 37.9142171),Biblioteca Maimónides,,library,,,,,,,,,,,-4.7208905,37.9142171,-525530,4220611,biblioteca maimónides,10
POINT (-4.7911754 37.8860159),Omeyas,,post_office,,,,,Calle de Los Omeyas,2,14005.0,,Correos,,-4.7911754,37.8860159,-533354,4217471,omeyas,65
POINT (-4.7838093 37.8859614),Taberna El Poema,,restaurant,,,,,Calle Alonso de Burgos,2,14008.0,,,spanish,-4.7838093,37.8859614,-532534,4217465,taberna el poema,-1
POINT (-4.7794186 37.8889348),,,taxi,,,,,,,,,,,-4.7794186,37.8889348,-532045,4217796,,-1
POINT (-4.7813782 37.8911217),,,taxi,,,,,,,,,,,-4.7813782,37.8911217,-532263,4218040,,-1
POINT (-4.7847031 37.8846239),,,taxi,,,,,,,,,,,-4.7847031,37.8846239,-532633,4217316,,-1
POINT (-4.7826735 37.8879293),,,taxi,,,,,,,,,,,-4.7826735,37.8879293,-532407,4217684,,74
POINT (-4.790126 37.8887162),,,taxi,,,,,,,,,,,-4.790126,37.8887162,-533237,4217772,,41
POINT (-4.791237 37.8851671),,,taxi,,,,,Avenida Medina Azahara,29,14005.0,,,,-4.791237,37.8851671,-533361,4217377,,65
POINT (-4.7916358 37.8960976),Carrefour,supermarket,,,,,,,,14011.0,Carrefour,,,-4.7916358,37.8960976,-533405,4218594,carrefour,22
POINT (-4.7609099 37.9027057),Lidl,supermarket,,,,,,,,,Lidl,,,-4.7609099,37.9027057,-529984,4219329,lidl,-1
POINT (-4.7596727 37.9039671),Dia,supermarket,,,,,,,,,Dia,,,-4.7596727,37.9039671,-529847,4219470,dia,-1
POINT (-4.7775399 37.8875476),Palacio del Bailío,,,hotel,,,,,,,,Hospes,,-4.7775399,37.8875476,-531836,4217642,palacio del bailío,-1
POINT (-4.7802628 37.882153),Carpe Diem,,,hotel,,,,Calle de Barroso,4,14003.0,,,,-4.7802628,37.882153,-532139,4217041,carpe diem,-1
POINT (-4.7923678 37.891892),Piedra,supermarket,,,,,,,,,,,,-4.7923678,37.891892,-533486,4218125,piedra,-1
POINT (-4.7805019 37.8894159),Piedra,supermarket,,,,,,Calle de los Reyes Católicos,20,14001.0,,,,-4.7805019,37.8894159,-532165,4217850,piedra,73
POINT (-4.7811255 37.8881171),Beltrami,,pharmacy,,pharmacy,,,,,,,,,-4.7811255,37.8881171,-532235,4217705,beltrami,78
POINT (-4.7795834 37.8893507),,,pharmacy,,pharmacy,,,Avenida Ronda de los Tejares,,,,,,-4.7795834,37.8893507,-532063,4217843,,-1
POINT (-4.7794761 37.8885378),La Boutique Puerta Osari,,,hotel,,,,,,,,,,-4.7794761,37.8885378,-532051,4217752,la boutique puerta osari,-1
POINT (-4.7840112 37.8816874),Colegio Santísima Trinidad I,,school,,,,,,,,,,,-4.7840112,37.8816874,-532556,4216989,colegio santísima trinidad i,-1
POINT (-4.7841108 37.8828422),NH Califa,,,hotel,,,,,,,NH,NH,,-4.7841108,37.8828422,-532567,4217118,nh califa,-1
POINT (-4.782806 37.8791968),NH Amistad,,,hotel,,,,,,,,NH,,-4.782806,37.8791968,-532422,4216712,nh amistad,86
POINT (-4.7779483 37.8834545),Archivo Histórico Provincial,,library,,,,,,,,,,,-4.7779483,37.8834545,-531881,4217186,archivo histórico provincial,-1
POINT (-4.790812 37.8820337),,,taxi,,,,,,,,,,,-4.790812,37.8820337,-533313,4217028,,67
POINT (-4.7915435 37.884755),Mercadona,supermarket,,,,,,,,,Mercadona,,,-4.7915435,37.884755,-533395,4217331,mercadona,65
POINT (-4.7849441 37.9106213),Colegio Calasancio de Madres Escolapias,,school,,,,,,,,,,,-4.7849441,37.9106213,-532660,4220210,colegio calasancio de madres escolapias,-1
POINT (-4.8011819 37.91665),Escuela Infantil Los Globos,,school,,,,,,,,,,,-4.8011819,37.91665,-534468,4220881,escuela infantil los globos,-1
POINT (-4.8033466 37.9151416),Crisol Jardines de Córdoba,,,hotel,,,,Calle Poeta Alonso Bonilla,3,14012.0,Crisol Hotels,,,-4.8033466,37.9151416,-534709,4220714,crisol jardines de córdoba,-1
POINT (-4.794952 37.9146022),Colegio El Encinar,,school,,,,,,,,,,,-4.794952,37.9146022,-533774,4220654,colegio el encinar,-1
POINT (-4.7730494 37.8831092),,,pharmacy,,pharmacy,,,,,,,,,-4.7730494,37.8831092,-531336,4217148,,68
POINT (-4.7970722 37.9002123),"Cinesur ""El Tablero""",,cinema,,,,,,,14012.0,,,,-4.7970722,37.9002123,-534010,4219052,"cinesur ""el tablero""",-1
POINT (-4.7780403 37.8977412),La Bodega,,bar,,,,,María Pineda,,14006.0,,,,-4.7780403,37.8977412,-531891,4218777,la bodega,39
POINT (-4.7777135 37.8839136),Hotel Conde de Cárdenas,,,hotel,,,,Calle Conde de Cárdenas,9,14002.0,,,,-4.7777135,37.8839136,-531855,4217237,hotel conde de cárdenas,-1
POINT (-4.7988497 37.8938571),Mercadona,supermarket,,,,,,,,,Mercadona,,,-4.7988497,37.8938571,-534208,4218344,mercadona,-1
POINT (-4.7938041 37.8903832),Alsara,supermarket,,,,,,,,,,,,-4.7938041,37.8903832,-533646,4217957,alsara,-1
POINT (-4.7924656 37.8889205),Colegio Nuñez Herrera,,school,,,,,,,,,,,-4.7924656,37.8889205,-533497,4217795,colegio nuñez herrera,-1
POINT (-4.7511556 37.897409),Heladería Toñi,,cafe,,,,,Virgen de Fatima,79,14014.0,,,ice_cream,-4.7511556,37.897409,-528899,4218740,heladería toñi,21
POINT (-4.7517027 37.8974671),Farmacia Licenciado Pedro Moreno,,pharmacy,,pharmacy,,,Avenida Virgen de Fatima,,14014.0,,,,-4.7517027,37.8974671,-528960,4218746,farmacia licenciado pedro moreno,21
POINT (-4.7532117 37.8983585),Más Ahorro,supermarket,,,,,,,,14014.0,,,,-4.7532117,37.8983585,-529128,4218845,más ahorro,21
POINT (-4.7574443 37.8914032),Oficina de Correos,,post_office,,,,,,,,Oficina de Correos,,,-4.7574443,37.8914032,-529599,4218071,oficina de correos,-1
POINT (-4.7576937 37.8931537),Cafetería Los Principes,,cafe,,,,,Avenida Hnos. Juan Fernandez,,,,,coffee_shop,-4.7576937,37.8931537,-529626,4218266,cafetería los principes,-1
