Segment,Unnamed: 0,param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,shop_rel_bakery,shop_rel_hairdresser,amenity_rel_restaurant,amenity_rel_pub,amenity_rel_school,amenity_rel_pharmacy,amenity_rel_bank,amenity_rel_atm,amenity_rel_post_office,amenity_rel_community_centre,amenity_rel_bar,amenity_rel_clinic,shop_rel_gift,shop_rel_books,amenity_rel_cafe,shop_rel_electronics,shop_rel_shoes,amenity_rel_bureau_de_change,amenity_rel_fast_food,shop_rel_laundry,shop_rel_convenience,shop_rel_greengrocer,shop_rel_tobacco,amenity_rel_dentist,amenity_rel_language_school,shop_rel_hardware,shop_rel_supermarket,amenity_rel_veterinary,shop_rel_beauty,shop_rel_clothes,shop_rel_telecommunication,shop_rel_vacant,amenity_rel_events_venue,amenity_rel_hospital,amenity_rel_university,amenity_rel_library,amenity_rel_charging_station,amenity_rel_doctors,amenity_rel_theatre,amenity_rel_post_box,shop_rel_newsagent,shop_rel_deli,shop_rel_jewelry,shop_rel_butcher,shop_rel_lottery,shop_rel_computer,shop_rel_bag,shop_rel_optician,shop_rel_fashion_accessories,shop_rel_chocolate,shop_rel_sports,shop_rel_watches,shop_rel_mobile_phone_accessories,amenity_rel_car_rental,amenity_rel_college,shop_rel_kiosk,shop_rel_ticket,amenity_rel_taxi,shop_rel_bicycle,shop_rel_haberdashery,shop_rel_confectionery,shop_rel_mall,shop_rel_travel_agency,shop_rel_outdoor,shop_rel_car,shop_rel_garden_centre,shop_rel_variety_store,shop_rel_furniture,shop_rel_car_repair,shop_rel_seafood,shop_rel_florist,shop_rel_interior_decoration,shop_rel_pastry,shop_rel_herbalist,shop_rel_department_store,shop_rel_cosmetics,shop_rel_appliance,shop_rel_stationery,amenity_rel_cinema,shop_rel_medical_supply,shop_rel_dry_cleaning,shop_rel_printer_ink,shop_rel_mobile_phone,shop_rel_frozen_food,amenity_rel_fountain,shop_rel_doityourself,shop_rel_storage_rental,shop_rel_toys,shop_rel_curtain,shop_rel_bed,shop_rel_tea,shop_rel_pet,shop_rel_perfumery,shop_rel_yes,shop_rel_wholesale,shop_rel_pet_grooming,amenity_rel_biergarten,shop_rel_collector,shop_rel_trade,amenity_rel_parcel_locker,shop_rel_nuts,shop_rel_houseware,shop_rel_fabric,shop_rel_glaziery,shop_rel_kitchen,shop_rel_fishing,shop_rel_coffee,shop_rel_video_games,shop_rel_doors,shop_rel_locksmith,shop_rel_paint,shop_rel_household_linen,shop_rel_copyshop,amenity_rel_workshop,shop_rel_craft,shop_rel_carpet,shop_rel_party,amenity_rel_exhibition_centre,amenity_rel_conference_centre,shop_rel_second_hand,shop_rel_window_blind,shop_rel_motorcycle_repair,shop_rel_motorcycle,shop_rel_cannabis,shop_rel_cheese,shop_rel_hearing_aids,shop_rel_food,shop_rel_baby_goods,shop_rel_hairdresser_supply,shop_rel_sewing,shop_rel_photo,shop_rel_general,shop_rel_shoe_repair,shop_rel_fuel,shop_rel_money_lender,shop_rel_bookmaker,shop_rel_nutrition_supplements,amenity_rel_money_transfer,shop_rel_frame,shop_rel_car_parts,shop_rel_tyres,shop_rel_tattoo,amenity_rel_arts_centre,shop_rel_massage,shop_rel_chemist,shop_rel_alcohol,shop_rel_ice_cream,shop_rel_hairdresser;pet,shop_rel_bathroom_furnishing,shop_rel_health_food,shop_rel_windows,shop_rel_wine,amenity_rel_parking,shop_rel_tailor,shop_rel_estate_agent,shop_rel_beverages,shop_rel_shutters,shop_rel_optician;hearing_aids,shop_rel_doityourself;sewing,shop_rel_art,shop_rel_dairy,shop_rel_games,shop_rel_esoteric,shop_rel_video,shop_rel_religion,shop_rel_farm,amenity_rel_car_sharing,shop_rel_electrical,shop_rel_indian_food,shop_rel_leather,shop_rel_gas,shop_rel_hifi,amenity_rel_sop,shop_rel_grocery,amenity_rel_post_depot,amenity_rel_social_facility,shop_rel_e-cigarette,shop_rel_model,shop_rel_eggs,amenity_rel_marketplace,shop_rel_repair,shop_rel_radiotechnics,amenity_rel_car_wash,shop_rel_nails,shop_rel_charity,shop_rel_spices,amenity_rel_bicycle_repair_station,shop_rel_flooring,shop_rel_musical_instrument,shop_rel_lighting,shop_rel_music,shop_rel_gold_buyer,amenity_rel_ice_cream,shop_rel_outpost,shop_rel_pawnbroker,shop_rel_pottery,shop_rel_clothes;secondhand,shop_rel_wigs,shop_rel_agrarian,shop_rel_tiles,shop_rel_kitchen;bathroom_furnishing,amenity_rel_place_of_worship,amenity_rel_music_venue,amenity_rel_studio,shop_rel_accessories,shop_rel_weapons,shop_rel_hairdesser,shop_rel_boutique,shop_rel_energy,amenity_rel_coworking_space,shop_rel_erotic,shop_rel_antiques,shop_rel_orthopaedics,amenity_rel_gambling,amenity_rel_casino,shop_rel_CCG,shop_rel_wedding,shop_rel_spy,shop_rel_signs,amenity_rel_driving_school,shop_rel_printing,shop_rel_variety,amenity_rel_prep_school,shop_rel_plant_shop,amenity_rel_bicycle_rental,shop_rel_fireplace,shop_rel_rental,shop_rel_camera,shop_rel_hair extensions,amenity_rel_retail,amenity_rel_student_accommodation,geometry,population,av_age,percent_65,pp_income,male_rate,pop_buffer,has_Dia,has_Burger King,has_Mercadona,has_Ahorramás,has_Carrefour,has_Rodilla,has_McDonald's,has_Vips,has_100 Montaditos,has_Supercor,has_Alcampo,has_Telepizza,has_Lidl,has_Starbucks,has_Malvón,has_Domino's,has_Marco Aldany,has_Orange,has_Ginos,has_Granier,has_La Sirena,has_KFC,has_ALDI,has_Vitaldent,has_Foster's Hollywood,has_Mango,has_Vodafone,has_Movistar,has_Opticalia,has_Multiópticas,has_Lizarrán,has_Papa John's,has_Zara,trains_metro,trains_metro_in_buffer,bus,bus_in_buffer
Mixed,32,madrid_hdbscan_5_5,32,10,-3.7845438128581455,40.45160356955324,-3.784982,40.4516313369808,4.0344785228351735e-06,2478635.0809404333,0.0010142995352969,0.003518118234068,0.0013742815884373,0.000235011709529,Yes,,,,,,0.1,0.1,,0.1,,,0.1,,,,,,,,,,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.786347918952703 40.45127155292206, -3.7848343 40.4518661, -3.781052047023167 40.45203336864882, -3.7849937 40.4512825, -3.786347918952703 40.45127155292206))",103.0,41.05,15.98,27848.19,88.1,1632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
Shopping,48,madrid_hdbscan_5_5,48,6,-3.592426182758403,40.465542124282905,-3.59269825,40.4652917,1.0699251909660635e-06,5607868.709570659,0.0006007291482501,0.0009199163770756,0.0004888255238792,0.0004171333797838,Yes,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,0.167,,,,,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.5928519 40.46519, -3.592822 40.4652486, -3.59173077404642 40.4661443309452, -3.591755922503998 40.46611291475223, -3.5926119 40.4653348, -3.5927846 40.4652221, -3.5928519 40.46519))",4.0,36.1,6.4,26453.0,88.1,1271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Verkehr,58,madrid_hdbscan_5_5,58,15,-3.664542432400652,40.51778140323973,-3.664546305186185,40.51852092048607,2.6768731275999945e-05,560355.283384258,0.002316442809805,0.0049755628781716,0.0011046032724313,0.0022495783280911,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.6636398 40.5128884, -3.665651760329977 40.516038738983625, -3.666182975989138 40.51735954017163, -3.666102012447793 40.5182451352776, -3.665170944918597 40.520379178734565, -3.664546305186185 40.5205349428447, -3.663545685675626 40.51905785237302, -3.662682213380509 40.51513569485366, -3.6636398 40.5128884))",279.0,33.34,5.26,26378.99,88.1,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0
Local,91,madrid_hdbscan_5_5,91,44,-3.6952776650528647,40.50643663607365,-3.69528625,40.50626885,6.978476479993162e-06,6305101.138643246,0.0008033242202081,0.0021205977844691,0.0005811035782308,0.0006679718483956,Yes,,0.023,0.182,0.068,,0.045,0.068,0.068,0.023,,,,,,,,0.045,,0.023,,0.023,0.023,,,0.045,,,,,0.045,,0.023,,,,,,,,,,,,,,,,,,,,,,,,0.023,,0.023,,,,,,,,,,,0.023,,,,0.023,0.023,,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,0.023,,0.023,,,,,,,,,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.6953286 40.5053633, -3.696212762326037 40.505452687240535, -3.6965206 40.5058517, -3.6945062 40.5080578, -3.6939918 40.5081229, -3.6943555 40.5070824, -3.6951751 40.5055435, -3.6952593 40.5054442, -3.6953286 40.5053633))",414.0,32.98,5.69,25870.56,88.1,3492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
Primary,102,madrid_hdbscan_5_5,102,31,-3.619873976687726,40.37446161725891,-3.6198377,40.3742546,9.25254517570764e-06,3350429.4668444134,0.0011443203596259,0.0027602470786928,0.000498672411007,0.001212886510235,Yes,0.032,0.032,0.065,,,0.065,0.032,,,,0.097,,,,0.032,,,,0.032,,0.065,0.065,,,,0.032,0.065,,,,,,,,,,,,,,,,,0.032,0.032,0.032,,0.065,,,,,,,,,,,,,,,,,,,0.032,,,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.6193327 40.3727779, -3.6194482 40.3729408, -3.6199379 40.373718, -3.6210295 40.3756465, -3.619831599969946 40.37722153902397, -3.6189473 40.3736599, -3.6191469 40.3728901, -3.6193327 40.3727779))",1219.0,43.54,19.84,11194.43,88.1,10944.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0
Local,126,madrid_hdbscan_5_5,126,23,-3.6510657663562895,40.48875122524709,-3.6508771,40.48897297594701,9.860876425382628e-06,2332449.876442655,0.0011287749917829,0.0027920242638591,0.0005558104642679,0.0011524592469178,Yes,,0.043,0.217,,,0.043,0.043,,,,,,,0.043,0.043,,,,,,0.13,,,0.043,,,0.043,,0.043,,,,,,,,,,,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.651304981877041 40.48648786620913, -3.6514018 40.4867366, -3.652960601817962 40.490801834440276, -3.6509866 40.4900235, -3.650882 40.4897706, -3.650865 40.4897225, -3.6508517 40.4896816, -3.6507476 40.4892876, -3.6506748 40.4888193, -3.6507042 40.4882062, -3.6507365 40.4880434, -3.6508221 40.4876203, -3.6509246 40.4872983, -3.651304981877041 40.48648786620913))",439.0,34.17,4.75,18109.07,88.1,4152.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0
Local,136,madrid_hdbscan_5_5,136,7,-3.6985128015582345,40.34984097620244,-3.6982828,40.349852,1.5699340125465998e-06,4458786.129899343,0.000592740412205,0.0010149773351879,0.0005433092679509,0.0003208773612823,Yes,,0.143,,,0.143,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.69827519319412 40.349279984416185, -3.699154417713522 40.349599249000896, -3.6991833 40.3496861, -3.6989001 40.349852, -3.6982828 40.3501602, -3.6975911 40.350266, -3.69827519319412 40.349279984416185))",177.0,44.74,23.92,11525.92,88.1,4083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
Local,152,madrid_hdbscan_5_5,152,6,-3.695298566666666,40.3541817,-3.69541615,40.3541779,1.7864652000040152e-07,33585876.73572659,0.0001980837341113,0.0004154583225536,0.0001876504433484,0.00011909750907,Yes,0.167,,,,,,,,,,,,,,0.333,,,,,,,,,,,,0.167,,,,,,,,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.6951778 40.3540129, -3.6954149 40.3540803, -3.6954252 40.3542132, -3.695427 40.3542695, -3.6949291 40.3543717, -3.6951778 40.3540129))",23.0,52.5,38.3,13869.0,88.1,4362.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Urban,198,madrid_hdbscan_5_5,198,28,-3.6294581496542495,40.46279171618609,-3.629287232015205,40.46274315,8.22649593441364e-06,3403636.2776122564,0.0009796227111863,0.0025648304334951,0.0010906640318293,0.0004634510378268,Yes,0.036,0.036,0.107,0.036,0.036,0.036,,,,,,0.036,,,0.071,,,,,,0.071,,,,,0.036,0.036,,,,,,,0.036,,,,0.036,,,0.036,,,,,0.036,,,,,,,,,,,,,,,,,,,,,0.036,,,,,,0.036,,,,,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.6270054 40.4620418, -3.631196678314264 40.462169719432794, -3.631867121010395 40.463114657424, -3.6318000066757 40.46369780535522, -3.630732854704495 40.463733895436334, -3.628477465583728 40.46370769706571, -3.6270054 40.4620418))",1211.0,45.22,18.88,18820.42,88.1,5024.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0
Mixed ,239,madrid_hdbscan_5_5,239,7,-3.6128047523400313,40.42439370241186,-3.612870000794667,40.42432173868918,1.467732004653211e-06,4769263.038352787,0.0005267695472208,0.0010382144755456,0.0003277879055044,0.00048932827891,No,,,,,0.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.613115192278929 40.42393739923073, -3.613158731019904 40.42536970875991, -3.612134 40.4245574, -3.6126516 40.4239468, -3.613115192278929 40.42393739923073))",82.0,44.0,15.3,14670.0,88.1,3408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0
