geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,madrid_hdbscan_5_5
POINT (-3.7020018 40.428732),Café Comercial,,restaurant,,,,,Glorieta de Bilbao,7,28004,,,,-3.7020018,40.428732,-412107,4500526,café comercial,1321
POINT (-3.7121513 40.4151603),La Mayor,,pub,,,,,Calle Mayor,77,28013,,,,-3.7121513,40.4151603,-413237,4499016,la mayor,1069
POINT (-3.7111315 40.4154876),Ssambar,,bar,,,,,Calle Mayor,74,28013,,,,-3.7111315,40.4154876,-413123,4499052,ssambar,1069
POINT (-3.7117251 40.4153818),Mercado Jamón Ibérico,food,,,,,,Calle Mayor,80,28013,,,,-3.7117251,40.4153818,-413189,4499040,mercado jamón ibérico,1069
POINT (-3.7118077 40.4151444),,,cafe,,,,,,,,,,,-3.7118077,40.4151444,-413198,4499014,,1069
POINT (-3.7116415 40.4151622),Horno San Onofre,bakery,,,,,,,,,,,,-3.7116415,40.4151622,-413180,4499016,horno san onofre,1069
POINT (-3.7115508 40.4152606),Arcade,,restaurant,,,,,Calle Mayor,73,28013,,,regional,-3.7115508,40.4152606,-413170,4499027,arcade,1069
POINT (-3.6444322 40.4478236),,,pharmacy,,pharmacy,,,Calle Telémaco,8,28027,,,,-3.6444322,40.4478236,-405698,4502652,,287
POINT (-3.7849937 40.4512825),Molinaseca,supermarket,,,,,,,,,,,,-3.7849937,40.4512825,-421345,4503037,molinaseca,32
POINT (-3.6828789 40.4227116),Centro Privado de Educación Secundaria Aries,,school,,,,,Calle de Núñez de Balboa,10,28001,,,,-3.6828789,40.4227116,-409978,4499856,centro privado de educación secundaria aries,860
POINT (-3.7474666 40.3963134),"Centro Privado de Educación Infantil, Primaria y Secundaria Bienaventurada Virgen María",,school,,,,,Calle de Cullera,17,28047,,,,-3.7474666,40.3963134,-417168,4496918,"centro privado de educación infantil, primaria y secundaria bienaventurada virgen maría",284
POINT (-3.6817504 40.452279),Centro Privado de Educación Especial Hospital Infantil San Rafael,,school,,,,,Avenida de Concha Espina,199,28016,,,,-3.6817504,40.452279,-409852,4503148,centro privado de educación especial hospital infantil san rafael,608
POINT (-3.7128855 40.4080842),Redpiso,estate_agent,,,,estate_agent,,,,,,,,-3.7128855,40.4080842,-413318,4498228,redpiso,991
POINT (-3.6939918 40.5081229),Centro Médico Sanitas Montecarmelo,,,,clinic,,,Avenida del Monasterio de Silos,75,28049,,Sanitas,,-3.6939918,40.5081229,-411215,4509364,centro médico sanitas montecarmelo,91
POINT (-3.6126516 40.4239468),Equipo de Orientación Educativa y Psicopedagógica Atención Temprana San Blas,,school,,,,,Avenida de Canillejas a Vicálvaro,82,28022,,Comunidad de Madrid,,-3.6126516,40.4239468,-402160,4499994,equipo de orientación educativa y psicopedagógica atención temprana san blas,239
POINT (-3.6130074 40.4246789),Equipo de Orientación Educativa y Psicopedagógica Específico Deficiencias Motoricas,,school,,,,,Avenida de Canillejas a Vicálvaro,82,28022,,Comunidad de Madrid,,-3.6130074,40.4246789,-402200,4500075,equipo de orientación educativa y psicopedagógica específico deficiencias motoricas,239
POINT (-3.612134 40.4245574),Equipo de Orientación Educativa y Psicopedagógica Específico Deficiencias Auditivas,,school,,,,,Avenida de Canillejas a Vicálvaro,82,28022,,Comunidad de Madrid,,-3.612134,40.4245574,-402103,4500062,equipo de orientación educativa y psicopedagógica específico deficiencias auditivas,239
POINT (-3.701625 40.4286944),Master-D,,school,,,,,Calle de Sagasta,4,,,,,-3.701625,40.4286944,-412065,4500522,master-d,1321
POINT (-3.6506748 40.4888193),,convenience,,,,,,Calle del Príncipe Carlos,26,28050,,,,-3.6506748,40.4888193,-406393,4507215,,126
POINT (-3.6507341 40.4891568),Banco Santander,,bank,,,,,,,,Banco Santander,Santander,,-3.6507341,40.4891568,-406400,4507253,banco santander,126
POINT (-3.7032645 40.4503604),OptiMiza,optician,,,,,,,,,,,,-3.7032645,40.4503604,-412247,4502934,optimiza,935
POINT (-3.703164 40.4505763),Ibercaja,,bank,,,,,,,,Ibercaja,Ibercaja,,-3.703164,40.4505763,-412236,4502958,ibercaja,935
POINT (-3.6834992 40.4304667),Vips Beatriz,,restaurant,,,,,,,,Vips,,international,-3.6834992,40.4304667,-410047,4500720,vips beatriz,870
POINT (-3.6635351 40.4377269),Cafetería Bruselas,,cafe,,,,,,,,,,,-3.6635351,40.4377269,-407825,4501528,cafetería bruselas,553
POINT (-3.6953218 40.5059747),,vacant,,,,,,,,,,,,-3.6953218,40.5059747,-411363,4509125,,91
POINT (-3.6959973 40.5062887),Banco Santander,,bank,,,,,,,,Banco Santander,Santander,,-3.6959973,40.5062887,-411438,4509160,banco santander,91
POINT (-3.6945634 40.5068377),Caixabank,,bank,,,,,,,,Caixabank,Caixabank,,-3.6945634,40.5068377,-411279,4509221,caixabank,91
POINT (-3.6952136 40.5060876),BBVA,,bank,,,,,,,,BBVA,BBVA,,-3.6952136,40.5060876,-411351,4509138,bbva,91
POINT (-3.6952422 40.507194),Kebap Montecarmelo,,fast_food,,,,,,,,,,kebab,-3.6952422,40.507194,-411354,4509261,kebap montecarmelo,91
POINT (-3.6957945 40.5065419),Juan Pelotilla,,pub,,,,,,,,,,,-3.6957945,40.5065419,-411416,4509188,juan pelotilla,91
POINT (-3.6965206 40.5058517),Quisco Montecarmelo,kiosk,,,,,,,,,,,,-3.6965206,40.5058517,-411497,4509111,quisco montecarmelo,91
POINT (-3.7033735 40.450181),,,post_box,,,,,,,,Correos,Correos,,-3.7033735,40.450181,-412260,4502914,,935
POINT (-3.6989812 40.415621),El Inti de Oro,,restaurant,,,,,,,,,,peruvian,-3.6989812,40.415621,-411771,4499067,el inti de oro,1215
POINT (-3.7002686 40.4144723),Tapas,,bar,,,,,Plaza de Santa Ana,6,,,,,-3.7002686,40.4144723,-411914,4498939,tapas,1174
POINT (-3.7136082 40.4246171),Cines Golem,,cinema,,,,,Calle de Martín de los Heros,14,28008,,,,-3.7136082,40.4246171,-413399,4500068,cines golem,1121
POINT (-3.750563 40.4040748),Valverdy,,pub,,,,,,,,,,,-3.750563,40.4040748,-417513,4497782,valverdy,450
POINT (-3.7502913 40.4043735),Casarrubios,,bar,,,,,,,,,,,-3.7502913,40.4043735,-417482,4497815,casarrubios,450
POINT (-3.7072729 40.4254),Santagloria,bakery,cafe,,,,,Calle de San Bernardo,58,28015,Santagloria,,,-3.7072729,40.4254,-412694,4500156,santagloria,1332
POINT (-3.592822 40.4652486),,department_store,,,,,,,,,,,,-3.592822,40.4652486,-399953,4504591,,48
POINT (-3.5926119 40.4653348),,doityourself,,,,,,,,,,,,-3.5926119,40.4653348,-399930,4504601,,48
POINT (-3.5927846 40.4652221),,,pharmacy,,pharmacy,,,Calle de la Bahía de Gando,1,28042,,,,-3.5927846,40.4652221,-399949,4504589,,48
POINT (-3.7129223 40.424992),Burger King,,fast_food,,,,,,,,Burger King,Burger King,burger,-3.7129223,40.424992,-413323,4500110,burger king,1121
POINT (-3.6643159 40.4308891),Skywell,car,,,,,,,,,Skywell,,,-3.6643159,40.4308891,-407912,4500767,skywell,857
POINT (-3.6882395 40.4632195),Restaurante Rast,,restaurant,,,,,Calle de Félix Boix,6,28036,,,,-3.6882395,40.4632195,-410575,4504366,restaurante rast,635
POINT (-3.6288684 40.4627677),,,pharmacy,,pharmacy,,,Calle de Silvano,137,28043,,,,-3.6288684,40.4627677,-403966,4504315,,198
POINT (-3.7064176 40.4100481),,convenience,,,,,,,,,,,,-3.7064176,40.4100481,-412598,4498447,,1167
