Segment,Unnamed: 0,param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,shop_rel_bakery,shop_rel_hairdresser,amenity_rel_restaurant,amenity_rel_pub,amenity_rel_school,amenity_rel_pharmacy,amenity_rel_bank,amenity_rel_atm,amenity_rel_post_office,amenity_rel_community_centre,amenity_rel_bar,amenity_rel_clinic,shop_rel_gift,shop_rel_books,amenity_rel_cafe,shop_rel_electronics,shop_rel_shoes,amenity_rel_bureau_de_change,amenity_rel_fast_food,shop_rel_laundry,shop_rel_convenience,shop_rel_greengrocer,shop_rel_tobacco,amenity_rel_dentist,amenity_rel_language_school,shop_rel_hardware,shop_rel_supermarket,amenity_rel_veterinary,shop_rel_beauty,shop_rel_clothes,shop_rel_telecommunication,shop_rel_vacant,amenity_rel_events_venue,amenity_rel_hospital,amenity_rel_university,amenity_rel_library,amenity_rel_charging_station,amenity_rel_doctors,amenity_rel_theatre,amenity_rel_post_box,shop_rel_newsagent,shop_rel_deli,shop_rel_jewelry,shop_rel_butcher,shop_rel_lottery,shop_rel_computer,shop_rel_bag,shop_rel_optician,shop_rel_fashion_accessories,shop_rel_chocolate,shop_rel_sports,shop_rel_watches,shop_rel_mobile_phone_accessories,amenity_rel_car_rental,amenity_rel_college,shop_rel_kiosk,shop_rel_ticket,amenity_rel_taxi,shop_rel_bicycle,shop_rel_haberdashery,shop_rel_confectionery,shop_rel_mall,shop_rel_travel_agency,shop_rel_outdoor,shop_rel_car,shop_rel_garden_centre,shop_rel_variety_store,shop_rel_furniture,shop_rel_car_repair,shop_rel_seafood,shop_rel_florist,shop_rel_interior_decoration,shop_rel_pastry,shop_rel_herbalist,shop_rel_department_store,shop_rel_cosmetics,shop_rel_appliance,shop_rel_stationery,amenity_rel_cinema,shop_rel_medical_supply,shop_rel_dry_cleaning,shop_rel_printer_ink,shop_rel_mobile_phone,shop_rel_frozen_food,amenity_rel_fountain,shop_rel_doityourself,shop_rel_storage_rental,shop_rel_toys,shop_rel_curtain,shop_rel_bed,shop_rel_tea,shop_rel_pet,shop_rel_perfumery,shop_rel_yes,shop_rel_wholesale,shop_rel_pet_grooming,amenity_rel_biergarten,shop_rel_collector,shop_rel_trade,amenity_rel_parcel_locker,shop_rel_nuts,shop_rel_houseware,shop_rel_fabric,shop_rel_glaziery,shop_rel_kitchen,shop_rel_fishing,shop_rel_coffee,shop_rel_video_games,shop_rel_doors,shop_rel_locksmith,shop_rel_paint,shop_rel_household_linen,shop_rel_copyshop,amenity_rel_workshop,shop_rel_craft,shop_rel_carpet,shop_rel_party,amenity_rel_exhibition_centre,amenity_rel_conference_centre,shop_rel_second_hand,shop_rel_window_blind,shop_rel_motorcycle_repair,shop_rel_motorcycle,shop_rel_cannabis,shop_rel_cheese,shop_rel_hearing_aids,shop_rel_food,shop_rel_baby_goods,shop_rel_hairdresser_supply,shop_rel_sewing,shop_rel_photo,shop_rel_general,shop_rel_shoe_repair,shop_rel_fuel,shop_rel_money_lender,shop_rel_bookmaker,shop_rel_nutrition_supplements,amenity_rel_money_transfer,shop_rel_frame,shop_rel_car_parts,shop_rel_tyres,shop_rel_tattoo,amenity_rel_arts_centre,shop_rel_massage,shop_rel_chemist,shop_rel_alcohol,shop_rel_ice_cream,shop_rel_hairdresser;pet,shop_rel_bathroom_furnishing,shop_rel_health_food,shop_rel_windows,shop_rel_wine,amenity_rel_parking,shop_rel_tailor,shop_rel_estate_agent,shop_rel_beverages,shop_rel_shutters,shop_rel_optician;hearing_aids,shop_rel_doityourself;sewing,shop_rel_art,shop_rel_dairy,shop_rel_games,shop_rel_esoteric,shop_rel_video,shop_rel_religion,shop_rel_farm,amenity_rel_car_sharing,shop_rel_electrical,shop_rel_indian_food,shop_rel_leather,shop_rel_gas,shop_rel_hifi,amenity_rel_sop,shop_rel_grocery,amenity_rel_post_depot,amenity_rel_social_facility,shop_rel_e-cigarette,shop_rel_model,shop_rel_eggs,amenity_rel_marketplace,shop_rel_repair,shop_rel_radiotechnics,amenity_rel_car_wash,shop_rel_nails,shop_rel_charity,shop_rel_spices,amenity_rel_bicycle_repair_station,shop_rel_flooring,shop_rel_musical_instrument,shop_rel_lighting,shop_rel_music,shop_rel_gold_buyer,amenity_rel_ice_cream,shop_rel_outpost,shop_rel_pawnbroker,shop_rel_pottery,shop_rel_clothes;secondhand,shop_rel_wigs,shop_rel_agrarian,shop_rel_tiles,shop_rel_kitchen;bathroom_furnishing,amenity_rel_place_of_worship,amenity_rel_music_venue,amenity_rel_studio,shop_rel_accessories,shop_rel_weapons,shop_rel_hairdesser,shop_rel_boutique,shop_rel_energy,amenity_rel_coworking_space,shop_rel_erotic,shop_rel_antiques,shop_rel_orthopaedics,amenity_rel_gambling,amenity_rel_casino,shop_rel_CCG,shop_rel_wedding,shop_rel_spy,shop_rel_signs,amenity_rel_driving_school,shop_rel_printing,shop_rel_variety,amenity_rel_prep_school,shop_rel_plant_shop,amenity_rel_bicycle_rental,shop_rel_fireplace,shop_rel_rental,shop_rel_camera,shop_rel_hair extensions,amenity_rel_retail,amenity_rel_student_accommodation,geometry,population,av_age,percent_65,pp_income,male_rate,pop_buffer,has_Dia,has_Burger King,has_Mercadona,has_Ahorramás,has_Carrefour,has_Rodilla,has_McDonald's,has_Vips,has_100 Montaditos,has_Supercor,has_Alcampo,has_Telepizza,has_Lidl,has_Starbucks,has_Malvón,has_Domino's,has_Marco Aldany,has_Orange,has_Ginos,has_Granier,has_La Sirena,has_KFC,has_ALDI,has_Vitaldent,has_Foster's Hollywood,has_Mango,has_Vodafone,has_Movistar,has_Opticalia,has_Multiópticas,has_Lizarrán,has_Papa John's,has_Zara,trains_metro,trains_metro_in_buffer,bus,bus_in_buffer
Local,61,madrid_hdbscan_5_5,61,11,-3.635984433339823,40.376706204888485,-3.6360286,40.3767428,6.416877146027021e-06,1714229.4841674815,0.0006078378962871,0.0018894128261151,0.0005073116154721,0.0007246859194355,Yes,,,0.091,,,,,0.091,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,,,,0.091,,,,,,,,,,,,,,,,,,,,,,,,,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,0.091,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.635831966738048 40.374822953773304, -3.6367099 40.3771472, -3.6369085 40.3780932, -3.6349463 40.3767513, -3.635831966738048 40.374822953773304))",3.0,35.2,5.7,9949.0,88.1,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Local,71,madrid_hdbscan_5_5,71,18,-3.612577991115757,40.37048387103329,-3.6127013,40.37063582216744,1.5170774640015724e-05,1186491.8191139477,0.0011899663002976,0.0026932798211525,0.0007808890735874,0.0011394207549638,Yes,,,0.278,,,0.056,0.111,,,,0.056,,,,,,,,0.111,,0.056,,,0.056,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.6131292 40.3678476, -3.6139949 40.369882, -3.6129601 40.3719963, -3.6126682 40.3724064, -3.6119759 40.3721055, -3.6106671 40.3688456, -3.6131292 40.3678476))",2050.0,33.92,4.94,17299.18,88.1,4263.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0
Mixed,87,madrid_hdbscan_5_5,87,28,-3.729299305840203,40.44154510274007,-3.729262795091632,40.44228050144458,5.212539486781345e-05,537166.1945392672,0.0024821304634066,0.0049038466493932,0.001794231806824,0.0020109308768878,Yes,,,0.071,,,,,0.071,0.036,,,,,,0.071,,,,,,,,,,,,,,,,,,,,0.036,0.036,,,,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.729177213886413 40.43802014152683, -3.731088068066539 40.43835504906502, -3.73178663308984 40.438955837605334, -3.731913 40.4391166, -3.73193932758677 40.44006913507387, -3.730107578157081 40.44426718321174, -3.7272949 40.445244, -3.7247236 40.4433088, -3.729177213886413 40.43802014152683))",40.0,49.3,31.7,27517.0,88.1,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,11.0
Local,116,madrid_hdbscan_5_5,116,21,-3.69242483666581,40.37425898727986,-3.6923799,40.37460365,1.721277468826826e-05,1220024.1030467334,0.001380967454772,0.0027932639709439,0.0007910033649015,0.0013635923287615,Yes,,0.048,0.048,,0.143,0.095,,,,,0.048,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.692838367592326 40.37160177529826, -3.6942495 40.3745717, -3.6928801 40.3762237, -3.691092257734055 40.37671389196274, -3.6909304 40.3750837, -3.690882445643069 40.37390427653905, -3.692058 40.3716401, -3.692838367592326 40.37160177529826))",3312.0,43.01,19.37,10254.27,88.1,7326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0
Local,122,madrid_hdbscan_5_5,122,14,-3.712575499783054,40.34874877862533,-3.71262175,40.34878775,1.8675053794705944e-06,7496631.685188913,0.0006907531713659,0.0009200787313795,0.0006234359871064,0.0003452109439798,Yes,0.071,,0.071,,0.071,0.071,,,,,0.071,,,,0.214,0.071,,,,,0.071,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.712163896962752 40.347925900754525, -3.7133172 40.3484943, -3.7133304 40.3485982, -3.7133304 40.3487209, -3.7129262 40.349062, -3.7124042 40.3490952, -3.7122065 40.3491052, -3.7118499 40.3491195, -3.7117789 40.3490899, -3.7117658 40.3490006, -3.7117678 40.3488546, -3.712163896962752 40.347925900754525))",153.0,42.6,17.8,10831.0,88.1,5164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Urban,131,madrid_hdbscan_5_5,131,113,-3.708535213792771,40.34601533413008,-3.7086014,40.3458326,3.459499396910373e-05,3266368.541671625,0.0019398382297728,0.0041978519210554,0.0019081247448314,0.0010410892485195,Yes,0.027,0.062,0.035,0.027,0.053,0.035,0.053,,,0.018,0.027,,,0.009,0.009,,0.009,,0.018,,0.071,0.035,,0.027,,,0.053,0.009,0.018,0.018,,,,,,,,,,0.009,0.018,,0.009,0.009,0.027,0.018,,0.035,,,,,,,,0.009,,0.009,,,,,0.009,,,,0.009,,0.018,,0.009,,,,,,0.009,,,,,0.009,,,,0.009,,,0.009,,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,,,,,0.009,,,,,,,,,0.009,0.009,0.009,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.7088484 40.3442835, -3.7111629 40.3447176, -3.7126087 40.3450011, -3.7121172 40.346153, -3.7109754 40.3468851, -3.7068062 40.3488857, -3.7065983 40.3489001, -3.7063287 40.3489174, -3.7052918 40.34864, -3.70514363291582 40.3482754599617, -3.705143067601989 40.348269292220195, -3.706095676744192 40.34506620942627, -3.7067466 40.3447153, -3.7088484 40.3442835))",8367.0,42.1,17.58,10158.64,88.1,16064.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0
Local,145,madrid_hdbscan_5_5,145,7,-3.671175676354243,40.50781329935823,-3.6711726,40.5078343,1.5526619505841438e-06,4508386.385952495,0.0004437203394721,0.00113962842685,0.0004416031144597,0.0003247924608234,Yes,,,0.143,,,0.143,,,,0.143,,,,,0.143,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.672128434479704 40.507187995507564, -3.6711726 40.5082246, -3.6709914 40.5081627, -3.6706306 40.5077569, -3.6708383 40.5076091, -3.672128434479704 40.507187995507564))",110.0,32.56,3.67,25634.87,88.1,3482.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0
Urban,158,madrid_hdbscan_5_5,158,17,-3.706327864685907,40.49249993514592,-3.7064046,40.4923868,7.01275892378792e-06,2424152.9168120185,0.0009980968168527,0.0019101316146209,0.0010439086237571,0.0005721768564879,Yes,,,0.176,,,0.059,0.294,,,,,,,,,,,,,,,,0.059,,,,0.059,,,,,,,0.059,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.7045768 40.4917368, -3.7058181 40.4918314, -3.7064786 40.4921897, -3.7078365 40.492931, -3.7078642 40.4929738, -3.7080438 40.4932719, -3.707370095385305 40.49375951673602, -3.706564921342306 40.493207070164075, -3.704646330272535 40.49185069821645, -3.7045768 40.4917368))",87.0,42.5,23.2,34765.0,88.1,1237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0
Urban,211,madrid_hdbscan_5_5,211,9,-3.6833692652488352,40.41620801769821,-3.683176759562723,40.41578732041714,1.187609898103664e-05,757824.603379519,0.001391887826251,0.0025188580507665,0.0008267041988541,0.0012626138409988,Yes,,,,,,,,,,,,,,,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.683094619310308 40.41453911998617, -3.684944601819673 40.4167282999911, -3.6842812 40.418556, -3.683068374472072 40.417325994146346, -3.681988053717626 40.41518346874299, -3.683094619310308 40.41453911998617))",62.0,47.4,27.5,24572.0,88.1,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urban,219,madrid_hdbscan_5_5,219,5,-3.600538978507052,40.42566713153647,-3.6005503,40.425738357682384,3.574278753652956e-06,1398883.6194966438,0.0007849781069314,0.0014180767308708,0.000440562679369,0.0008328924519212,Yes,,,,,,0.2,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.6005503 40.4242491, -3.6011891 40.4268257, -3.599801892535261 40.425738357682384, -3.6005503 40.4242491))",241.0,40.77,7.34,18354.73,88.1,4531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
