geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,madrid_hdbscan_5_5
POINT (-3.7106687 40.4723365),,,pharmacy,,pharmacy,,,Calle de Ribadavia,9,28029,,,,-3.7106687,40.4723365,-413072,4505380,,449
POINT (-3.7094244 40.4114612),Evo Banco,,bank,,,,,,,,,,,-3.7094244,40.4114612,-412933,4498604,evo banco,1179
POINT (-3.7101786 40.4116487),El Viajero,,restaurant,,,,,Plaza de la Cebada,11,28005,,,,-3.7101786,40.4116487,-413017,4498625,el viajero,1179
POINT (-3.7105359 40.4118381),Pez Tortilla,,pub,,,,,Calle de la Cava Baja,42,28005,,,local;spanish,-3.7105359,40.4118381,-413057,4498646,pez tortilla,1179
POINT (-3.7103837 40.41178),La Tomasa,,pub,,,,,,,,,,,-3.7103837,40.41178,-413040,4498639,la tomasa,1179
POINT (-3.7106292 40.4118652),El Bonanno,,pub,,,,,Plaza del Humilladero,4,28005,,,,-3.7106292,40.4118652,-413067,4498649,el bonanno,1179
POINT (-3.7105933 40.412068),Que trabaje Rita,,restaurant,,,,,,,,,,,-3.7105933,40.412068,-413063,4498671,que trabaje rita,1179
POINT (-3.7109337 40.4118925),Cervecería San Andrés,,pub,,,,,,,,,,,-3.7109337,40.4118925,-413101,4498652,cervecería san andrés,1179
POINT (-3.6966965 40.4109882),Gujarat,,pub,,,,,,,,,,,-3.6966965,40.4109882,-411516,4498551,gujarat,1132
POINT (-3.6967784 40.4110395),Alcampo,supermarket,,,,,,,,,Alcampo,,,-3.6967784,40.4110395,-411525,4498557,alcampo,1132
POINT (-3.6968537 40.4110728),,variety_store,,,,,,,,,,,,-3.6968537,40.4110728,-411534,4498561,,1132
POINT (-3.6938445 40.4126615),,kiosk,,,,,,,,,,,,-3.6938445,40.4126615,-411199,4498737,,1072
POINT (-3.6939658 40.4122937),El Fogón Verde,,restaurant,,,,,Calle de la Alameda,4,28014,,,spanish,-3.6939658,40.4122937,-411212,4498697,el fogón verde,1072
POINT (-3.7085285 40.416073),Velicia,,bar,,,,,Calle Mayor,42,28013,,,,-3.7085285,40.416073,-412833,4499117,velicia,1225
POINT (-3.7081195 40.4160241),Santander,,atm,,,,,,,,Banco Santander,Banco Santander,,-3.7081195,40.4160241,-412788,4499112,santander,1225
POINT (-3.7080551 40.4191426),,greengrocer,,,,,,,,,,,,-3.7080551,40.4191426,-412781,4499459,,1265
POINT (-3.7082433 40.4186643),Taberna de los Ángeles,,restaurant,,,,,Costanilla de los Ángeles,8,28013,,,,-3.7082433,40.4186643,-412802,4499406,taberna de los ángeles,1265
POINT (-3.7039069 40.4191018),,,bar,,,,,,,,,,,-3.7039069,40.4191018,-412319,4499454,,1156
POINT (-3.7040573 40.4193117),,,pub,,,,,,,,,,,-3.7040573,40.4193117,-412336,4499478,,1156
POINT (-3.7043567 40.4192335),Hotel II Castillas,,,hotel,,,,Calle Abada,8,28013,,,,-3.7043567,40.4192335,-412369,4499469,hotel ii castillas,1156
POINT (-3.6345377 40.443889),Matsuri,,restaurant,,,,,Calle López de Aranda,38,,,,asian,-3.6345377,40.443889,-404597,4502214,matsuri,276
POINT (-3.6344424 40.4439935),Unus,,restaurant,,,,,,,,,,,-3.6344424,40.4439935,-404586,4502225,unus,276
