geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,hdbscan_5_5,hdbscan_5_5_merged,hdbscan_5_5_merged
POINT (-3.6361022 40.4631411),mk2 Palacio de Hielo,,cinema,,,,,,,,,,,-3.6361022,40.4631411,195,0,0
POINT (-3.7020018 40.428732),Café Comercial,,restaurant,,,,,Glorieta de Bilbao,7,28004,,,,-3.7020018,40.428732,1321,1,1
POINT (-3.7016997 40.4270276),Honest Greens,,restaurant,,,,,Calle de Fuencarral,95,28004,Honest Greens,,,-3.7016997,40.4270276,-1,-1,-1
POINT (-3.6962892 40.4276137),Gran Café Santander,,pub,,,,,Plaza de Santa Bárbara,4,28004,,,,-3.6962892,40.4276137,1086,2,2
POINT (-3.7045532 40.4232134),Teatro Alfil,,theatre,,,,,Calle del Pez,10,28004,,,,-3.7045532,40.4232134,1307,3,3
POINT (-3.7068876 40.480352),Alcampo,supermarket,,,,,,,,,Alcampo,,,-3.7068876,40.480352,469,4,4
POINT (-3.7074361 40.4798421),Multicines La Vaguada,,cinema,,,,,,,,,,,-3.7074361,40.4798421,469,4,4
POINT (-3.6072228 40.4333661),Burger King,,fast_food,,,,,,,,Burger King,,burger,-3.6072228,40.4333661,260,716,716
POINT (-3.6050886 40.4285305),Los arcángeles de Las Rosas,lottery,,,,,,,,,,,,-3.6050886,40.4285305,269,719,719
POINT (-3.7021068 40.4122075),Filmoteca Nacional,,cinema,,,,,,,,,,,-3.7021068,40.4122075,-1,-1,-1
POINT (-3.7079389 40.4117047),Farmacia la Latina,,pharmacy,,pharmacy,,,Calle de Toledo,53,28005,,,,-3.7079389,40.4117047,-1,-1,-1
POINT (-3.7522395 40.3865761),Farmacia Estrella,,pharmacy,,pharmacy,,,Calle de Nuestra Señora de la Luz,57,28047,,,,-3.7522395,40.3865761,218,5,5
POINT (-3.7010866 40.4097328),Café Melo's,,pub,,,,,Calle del Ave María,44,28012,,,,-3.7010866,40.4097328,-1,-1,-1
POINT (-3.6981336 40.4260312),Olé Lola,,pub,,,,,Calle de San Mateo,28,28004,,,,-3.6981336,40.4260312,1076,6,6
POINT (-3.7122038 40.4256477),Mür Café,,bar,,,,,Plaza de Cristino Martos,2,28015,,,,-3.7122038,40.4256477,1120,912,912
POINT (-3.7120898 40.4257656),La Parrilla de Nino,,restaurant,,,,,Plaza de Cristino Martos,2,28015,,,,-3.7120898,40.4257656,1120,912,912
POINT (-3.7117951 40.4254487),Tempo,,pub,,,,,,,,,,,-3.7117951,40.4254487,1114,7,7
POINT (-3.7118533 40.42514),Taj Mahal,,restaurant,,,,,Calle del Duque de Osuna,6,28015,,,indian,-3.7118533,40.42514,1114,7,7
POINT (-3.7115084 40.426008),La Pomarada,,restaurant,,,,,Calle del Conde Duque,,28015,,,regional,-3.7115084,40.426008,1163,8,8
POINT (-3.7093262 40.4188562),Room Mate Mario Hotel,,,hotel,,,,Calle de Campomanes,4,28013,Room Mate,Room Mate,,-3.7093262,40.4188562,-1,-1,-1
POINT (-3.6963836 40.4252476),Sexto,,restaurant,,,,,Calle de Fernando VI,6,28004,,,,-3.6963836,40.4252476,1082,9,9
POINT (-3.6962971 40.4274303),,,fast_food,,,,,,,,,,,-3.6962971,40.4274303,1086,2,2
POINT (-3.7163184 40.4366465),Don Oso,,fast_food,,,,,Calle de Donoso Cortés,90,28015,,,burger,-3.7163184,40.4366465,1019,898,898
POINT (-3.7049818 40.4164064),McDonald's,,fast_food,,,,,,,,McDonald's,McDonald's,burger,-3.7049818,40.4164064,-1,-1,-1
POINT (-3.7088498 40.4162327),Brasa y Leña,,restaurant,,,,,Plaza del Comandante Las Morenas,3,28013,,,,-3.7088498,40.4162327,1221,926,926
POINT (-3.7087304 40.4136118),100 Montaditos,,restaurant,,,,,,,,100 Montaditos,,sandwich,-3.7087304,40.4136118,-1,-1,-1
POINT (-3.7101814 40.4167458),Peor Para El Sol,,bar,,,,,Calle de la Unión,2,28013,,,,-3.7101814,40.4167458,-1,-1,-1
POINT (-3.7114792 40.4787084),,,pub,,,,,,,,,,,-3.7114792,40.4787084,-1,-1,-1
POINT (-3.7108592 40.4754931),,,pharmacy,,pharmacy,,,Calle de Melchor Fernández Almagro,84,28029,,,,-3.7108592,40.4754931,489,773,773
POINT (-3.7069843 40.4785121),,,pharmacy,,pharmacy,,,,,,,,,-3.7069843,40.4785121,469,4,4
