geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Malaga_hdbscan_5_5
POINT (-4.4215087 36.7211582),Café Central,,cafe,,,,,,11,29016.0,,,regional;spanish;mediterranean,-4.4215087,36.7211582,-492202,4087799,café central,142
POINT (-4.4768218 36.70743),,furniture,,,,,,,,,,,,-4.4768218,36.70743,-498360,4086271,,49
POINT (-4.5463936 36.727966),La Competencia,,restaurant,,,,,,,,,,regional,-4.5463936,36.727966,-506105,4088557,la competencia,-1
POINT (-4.4647566 36.6657895),Frascati,,restaurant,,,,,Calle Rogelio Oliva,29,29004.0,,,,-4.4647566,36.6657895,-497017,4081636,frascati,13
POINT (-4.4381512 36.7028558),,,post_box,,,,,,,,Correos,Correos,,-4.4381512,36.7028558,-494055,4085762,,115
POINT (-4.4834575 36.6732233),Autos Remo,,car_rental,,,,,,,,,,,-4.4834575,36.6732233,-499098,4082463,autos remo,26
POINT (-4.4890681 36.6756985),SIXT - Aeropuerto de Málaga,,car_rental,,,,,,,29004.0,,Sixt,,-4.4890681,36.6756985,-499723,4082739,sixt - aeropuerto de málaga,25
POINT (-4.4211164 36.7241887),El Apartamento,,restaurant,,,,,Calle Carretería,92,29008.0,,,,-4.4211164,36.7241887,-492159,4088137,el apartamento,142
POINT (-4.3605302 36.721274),Caixabank,,bank,,,,,Avenida Juan Sebastián Elcano,201,29017.0,Caixabank,La Caixa,,-4.3605302,36.721274,-485414,4087812,caixabank,39
POINT (-4.4219753 36.720385),Beluga,,restaurant,,,,,,3,29005.0,,,mediterranean,-4.4219753,36.720385,-492254,4087713,beluga,142
POINT (-4.3599263 36.7214919),Miguel de Rosalía,butcher,,,,,,,,,,,,-4.3599263,36.7214919,-485347,4087836,miguel de rosalía,39
POINT (-4.3599275 36.7234516),Supersol,supermarket,,,,,,Calle Villafuerte,35,29017.0,Supersol,,,-4.3599275,36.7234516,-485347,4088055,supersol,38
POINT (-4.3597366 36.7235118),Panadería Montañez,bakery,,,,,,Calle Villafuerte,34,29017.0,,,,-4.3597366,36.7235118,-485326,4088061,panadería montañez,38
POINT (-4.3599159 36.723539),Farmacia Villafuerte,,pharmacy,,pharmacy,,,Calle Villafuerte,35,29017.0,,,,-4.3599159,36.723539,-485346,4088064,farmacia villafuerte,38
POINT (-4.3600568 36.7218878),Bazar Chun,convenience,,,,,,,,,,,,-4.3600568,36.7218878,-485362,4087881,bazar chun,39
POINT (-4.3599744 36.7230887),Ángeles Barba,hairdresser,,,,,,,,,,,,-4.3599744,36.7230887,-485352,4088014,ángeles barba,38
POINT (-4.4876805 36.6754423),Aeropuerto,,taxi,,,,,,,,,Oficina Municipal del Taxi,,-4.4876805,36.6754423,-499569,4082710,aeropuerto,26
POINT (-4.4199921 36.7207952),Farmacia del Sagrario,,pharmacy,,pharmacy,,,Calle Santa María,29,29015.0,,,,-4.4199921,36.7207952,-492034,4087759,farmacia del sagrario,142
