geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,madrid_hdbscan_5_5
POINT (-3.6852544 40.485413),Casa Ginés,,restaurant,,,,,,,,,,,-3.6852544,40.485413,-410243,4506836,casa ginés,377
POINT (-3.6853156 40.4854456),La Muralla,,pub,,,,,,,,,,,-3.6853156,40.4854456,-410249,4506840,la muralla,377
POINT (-3.6852389 40.4845853),,kiosk,,,,,,,,,,,,-3.6852389,40.4845853,-410241,4506744,,377
POINT (-3.68482 40.4849065),Tapería de Fuencarral,,restaurant,,,,,,,,,,,-3.68482,40.4849065,-410194,4506780,tapería de fuencarral,377
POINT (-3.6854466 40.4850146),,,veterinary,,,,,,,,,,,-3.6854466,40.4850146,-410264,4506792,,377
POINT (-3.704493 40.4164854),KFC,,fast_food,,,,,,,,KFC,,chicken,-3.704493,40.4164854,-412384,4499163,kfc,1175
POINT (-3.7044352 40.4165025),BBVA,,atm,,,,,,,,BBVA,BBVA,,-3.7044352,40.4165025,-412378,4499165,bbva,1175
POINT (-3.7031236 40.418183),El Gaucho,,restaurant,,,,,Calle de Tetuán,34,28013,,,,-3.7031236,40.418183,-412232,4499352,el gaucho,1276
POINT (-3.631015 40.4481735),Banco Santander,,bank,,,,,,,,Banco Santander,,,-3.631015,40.4481735,-404205,4502691,banco santander,111
POINT (-3.6993951 40.4105463),El 15,,pub,,,,,,,,,,,-3.6993951,40.4105463,-411817,4498502,el 15,1169
POINT (-3.6994987 40.4107804),El Despertar,,cafe,,,,,,,,,,,-3.6994987,40.4107804,-411828,4498528,el despertar,1169
POINT (-3.6278933 40.4476313),,kiosk,,,,,,,,,,,,-3.6278933,40.4476313,-403857,4502630,,111
POINT (-3.6245263 40.3984878),,,pharmacy,,pharmacy,,,Bulevar de José Prat,5,28032,,,,-3.6245263,40.3984878,-403482,4497160,,283
POINT (-3.6735361 40.403064),Centro Privado de Formación Profesional Específica Escuela Superior de Formación,,school,,,,,Calle del Doctor Esquerdo,160,28007,,,,-3.6735361,40.403064,-408938,4497669,centro privado de formación profesional específica escuela superior de formación,650
POINT (-3.703236 40.444873),,,pharmacy,,pharmacy,,,Calle de Santa Engracia,163,28003,,,,-3.703236,40.444873,-412244,4502323,,844
POINT (-3.7022604 40.455593),Bon Colchón,bed,,,,,,,,,,,,-3.7022604,40.455593,-412136,4503517,bon colchón,918
POINT (-3.7020227 40.4562014),,,pharmacy,,pharmacy,,,Calle de Bravo Murillo,200,28020,,,,-3.7020227,40.4562014,-412109,4503584,,918
POINT (-3.6751661 40.499659),Ibercaja,,bank,,,,,Calle Castiello de Jaca,,,Ibercaja,Ibercaja,,-3.6751661,40.499659,-409119,4508422,ibercaja,144
POINT (-3.70436 40.4164841),BBVA,,bank,,,,,,,,BBVA,BBVA,,-3.70436,40.4164841,-412369,4499163,bbva,1175
POINT (-3.7083683 40.4036977),Carrefour Market,supermarket,,,,,,,,,Carrefour Market,,,-3.7083683,40.4036977,-412816,4497740,carrefour market,974
POINT (-3.6184746 40.3718936),Fuente de Canalejas,,restaurant,,,,,,,,,,,-3.6184746,40.3718936,-402809,4494199,fuente de canalejas,97
POINT (-3.6733393 40.4032294),Caixabank,,bank,,,,,,,,Caixabank,,,-3.6733393,40.4032294,-408916,4497687,caixabank,650
POINT (-3.6759909 40.4398176),Antiguo bar La flor,,bar,,,,,,,,,,,-3.6759909,40.4398176,-409211,4501760,antiguo bar la flor,698
POINT (-3.7104746 40.4062752),Farmacia Ldas Ulierte,,pharmacy,,pharmacy,,,Ronda de Toledo,8,28005,,,,-3.7104746,40.4062752,-413050,4498027,farmacia ldas ulierte,973
POINT (-3.6935401 40.4291246),Crustó,bakery,,,,,,,,,,,,-3.6935401,40.4291246,-411165,4500570,crustó,999
POINT (-3.6937519 40.4291805),Whitby,,bar,,,,,Calle de Almagro,22,,,,,-3.6937519,40.4291805,-411188,4500576,whitby,999
POINT (-3.707633 40.4109033),Carol House,,restaurant,,,,,Calle de las Maldonadas,4,28005,,,,-3.707633,40.4109033,-412734,4498542,carol house,1188
POINT (-3.708101 40.4109702),,vacant,,,,,,,,,,,,-3.708101,40.4109702,-412786,4498549,,1188
POINT (-3.7079597 40.4113326),San Millán,,cafe,,,,,,,,,,,-3.7079597,40.4113326,-412770,4498590,san millán,1188
POINT (-3.7076291 40.4108009),Plaza Lavapiés,greengrocer,,,,,,Calle de las Maldonadas,1,,,,,-3.7076291,40.4108009,-412733,4498530,plaza lavapiés,1188
POINT (-3.7079535 40.4109173),Alimentación y Bazar,convenience,,,,,,,,,,,,-3.7079535,40.4109173,-412769,4498543,alimentación y bazar,1188
POINT (-3.7080342 40.4109462),Luzmovil,mobile_phone,,,,,,Calle de las Maldonadas,7,,,,,-3.7080342,40.4109462,-412778,4498547,luzmovil,1188
POINT (-3.7074989 40.4107542),Cruz,,cafe,,,,,Calle de las Maldonadas,1,28005,,,,-3.7074989,40.4107542,-412719,4498525,cruz,1188
POINT (-3.7074954 40.4106629),La Barca del Patio,,restaurant,,,,,,,,,,,-3.7074954,40.4106629,-412718,4498515,la barca del patio,1188
POINT (-3.7078995 40.4108979),Beerhouse,,pub,,,,,Calle de las Maldonadas,5,28005,,,,-3.7078995,40.4108979,-412763,4498541,beerhouse,1188
POINT (-3.7077678 40.4109611),sin tarima,books,,,,,,Calle de las Maldonadas,6,,,,,-3.7077678,40.4109611,-412749,4498548,sin tarima,1188
POINT (-3.7079077 40.411009),Marisquería G. Castellano,seafood,,,,,,Calle de las Maldonadas,8,28005,,,,-3.7079077,40.411009,-412764,4498554,marisquería g. castellano,1188
POINT (-3.7074309 40.4110324),Ferretería Hoyos,hardware,,,,,,,,,,,,-3.7074309,40.4110324,-412711,4498556,ferretería hoyos,1188
POINT (-3.7077053 40.4109398),El Sótano,,bar,,,,,Calle de las Maldonadas,6,,,,,-3.7077053,40.4109398,-412742,4498546,el sótano,1188
POINT (-3.7078499 40.4109892),Peluquería,hairdresser,,,,,,Calle de las Maldonadas,8,28005,,,,-3.7078499,40.4109892,-412758,4498551,peluquería,1188
POINT (-3.7079988 40.411183),Banco Santander,,bank,,,,,,,,Banco Santander,Banco Santander,,-3.7079988,40.411183,-412774,4498573,banco santander,1188
POINT (-3.7088396 40.410562),Los Andes,convenience,,,,,,,,,,,,-3.7088396,40.410562,-412868,4498504,los andes,1185
