geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Seville_hdbscan_5_5
POINT (-5.9970898 37.3912899),Deutsche Bank,,bank,,,,,,,,Deutsche Bank,,,-5.9970898,37.3912899,-667596,4162398,deutsche bank,318
POINT (-5.9218547 37.3881734),Pizzeria Maria,,restaurant,,,,,,,,,,,-5.9218547,37.3881734,-659221,4162051,pizzeria maria,20
POINT (-5.9217397 37.387228),Cafetería Rui,,restaurant,,,,,,,,,,,-5.9217397,37.387228,-659208,4161946,cafetería rui,20
POINT (-5.9199692 37.3875844),,,restaurant,,,,,,,,,,,-5.9199692,37.3875844,-659011,4161986,,20
POINT (-5.9215507 37.3871325),,,post_box,,,,,,,,,,,-5.9215507,37.3871325,-659187,4161936,,20
POINT (-5.9210132 37.3886379),,,restaurant,,,,,,,,,,,-5.9210132,37.3886379,-659127,4162103,,20
POINT (-5.9206068 37.3881693),,,restaurant,,,,,,,,,,,-5.9206068,37.3881693,-659082,4162051,,20
POINT (-5.9858491 37.3630589),Cafetería Metrópolis,,restaurant,,,,,,,,,,,-5.9858491,37.3630589,-666345,4159256,cafetería metrópolis,95
POINT (-5.9721722 37.3828648),La Oca,,cafe,,,,,,,,,,,-5.9721722,37.3828648,-664822,4161461,la oca,181
POINT (-5.9723331 37.3828961),100 Montaditos,,restaurant,,,,,,,,100 Montaditos,,sandwich,-5.9723331,37.3828961,-664840,4161464,100 montaditos,181
POINT (-5.9724153 37.382913),Jaque Mate Tapas,,restaurant,,,,,Eduardo Dato,,41018.0,,,,-5.9724153,37.382913,-664849,4161466,jaque mate tapas,181
POINT (-5.9732854 37.3834374),Banco Santander,,bank,,,,,,,,Banco Santander,Santander,,-5.9732854,37.3834374,-664946,4161524,banco santander,181
POINT (-5.9725307 37.3839734),Cinesur Nervión Plaza 3D,,cinema,,,,,,,,,,,-5.9725307,37.3839734,-664862,4161584,cinesur nervión plaza 3d,181
POINT (-5.9728793 37.3853757),Domino's,,fast_food,,,,,Avenida Luis de Morales,20,41005.0,Domino's,,pizza,-5.9728793,37.3853757,-664901,4161740,domino's,181
POINT (-5.972212 37.3861094),Bankinter,,bank,,,,,Calle Luis de Morales,4,41018.0,Bankinter,,,-5.972212,37.3861094,-664827,4161822,bankinter,181
POINT (-5.972532 37.3882256),Café Bar San Pablo,,cafe,,,,,,,,,,,-5.972532,37.3882256,-664862,4162057,café bar san pablo,-1
POINT (-5.9735381 37.3889899),,,post_box,,,,,,,,Correos,Correos,,-5.9735381,37.3889899,-664974,4162142,,-1
POINT (-5.973939 37.3895142),Mercadona,supermarket,,,,,,,,,Maxi Dia,,,-5.973939,37.3895142,-665019,4162201,mercadona,179
POINT (-5.9741448 37.3895127),Cajasol,,atm,,,,,,,,,Cajasol,,-5.9741448,37.3895127,-665042,4162201,cajasol,179
POINT (-5.9746824 37.3891832),Hotel Ayre Sevilla,,,hotel,,,,,,,,,,-5.9746824,37.3891832,-665102,4162164,hotel ayre sevilla,179
POINT (-5.9723222 37.3877373),Farmacia Fernando Carneado Sevilla,,pharmacy,,pharmacy,,,Avenida de Kansas City,2,41007.0,,,,-5.9723222,37.3877373,-664839,4162003,farmacia fernando carneado sevilla,-1
POINT (-5.9730986 37.3874144),Unicaja Banco,,bank,,,,,,,,Unicaja Banco,,,-5.9730986,37.3874144,-664925,4161967,unicaja banco,-1
POINT (-5.9736055 37.3871171),Caixabank,,bank,,,,,,,,Caixabank,,,-5.9736055,37.3871171,-664982,4161934,caixabank,-1
POINT (-5.9929673 37.3824759),Starbucks,,cafe,,,,,,,,Starbucks,,coffee_shop,-5.9929673,37.3824759,-667137,4161417,starbucks,256
POINT (-5.9969473 37.3976001),Café bar La Banqueta,,cafe,,,,,,,,,,,-5.9969473,37.3976001,-667580,4163101,café bar la banqueta,-1
POINT (-5.9969243 37.3975489),Eslava,,bar,,,,,Calle Eslava,3,41002.0,,,spanish,-5.9969243,37.3975489,-667578,4163095,eslava,-1
POINT (-5.997076 37.396966),Caja Rural,,atm,,,,,,,,,,,-5.997076,37.396966,-667595,4163030,caja rural,246
POINT (-5.9967756 37.3968705),Bar San Lorenzo,,restaurant,,,,,,,,,,,-5.9967756,37.3968705,-667561,4163020,bar san lorenzo,246
