geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Valencia_hdbscan_5_5
POINT (-0.3818602 39.471011),Ni pa ti ni pa mi,,cafe,,,,,,,,,,,-0.3818602,39.471011,-42509,4393913,ni pa ti ni pa mi,-1
POINT (-0.3816271 39.4710084),Rivendel,,cafe,,,,,,,,,,,-0.3816271,39.4710084,-42483,4393913,rivendel,-1
POINT (-0.381409 39.4709045),Poquito a poco,,cafe,,,,,,,,,,,-0.381409,39.4709045,-42458,4393901,poquito a poco,-1
POINT (-0.3803981 39.4711826),Cervecería Velluters,,cafe,,,,,,,,,,,-0.3803981,39.4711826,-42346,4393932,cervecería velluters,200
POINT (-0.3808791 39.4709675),Café Santos,,cafe,,,,,,,,,,,-0.3808791,39.4709675,-42399,4393908,café santos,-1
POINT (-0.3806733 39.4710138),Les Roques,,restaurant,,,,,,,,,,,-0.3806733,39.4710138,-42377,4393913,les roques,199
POINT (-0.3812193 39.4708998),La Masía del Vino,,restaurant,,,,,,,,,,,-0.3812193,39.4708998,-42437,4393901,la masía del vino,199
POINT (-0.3830845 39.470892),Aladino,,restaurant,,,,,,,,,,,-0.3830845,39.470892,-42645,4393900,aladino,-1
POINT (-0.381146 39.4723522),Bar Victoria,,cafe,,,,,,,,,,,-0.381146,39.4723522,-42429,4394062,bar victoria,-1
POINT (-0.3812925 39.4715046),Teatro Círculo,,theatre,,,,,,,,,,,-0.3812925,39.4715046,-42445,4393968,teatro círculo,-1
POINT (-0.3829038 39.4708092),Aladino,,biergarten,,,,,,,,,,,-0.3829038,39.4708092,-42625,4393890,aladino,-1
POINT (-0.3606665 39.4751489),Conselleria de Sanitat,,,,,government,,,,,,,,-0.3606665,39.4751489,-40149,4394374,conselleria de sanitat,58
POINT (-0.3648781 39.4749557),,,pharmacy,,pharmacy,,,,,,,,,-0.3648781,39.4749557,-40618,4394352,,59
POINT (-0.3631469 39.4779714),,,pharmacy,,pharmacy,,,,,,,,,-0.3631469,39.4779714,-40426,4394688,,59
POINT (-0.3628127 39.4766594),Mercadona,supermarket,,,,,,,,46010,Mercadona,,,-0.3628127,39.4766594,-40388,4394542,mercadona,59
POINT (-0.3632878 39.4770984),Foster's Hollywood,,restaurant,,,,,,,,Foster's Hollywood,,american,-0.3632878,39.4770984,-40441,4394591,foster's hollywood,59
POINT (-0.3964149 39.4951529),Farmacia del Treda,,pharmacy,,pharmacy,,,,,,,,,-0.3964149,39.4951529,-44129,4396600,farmacia del treda,37
POINT (-0.3822785 39.4754191),Apartamentos Alma,,,hotel,,,,,,,,,,-0.3822785,39.4754191,-42555,4394404,apartamentos alma,174
POINT (-0.4031014 39.451077),Farmacia Castejon,,pharmacy,,pharmacy,,,,,,,,,-0.4031014,39.451077,-44873,4391694,farmacia castejon,-1
POINT (-0.403113 39.453284),,,pharmacy,,pharmacy,,,,,,,,,-0.403113,39.453284,-44875,4391940,,24
POINT (-0.4033839 39.4531762),Mercadona,supermarket,,,,,,,,,Mercadona,,,-0.4033839,39.4531762,-44905,4391928,mercadona,24
POINT (-0.3767235 39.4539916),,,clinic,,clinic,,,,,,,,,-0.3767235,39.4539916,-41937,4392018,,-1
POINT (-0.3772745 39.4546781),,,veterinary,,,,,,,,,,,-0.3772745,39.4546781,-41998,4392095,,92
POINT (-0.3739486 39.4520975),Casa Manolo,,restaurant,,,,,,,,,,,-0.3739486,39.4520975,-41628,4391807,casa manolo,-1
POINT (-0.3732921 39.4508285),Casa Tere,,restaurant,,,,,,,,,,,-0.3732921,39.4508285,-41555,4391666,casa tere,135
POINT (-0.3730823 39.4505895),,,restaurant,,,,,,,,,,,-0.3730823,39.4505895,-41532,4391640,,135
POINT (-0.372558 39.4516986),,,,,,yes,,Avinguda d'Ausiàs March,52,,,,,-0.372558,39.4516986,-41473,4391763,,135
POINT (-0.372496 39.4516291),Bar Saisua,,pub,,,,,,,,,,,-0.372496,39.4516291,-41466,4391755,bar saisua,135
POINT (-0.3720946 39.4510699),Nuevo Siglo,,restaurant,,,,,,,,,,chinese,-0.3720946,39.4510699,-41422,4391693,nuevo siglo,135
POINT (-0.3721654 39.4505646),Consum,supermarket,,,,,,,,,Consum,,,-0.3721654,39.4505646,-41429,4391637,consum,135
POINT (-0.3739149 39.453431),,vacant,,,,,,,,,,,,-0.3739149,39.453431,-41624,4391956,,134
POINT (-0.3743822 39.4530108),Banco Santander,,bank,,,,,,,,Banco Santander,Banco Santander,,-0.3743822,39.4530108,-41676,4391909,banco santander,134
POINT (-0.374966 39.4530454),Caixabank,,bank,,,,,,,,Caixabank,,,-0.374966,39.4530454,-41741,4391913,caixabank,-1
POINT (-0.3752203 39.4526054),Consum,supermarket,,,,,,,,,Consum,,,-0.3752203,39.4526054,-41770,4391864,consum,-1
