geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Zaragoza_hdbscan_5_5
POINT (-0.8992936 41.6490424),Tien21,electronics,,,,,,,,,,,,-0.8992936,41.6490424,-100109,4636371,tien21,-1
POINT (-0.917682 41.6442586),Pérez-Ezquerra,,pharmacy,,pharmacy,,,Plaza Azteca,,50012.0,,,,-0.917682,41.6442586,-102156,4635839,pérez-ezquerra,-1
POINT (-0.8966738 41.638636),Ibercaja,,bank,,,,,,,,Ibercaja,IberCaja,,-0.8966738,41.638636,-99818,4635213,ibercaja,235
POINT (-0.9069655 41.6609331),Mercadona,supermarket,,,,,,Avenida de la Autonomía,,50003.0,Mercadona,,,-0.9069655,41.6609331,-100963,4637695,mercadona,-1
POINT (-0.8909493 41.6679743),"Sanz Peruga, María Pilar",,pharmacy,,pharmacy,,,Calle Clara Campoamor,7,50018.0,,,,-0.8909493,41.6679743,-99180,4638479,"sanz peruga, maría pilar",-1
POINT (-0.8737866 41.652125),Taberna Urbana,,pub,,,,,,,,,,,-0.8737866,41.652125,-97270,4636715,taberna urbana,-1
POINT (-0.9015141 41.66247),Ríos Mitchell Bermejo De Torres Solanot,,pharmacy,,pharmacy,,,Calle de Bonn,10,50003.0,,,,-0.9015141,41.66247,-100357,4637866,ríos mitchell bermejo de torres solanot,107
POINT (-0.8996528 41.6613584),Alcampo,supermarket,,,,,,,,,Alcampo,,,-0.8996528,41.6613584,-100149,4637742,alcampo,107
POINT (-0.8942389 41.6318444),,,,viewpoint,,,,,,,,,,-0.8942389,41.6318444,-99547,4634457,,84
POINT (-0.9056599 41.6396189),BonÀrea,supermarket,,,,,,Calle de los Condes de Aragón,12,50009.0,BonÀrea,,,-0.9056599,41.6396189,-100818,4635322,bonàrea,-1
POINT (-0.9068976 41.6388654),Eroski,supermarket,,,,,,,,,Eroski,,,-0.9068976,41.6388654,-100956,4635238,eroski,-1
POINT (-0.9064232 41.6382058),Banco Sabadell,,bank,,,,,,,,Banco Sabadell,Sabadell,,-0.9064232,41.6382058,-100903,4635165,banco sabadell,127
POINT (-0.9078461 41.6391895),Ibercaja,,bank,,,,,,,,Ibercaja,IberCaja,,-0.9078461,41.6391895,-101061,4635275,ibercaja,-1
POINT (-0.9080181 41.6393821),"Hernández Vitoria, Luis",,pharmacy,,pharmacy,,,Avenida de Juan Carlos I,41-43,50009.0,,,,-0.9080181,41.6393821,-101081,4635296,"hernández vitoria, luis",130
POINT (-0.9060872 41.6426228),40/15,,cafe,,,,,,,,,,,-0.9060872,41.6426228,-100866,4635657,40/15,-1
POINT (-0.8881719 41.6427539),Bonaparte,,restaurant,,,,,Avenida Francisco de Goya,17,,,,,-0.8881719,41.6427539,-98871,4635671,bonaparte,294
POINT (-0.8891362 41.6458892),Alafa,hairdresser,,,,,,,,,,,,-0.8891362,41.6458892,-98979,4636020,alafa,274
POINT (-0.8969864 41.6407392),El Tuno,,restaurant,,,,,,,,,,,-0.8969864,41.6407392,-99853,4635447,el tuno,-1
POINT (-0.871244 41.6360964),Colegio Publico Calixto Ariño,,school,,,,,Calle de José Galiay,2,,,,,-0.871244,41.6360964,-96987,4634930,colegio publico calixto ariño,102
POINT (-0.8704525 41.6367448),La Salle Montemolín,,school,,,,,,,,,La Salle,,-0.8704525,41.6367448,-96899,4635002,la salle montemolín,102
POINT (-0.8887719 41.656743),San Blas 97,,cafe,,,,,,,,,,,-0.8887719,41.656743,-98938,4637229,san blas 97,-1
POINT (-0.8905462 41.6579474),,,taxi,,,,,,,,,,,-0.8905462,41.6579474,-99136,4637363,,-1
POINT (-0.891647 41.6579696),Alcampo,supermarket,,,,,,,,,Alcampo,,,-0.891647,41.6579696,-99258,4637365,alcampo,-1
POINT (-0.8903953 41.65808),Bar Mateo,,cafe,,,,,,,,,,,-0.8903953,41.65808,-99119,4637377,bar mateo,-1
POINT (-0.907944 41.6555026),,,taxi,,,,,,,,,,,-0.907944,41.6555026,-101072,4637091,,-1
POINT (-0.9191085 41.6504352),McDonald's,,fast_food,,,,,Vía Hispanidad,87-89,50017.0,McDonald's,,burger,-0.9191085,41.6504352,-102315,4636526,mcdonald's,-1
POINT (-0.9019593 41.6397303),J85,,pub,,,,,,,,,,,-0.9019593,41.6397303,-100406,4635335,j85,112
POINT (-0.9018827 41.6399035),Basic-Fit,,,,,,fitness_centre,,,,Basic-Fit,,,-0.9018827,41.6399035,-100398,4635354,basic-fit,112
POINT (-0.902852 41.6392027),Centro de Salud la Romareda,,clinic,,,,,,,,,,,-0.902852,41.6392027,-100505,4635276,centro de salud la romareda,-1
POINT (-0.8972605 41.6387598),BBVA,,bank,,,,,,,,BBVA,BBVA,,-0.8972605,41.6387598,-99883,4635227,bbva,-1
POINT (-0.8983307 41.6495529),Mercadona,supermarket,,,,,,,,,Mercadona,,,-0.8983307,41.6495529,-100002,4636428,mercadona,232
POINT (-0.8991039 41.649696),,,bank,,,,,,,,,CAI,,-0.8991039,41.649696,-100088,4636444,,231
POINT (-0.8994625 41.6493221),Ibercaja,,bank,,,,,,,,Ibercaja,IberCaja,,-0.8994625,41.6493221,-100128,4636403,ibercaja,-1
POINT (-0.8984491 41.6490696),Laboral kutxa,,bank,,,,,,,,,Caja Laboral,,-0.8984491,41.6490696,-100015,4636374,laboral kutxa,-1
POINT (-0.8711056 41.6597125),Estación Norte,,,hostel,,,,,,,,,,-0.8711056,41.6597125,-96971,4637559,estación norte,90
POINT (-0.8713128 41.6591837),Cumbre,,,hostel,,,,,,,,,,-0.8713128,41.6591837,-96995,4637500,cumbre,90
POINT (-0.8740899 41.6589599),Mercadona,supermarket,,,,,,,,,Mercadona,,,-0.8740899,41.6589599,-97304,4637475,mercadona,93
POINT (-0.8999949 41.6375949),Simply Market,supermarket,,,,,,,,,Simply Market,,,-0.8999949,41.6375949,-100187,4635097,simply market,121
