Unnamed: 0,param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,shop_rel_wholesale,shop_rel_convenience,amenity_rel_restaurant,amenity_rel_cafe,amenity_rel_clinic,amenity_rel_community_centre,amenity_rel_school,shop_rel_greengrocer,shop_rel_car_repair,shop_rel_butcher,shop_rel_printing,shop_rel_optician,shop_rel_supermarket,amenity_rel_charging_station,amenity_rel_bank,amenity_rel_pharmacy,amenity_rel_fast_food,amenity_rel_bar,shop_rel_gift,shop_rel_ticket,amenity_rel_taxi,amenity_rel_cinema,shop_rel_bakery,amenity_rel_library,amenity_rel_post_box,amenity_rel_pub,amenity_rel_college,shop_rel_hairdresser,shop_rel_kiosk,amenity_rel_atm,amenity_rel_post_office,amenity_rel_university,shop_rel_clothes,shop_rel_shoes,shop_rel_beauty,shop_rel_jewelry,shop_rel_mall,shop_rel_tobacco,shop_rel_hardware,shop_rel_vacant,shop_rel_copyshop,amenity_rel_conference_centre,shop_rel_cosmetics,shop_rel_copyshop;books,shop_rel_newsagent,shop_rel_stationery,shop_rel_variety_store,amenity_rel_research_institute,amenity_rel_theatre,shop_rel_electronics,shop_rel_sports,shop_rel_doityourself,shop_rel_interior_decoration,shop_rel_car_parts,shop_rel_erotic,shop_rel_car,shop_rel_mobile_phone,shop_rel_books,shop_rel_bicycle,shop_rel_toys,shop_rel_computer,shop_rel_coffee,shop_rel_department_store,shop_rel_food,shop_rel_seafood,shop_rel_furniture,shop_rel_merchandise,amenity_rel_arts_centre,shop_rel_antiques,shop_rel_deli,amenity_rel_events_venue,shop_rel_confectionery,shop_rel_rental,shop_rel_tattoo,shop_rel_laundry,shop_rel_kitchen,shop_rel_massage,shop_rel_pet,shop_rel_lighting,shop_rel_lottery,shop_rel_haberdashery,shop_rel_houseware,amenity_rel_dentist,shop_rel_bag,shop_rel_herbalist,shop_rel_fashion_accessories,shop_rel_perfumery,shop_rel_mobile_phone_accessories,shop_rel_bed,shop_rel_yes,shop_rel_tea,shop_rel_shoe_repair,shop_rel_nutrition_supplements,shop_rel_tailor,shop_rel_video_games,shop_rel_party,amenity_rel_car_rental,amenity_rel_shelter,shop_rel_florist,shop_rel_tyres,shop_rel_baby_goods,shop_rel_chemist,shop_rel_pet_grooming,shop_rel_grocery,amenity_rel_doctors,amenity_rel_language_school,shop_rel_travel_agency,shop_rel_farm,shop_rel_alcohol,amenity_rel_coworking_space,shop_rel_general,shop_rel_frozen_food,shop_rel_nuts,shop_rel_photo,shop_rel_medical,shop_rel_motorcycle_repair,shop_rel_appliance,amenity_rel_hospital,amenity_rel_veterinary,shop_rel_money_lender,shop_rel_sewing,shop_rel_hearing_aids,amenity_rel_parcel_locker,shop_rel_music,shop_rel_skate,shop_rel_model,shop_rel_pastry,shop_rel_motorcycle,shop_rel_funeral_directors,amenity_rel_funeral_home,shop_rel_medical_supply,shop_rel_galician,shop_rel_car;car_repair,shop_rel_charity,shop_rel_wine,shop_rel_storage_rental,shop_rel_outpost,shop_rel_beverages,shop_rel_games,shop_rel_telecommunication,amenity_rel_money_transfer,shop_rel_fabric,shop_rel_curtain,shop_rel_estate_agent,shop_rel_craft,shop_rel_cannabis,shop_rel_locksmith,shop_rel_dairy,shop_rel_art,shop_rel_health_food,shop_rel_outdoor,shop_rel_fishing,amenity_rel_surf_school,shop_rel_pasta,shop_rel_leather,shop_rel_chocolate,shop_rel_bathroom_furnishing,amenity_rel_social_centre,shop_rel_printer_ink,shop_rel_dry_cleaning,shop_rel_orthopedics,shop_rel_watches,shop_rel_printshop,amenity_rel_bicycle_rental,shop_rel_paint,shop_rel_video,amenity_rel_aparthotel,shop_rel_pawnbroker,shop_rel_confectionery;ice_cream,shop_rel_repair,shop_rel_hvac,shop_rel_e-cigarette,shop_rel_boutique,shop_rel_pyrotechnics,shop_rel_hairdresser_supply,amenity_rel_bureau_de_change,amenity_rel_freeshop,shop_rel_musical_instrument,shop_rel_cheese,shop_rel_vacuum_cleaner,shop_rel_trade,shop_rel_mobility_scooter,amenity_rel_parking_entrance,shop_rel_tableware,shop_rel_second_hand,shop_rel_psychic,shop_rel_frame,shop_rel_religion,shop_rel_carpet,amenity_rel_clock,shop_rel_delivery,shop_rel_hookah,shop_rel_household_linen,shop_rel_camera,shop_rel_charcutier;cheese;wine;butcher,shop_rel_electric_scooter,shop_rel_tool_hire,shop_rel_garden_centre,shop_rel_collector,shop_rel_anime,shop_rel_knives,shop_rel_dog_wash,shop_rel_training_centre,shop_rel_household_supply_store,shop_rel_lawyer,shop_rel_bookmaker,shop_rel_doors,shop_rel_military_surplus,shop_rel_bus_tickets,shop_rel_agrarian,shop_rel_yoga,shop_rel_electrical,shop_rel_pottery,shop_rel_greengrocer;health_food,shop_rel_surf;skate;snowboard,shop_rel_catalogue,shop_rel_gold_buyer,amenity_rel_marketplace,shop_rel_accessories,shop_rel_candles,amenity_rel_office,shop_rel_wool,shop_rel_bicycle_repair,shop_rel_weapons,shop_rel_hifi,geometry,population,av_age,percent_65,pp_income,male_rate,pop_buffer,has_Condis,has_Caprabo,has_Mercadona,has_Dia,has_Consum,has_Bonpreu,has_Clarel,has_La Sirena,has_Lidl,has_Starbucks,has_BonÀrea,has_Burger King,has_McDonald's,has_Sorli Discau,has_ALDI,has_Buenas Migas,has_Suma,has_KFC,has_La Tagliatella,has_Pans & Company,has_Carrefour Express,has_Bon Area,trains_metro,trains_metro_in_buffer,bus,bus_in_buffer,Predicted_Segment
0,Barcelona_hdbscan_5_5,0,10,2.158025392044175,41.33095838081924,2.1589318572401197,41.33094671973859,3.339376374692701e-05,299457.1104887878,0.0019952586100464,0.0074928445239409,0.002556694569403,0.001086819603167,Yes,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((2.1593376 41.3290072, 2.150541917326013 41.33058378076242, 2.159152431552194 41.332593210457, 2.15985415 41.3305802, 2.1593376 41.3290072))",2558.0,44.5,21.06,18404.0,91.14,6683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mixed
1,Barcelona_hdbscan_5_5,1,8,2.08961359437214,41.42780014454599,2.08909775,41.42811948658894,6.238126093692175e-06,1282436.4047545278,0.001420323183512,0.0028541518890891,0.0014316809562625,0.0005926833587411,Yes,,0.125,0.375,0.125,0.125,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((2.0890763 41.4270319, 2.0888832 41.4270741, 2.087967544847298 41.42814648247629, 2.091004526863237 41.4284286345629, 2.092433766461203 41.428239248627115, 2.0891192 41.4270319, 2.0890763 41.4270319))",480.0,44.5,21.06,18404.0,91.14,3997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,Local
2,Barcelona_hdbscan_5_5,2,38,2.115564391981044,41.330638903668,2.11496875,41.330726,6.613594830001846e-05,574574.0550603006,0.0023999733954135,0.0058829641393149,0.0017399263575155,0.002169403078914,Yes,,,0.421,,,,,0.053,0.053,0.053,0.026,0.026,0.026,0.132,0.079,0.026,0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((2.1165678 41.3267197, 2.1137801 41.3276131, 2.11286966331556 41.32845402167828, 2.1117022 41.332995, 2.1139454 41.3354803, 2.1186749 41.3356323, 2.1191227 41.3296481, 2.118422 41.3272539, 2.1165678 41.3267197))",8040.0,44.5,21.06,18404.0,91.14,10951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,Mixed
3,Barcelona_hdbscan_5_5,3,8,2.12739802659271,41.33936831796187,2.1278073500000003,41.3396852,2.9248658859401287e-05,273516.81451297004,0.0027400948278871,0.0045358299055274,0.0025915723080028,0.0014033056416519,Yes,0.25,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((2.130686466012904 41.33746920157843, 2.1228622 41.3393738, 2.1241369 41.3399966, 2.1278483 41.3412074, 2.130686466012904 41.33746920157843))",1885.0,44.5,21.06,18404.0,91.14,7428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,Mixed
4,Barcelona_hdbscan_5_5,4,23,2.120098543812796,41.42261679775783,2.1195417,41.4222615,5.693349196691032e-05,403980.13902550674,0.0021447041249951,0.0058107383791002,0.001650430237574,0.001982069056275,Yes,,,,0.087,,,,,,,,,,,,,,,0.174,0.087,0.043,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((2.124108569944644 41.418411518821515, 2.1191581 41.4201239, 2.1172467 41.4237896, 2.1191889 41.4258585, 2.1238808 41.4267086, 2.124108569944644 41.418411518821515))",5969.0,44.43,20.96,18491.8,91.21,9230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,Local
5,Barcelona_hdbscan_5_5,5,7,2.1011960621847825,41.41904383877266,2.1013888560665888,41.4195842,7.862409238099319e-06,890312.3442213751,0.0011475066655302,0.0027760937576644,0.0006372535211219,0.0012120127894962,No,,,0.286,,,,0.286,,,,,,,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((2.101388856066589 41.416274447671626, 2.099791583085243 41.41976021632971, 2.101960371936384 41.41989970110926, 2.101388856066589 41.416274447671626))",595.0,44.5,21.06,18404.0,91.14,5339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Mixed
6,Barcelona_hdbscan_5_5,6,14,2.1042725393105184,41.41390647755838,2.10442005,41.4138192,7.604934480006377e-06,1840910.00873268,0.0010724291026517,0.0020716027731848,0.0008992764746972,0.0008602235334669,Yes,,,0.143,0.143,0.071,0.143,,,,,,,0.143,,,0.071,,0.071,,,,,0.071,0.071,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((2.1045496 41.4128579, 2.1043768 41.4129042, 2.1027829 41.4153461, 2.1057301 41.4143663, 2.1058393 41.4143023, 2.1047433 41.412991, 2.1045496 41.4128579))",482.0,44.5,21.06,18404.0,91.14,4666.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,Local
7,Barcelona_hdbscan_5_5,7,7,2.1847884394690835,41.463679735470144,2.1844124,41.46334948788429,7.788765174691726e-06,898730.3947415587,0.0013339822178204,0.0020416122125855,0.0012219608590495,0.0007581372209432,No,,,,,,0.143,0.143,,,,,,,,,0.143,,,,,,,,,,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((2.183089072567699 41.46287520383865, 2.1834053 41.4633963, 2.186047543199203 41.46528685656806, 2.186318710516685 41.46334948788429, 2.183089072567699 41.46287520383865))",548.0,44.5,21.06,18404.0,91.14,4906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,Mixed
8,Barcelona_hdbscan_5_5,8,5,2.1110383542674187,41.4081611370825,2.1108065,41.4086807,7.605126694748468e-06,657451.2431795023,0.0013523118434258,0.0023998652946346,0.0009583972942001,0.001128800892955,No,,,0.2,,,,0.2,,,,,,,,,0.2,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((2.1102129 41.4059077, 2.1099401 41.4086807, 2.1108065 41.4088542, 2.112521171337094 41.408704485412535, 2.1102129 41.4059077))",581.0,44.5,21.06,18404.0,91.14,4999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Mixed
9,Barcelona_hdbscan_5_5,9,10,2.1736915059277275,41.46013601749471,2.17326395,41.46004943222362,3.991397511156352e-06,2505388.1433881265,0.000922812299089,0.0024811599906556,0.001078057904713,0.0002942180664145,Yes,,0.1,0.1,,,,0.1,,,,,,0.1,,,0.2,,,,,,,,,,,,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((2.1730253 41.4598768, 2.17238345505475 41.46006226444724, 2.174052180752592 41.46093332761535, 2.1761613 41.4598988, 2.1730253 41.4598768))",318.0,44.5,21.06,18404.0,91.14,4119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,Local
