Unnamed: 0,param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,shop_rel_bakery,shop_rel_hairdresser,shop_rel_greengrocer,shop_rel_convenience,shop_rel_hardware,shop_rel_supermarket,shop_rel_butcher,shop_rel_bicycle,shop_rel_kiosk,shop_rel_travel_agency,shop_rel_florist,shop_rel_alcohol,shop_rel_seafood,shop_rel_computer,shop_rel_optician,shop_rel_jewelry,shop_rel_laundry,amenity_rel_pub,amenity_rel_bar,amenity_rel_restaurant,amenity_rel_bank,amenity_rel_post_box,amenity_rel_cafe,amenity_rel_pharmacy,amenity_rel_school,amenity_rel_community_centre,amenity_rel_fast_food,amenity_rel_dentist,amenity_rel_post_office,amenity_rel_veterinary,amenity_rel_library,amenity_rel_clinic,shop_rel_tobacco,shop_rel_repair,amenity_rel_theatre,amenity_rel_arts_centre,shop_rel_clothes,amenity_rel_college,amenity_rel_university,shop_rel_car_repair,shop_rel_beauty,shop_rel_storage_rental,amenity_rel_charging_station,amenity_rel_taxi,shop_rel_car,shop_rel_pet,shop_rel_variety_store,shop_rel_curtain,shop_rel_furniture,shop_rel_kitchen,amenity_rel_atm,shop_rel_interior_decoration,shop_rel_motorcycle,shop_rel_motorcycle_repair,shop_rel_yes,shop_rel_medical_supply,shop_rel_carpet,shop_rel_lighting,shop_rel_fabric,shop_rel_confectionery,shop_rel_newsagent,shop_rel_copyshop,shop_rel_video,amenity_rel_car_rental,shop_rel_sports,amenity_rel_hospital,shop_rel_video_games,shop_rel_massage,shop_rel_electronics,shop_rel_books,shop_rel_herbalist,amenity_rel_language_school,shop_rel_hearing_aids,shop_rel_farm,shop_rel_lottery,shop_rel_tyres,shop_rel_sewing,amenity_rel_doctors,shop_rel_shoes,shop_rel_cosmetics,shop_rel_mobile_phone,shop_rel_printer_ink,amenity_rel_biergarten,shop_rel_nutrition_supplements,shop_rel_locksmith,shop_rel_pawnbroker,shop_rel_erotic,shop_rel_mall,shop_rel_chemist,shop_rel_gift,shop_rel_ice_cream,shop_rel_wine,shop_rel_houseware,shop_rel_estate_agent,shop_rel_photo,shop_rel_hifi,shop_rel_frame,shop_rel_bathroom_furnishing,shop_rel_health_food,shop_rel_stationery,shop_rel_baby_goods,shop_rel_vacant,shop_rel_toys,shop_rel_tattoo,shop_rel_appliance,amenity_rel_parcel_locker,shop_rel_deli,shop_rel_paint,shop_rel_music,shop_rel_pastry,shop_rel_outdoor,shop_rel_second_hand,shop_rel_bag,shop_rel_craft,shop_rel_fashion_accessories,shop_rel_garden_centre,shop_rel_bed,shop_rel_tea,shop_rel_art,shop_rel_party,shop_rel_model,shop_rel_catalogue,shop_rel_wool,shop_rel_department_store,shop_rel_wigs,shop_rel_dry_cleaning,shop_rel_bookmaker,shop_rel_leather,shop_rel_skate,shop_rel_musical_instrument,shop_rel_cheese,shop_rel_antiques,shop_rel_esoteric,amenity_rel_ice_cream,shop_rel_pet_grooming,shop_rel_collector,shop_rel_tiles,amenity_rel_money_transfer,shop_rel_funeral_directors,shop_rel_tailor,shop_rel_perfumery,shop_rel_charity,shop_rel_printing,amenity_rel_bureau_de_change,shop_rel_spy,shop_rel_rental,shop_rel_hairdresser_supply,amenity_rel_bicycle_rental,shop_rel_food,shop_rel_shoe_repair,shop_rel_russian,shop_rel_car_parts,geometry,population,av_age,percent_65,pp_income,male_rate,pop_buffer,has_Eroski,has_BM,has_Dia,has_Lidl,has_Covirán,has_Telepizza,has_General Óptica,has_Burger King,has_McDonald's,has_Clarel,has_Mercadona,has_Carrefour Express,has_Alain Afflelou,has_KFC,has_Calzedonia,has_Vitaldent,has_Movistar,has_Orange,has_Mango,has_Halcón Viajes,has_Vodafone,has_Marionnaud,has_Domino's,trains_metro,trains_metro_in_buffer,bus,bus_in_buffer,Predicted_Segment
0,Bilbao_hdbscan_5_5,0,116,-2.972844005566284,43.27586395988149,-2.972923480925969,43.27606725,6.663980267321553e-05,1740701.4328783986,0.0015671630813819,0.0056182555684405,0.001231931698463,0.0015237053032204,Yes,0.052,0.043,0.034,0.026,0.026,0.026,0.026,0.017,0.017,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.147,0.078,0.078,0.043,0.034,0.026,0.026,0.026,0.017,0.017,0.017,0.009,0.009,0.009,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-2.9714611 43.2708487, -2.972934661851939 43.27145235903749, -2.9746927 43.2739283, -2.975660726850555 43.276474340548276, -2.975074116482919 43.27856441418869, -2.973935389022692 43.28001489471623, -2.970272589899764 43.280645583945784, -2.968858584144567 43.27190400890658, -2.9714611 43.2708487))",3522.0,47.42,25.03,17870.0,90.34,5295.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,5.0,Mixed
1,Bilbao_hdbscan_5_5,1,42,-2.924026711632481,43.24203474700124,-2.9245794,43.241941,2.553919662001083e-05,1644530.9782020147,0.0015933745835051,0.0036459832504386,0.0015055665763938,0.0010129324689064,Yes,,,0.024,,,0.071,0.024,,,,,,,,0.024,,,0.024,0.357,0.095,0.071,,0.048,0.048,0.048,,0.048,,,,0.024,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-2.9226366 43.2403524, -2.924492541398148 43.24088752072246, -2.9256876 43.2423134, -2.9258113 43.242557, -2.9258961 43.2427504, -2.9257084 43.2438828, -2.925193862587404 43.244405788428594, -2.9241252 43.245249, -2.920744524165045 43.24152771364351, -2.9206804 43.2405872, -2.9226366 43.2403524))",1128.0,47.42,25.03,17870.0,90.34,3076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,Urban
2,Bilbao_hdbscan_5_5,2,10,-2.962597216761776,43.26201972817596,-2.96263615,43.26200605,1.22066606540091e-05,819224.8710310175,0.0010880627329135,0.0023595651098228,0.0012093253480501,0.0006151863577089,Yes,,,,,,,,,,,,,,,,,,,0.3,,,,,0.1,,,,,,,,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-2.963193486576242 43.26060438475347, -2.964943387897871 43.26193405672524, -2.9635653 43.2625011, -2.961320397620153 43.26320722722957, -2.96025364552349 43.261745463051355, -2.963193486576242 43.26060438475347))",486.0,47.42,25.03,17870.0,90.34,2703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Mixed
3,Bilbao_hdbscan_5_5,3,10,-2.960929551547612,43.26772202998095,-2.9605857028596585,43.2675905,6.026920848469151e-06,1659222.0557434428,0.000844388856101,0.002189897435035,0.0008634693273565,0.0005834713232007,No,,,,,,,,,,,,,,,,,,,0.3,0.1,,0.1,,,,0.1,,,,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-2.962290974773395 43.26702143898053, -2.9626226 43.269111, -2.960340434983409 43.268186519151115, -2.9597383 43.2672525, -2.962290974773395 43.26702143898053))",264.0,47.42,25.03,17870.0,90.34,2339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,Mixed
4,Bilbao_hdbscan_5_5,4,6,-2.9638305719974505,43.27160208063607,-2.963911135798752,43.27175995,2.8121178400038837e-06,2133623.248160793,0.0007706053036349,0.0011107670766087,0.0006330112748281,0.0005209161898618,Yes,,,,,,,,,,,,,,,,,,,0.333,,,,,,,,,,,,,,,,,,0.167,0.167,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-2.9640025 43.2705047, -2.9647816 43.2718029, -2.9630481 43.2721119, -2.9630319 43.271717, -2.9640025 43.2705047))",109.0,47.42,25.03,17870.0,90.34,1892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Mixed
5,Bilbao_hdbscan_5_5,5,6,-2.9566793668878795,43.25661311110184,-2.957012376667903,43.25641101627187,6.892245805695788e-06,870543.5309694799,0.0013208328268629,0.0017665791172777,0.0010077138155117,0.0009231453053732,No,,,,,,,,,,,,,,,,,,,0.167,0.167,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-2.9565954 43.2555892, -2.957875632007852 43.25639843254374, -2.957429353335806 43.2581190066611, -2.95515121598362 43.25749942740622, -2.95559 43.255649, -2.9565954 43.2555892))",364.0,47.42,25.03,17870.0,90.34,2424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,Mixed
6,Bilbao_hdbscan_5_5,6,10,-2.910823069961846,43.26474925354891,-2.91106166340974,43.264891466017644,1.5117441898333334e-05,661487.5762216409,0.001834256464856,0.002788128369487,0.0015852585748949,0.0010354426895062,Yes,,,,,,0.1,,,,,,,,,,,,,,0.1,0.1,,,0.1,0.1,,,,,,,,,,,,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-2.908803864263205 43.262826633422286, -2.912389633134782 43.26379696399936, -2.9126563 43.2646706, -2.9124425 43.2651371, -2.9114464 43.2659846, -2.910406385492954 43.26642524457258, -2.9087179 43.2652604, -2.908455389908035 43.26499733203528, -2.908803864263205 43.262826633422286))",746.0,47.42,25.03,17870.0,90.34,2984.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,Mixed
7,Bilbao_hdbscan_5_5,7,14,-2.896120802490376,43.26011173929522,-2.8962563,43.260283400000006,1.0467513067891503e-05,1337471.461386965,0.0009367628288723,0.0028333141757407,0.0008201508394993,0.0008976890533383,Yes,0.071,,0.071,,,,0.071,,,,,,,,,,,,0.429,,,,,0.071,,,,,,,,,,,,,,0.071,,,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-2.8976013 43.257696, -2.8968409 43.2608932, -2.894612481068864 43.26119822389147, -2.894718553796402 43.259000226241575, -2.8976013 43.257696))",494.0,47.42,25.03,17870.0,90.34,2834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,Mixed
8,Bilbao_hdbscan_5_5,8,12,-2.932823461463017,43.2438581606041,-2.932719679160841,43.24359654179959,8.74960853808776e-06,1371489.9298366343,0.0010845816925828,0.0022404922239925,0.0010723014467338,0.0006638142448216,Yes,,,,0.083,,,,,,,,,,,,,,,,0.083,,,,,0.083,,,,,,,,,,,,,,,,,0.167,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-2.931263719811863 43.2432260120397, -2.932089555701607 43.24327048002472, -2.9324323 43.2433183, -2.9348068 43.2439028, -2.934242283926154 43.245592158361845, -2.931108969288435 43.243456212804446, -2.931263719811863 43.2432260120397))",299.0,47.42,25.03,17870.0,90.34,2506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,Local
9,Bilbao_hdbscan_5_5,9,9,-2.900479108861308,43.25920370124518,-2.9006693,43.2592889,1.857689127779503e-05,484472.8789879771,0.0016636006179661,0.0030956484164848,0.0012494548097025,0.0013504559328033,No,,,,,,,,,,,,,,,,,,,,,,,,0.111,0.222,0.222,,,,,,0.222,,,,,,,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-2.899056441089348 43.25645432758394, -2.903099249015585 43.25858646824681, -2.9011188 43.2604388, -2.9006693 43.2607755, -2.8995768 43.2598293, -2.898800209428842 43.25788389565486, -2.899056441089348 43.25645432758394))",717.0,47.42,25.03,17870.0,90.34,3130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,12.0,Traffic
