Unnamed: 0,param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,shop_rel_bakery,shop_rel_hairdresser,amenity_rel_restaurant,amenity_rel_pub,amenity_rel_school,amenity_rel_pharmacy,amenity_rel_bank,amenity_rel_atm,amenity_rel_post_office,amenity_rel_community_centre,amenity_rel_bar,amenity_rel_clinic,shop_rel_gift,shop_rel_books,amenity_rel_cafe,shop_rel_electronics,shop_rel_shoes,amenity_rel_bureau_de_change,amenity_rel_fast_food,shop_rel_laundry,shop_rel_convenience,shop_rel_greengrocer,shop_rel_tobacco,amenity_rel_dentist,amenity_rel_language_school,shop_rel_hardware,shop_rel_supermarket,amenity_rel_veterinary,shop_rel_beauty,shop_rel_clothes,shop_rel_telecommunication,shop_rel_vacant,amenity_rel_events_venue,amenity_rel_hospital,amenity_rel_university,amenity_rel_library,amenity_rel_charging_station,amenity_rel_doctors,amenity_rel_theatre,amenity_rel_post_box,shop_rel_newsagent,shop_rel_deli,shop_rel_jewelry,shop_rel_butcher,shop_rel_lottery,shop_rel_computer,shop_rel_bag,shop_rel_optician,shop_rel_fashion_accessories,shop_rel_chocolate,shop_rel_sports,shop_rel_watches,shop_rel_mobile_phone_accessories,amenity_rel_car_rental,amenity_rel_college,shop_rel_kiosk,shop_rel_ticket,amenity_rel_taxi,shop_rel_bicycle,shop_rel_haberdashery,shop_rel_confectionery,shop_rel_mall,shop_rel_travel_agency,shop_rel_outdoor,shop_rel_car,shop_rel_garden_centre,shop_rel_variety_store,shop_rel_furniture,shop_rel_car_repair,shop_rel_seafood,shop_rel_florist,shop_rel_interior_decoration,shop_rel_pastry,shop_rel_herbalist,shop_rel_department_store,shop_rel_cosmetics,shop_rel_appliance,shop_rel_stationery,amenity_rel_cinema,shop_rel_medical_supply,shop_rel_dry_cleaning,shop_rel_printer_ink,shop_rel_mobile_phone,shop_rel_frozen_food,amenity_rel_fountain,shop_rel_doityourself,shop_rel_storage_rental,shop_rel_toys,shop_rel_curtain,shop_rel_bed,shop_rel_tea,shop_rel_pet,shop_rel_perfumery,shop_rel_yes,shop_rel_wholesale,shop_rel_pet_grooming,amenity_rel_biergarten,shop_rel_collector,shop_rel_trade,amenity_rel_parcel_locker,shop_rel_nuts,shop_rel_houseware,shop_rel_fabric,shop_rel_glaziery,shop_rel_kitchen,shop_rel_fishing,shop_rel_coffee,shop_rel_video_games,shop_rel_doors,shop_rel_locksmith,shop_rel_paint,shop_rel_household_linen,shop_rel_copyshop,amenity_rel_workshop,shop_rel_craft,shop_rel_carpet,shop_rel_party,amenity_rel_exhibition_centre,amenity_rel_conference_centre,shop_rel_second_hand,shop_rel_window_blind,shop_rel_motorcycle_repair,shop_rel_motorcycle,shop_rel_cannabis,shop_rel_cheese,shop_rel_hearing_aids,shop_rel_food,shop_rel_baby_goods,shop_rel_hairdresser_supply,shop_rel_sewing,shop_rel_photo,shop_rel_general,shop_rel_shoe_repair,shop_rel_fuel,shop_rel_money_lender,shop_rel_bookmaker,shop_rel_nutrition_supplements,amenity_rel_money_transfer,shop_rel_frame,shop_rel_car_parts,shop_rel_tyres,shop_rel_tattoo,amenity_rel_arts_centre,shop_rel_massage,shop_rel_chemist,shop_rel_alcohol,shop_rel_ice_cream,shop_rel_hairdresser;pet,shop_rel_bathroom_furnishing,shop_rel_health_food,shop_rel_windows,shop_rel_wine,amenity_rel_parking,shop_rel_tailor,shop_rel_estate_agent,shop_rel_beverages,shop_rel_shutters,shop_rel_optician;hearing_aids,shop_rel_doityourself;sewing,shop_rel_art,shop_rel_dairy,shop_rel_games,shop_rel_esoteric,shop_rel_video,shop_rel_religion,shop_rel_farm,amenity_rel_car_sharing,shop_rel_electrical,shop_rel_indian_food,shop_rel_leather,shop_rel_gas,shop_rel_hifi,amenity_rel_sop,shop_rel_grocery,amenity_rel_post_depot,amenity_rel_social_facility,shop_rel_e-cigarette,shop_rel_model,shop_rel_eggs,amenity_rel_marketplace,shop_rel_repair,shop_rel_radiotechnics,amenity_rel_car_wash,shop_rel_nails,shop_rel_charity,shop_rel_spices,amenity_rel_bicycle_repair_station,shop_rel_flooring,shop_rel_musical_instrument,shop_rel_lighting,shop_rel_music,shop_rel_gold_buyer,amenity_rel_ice_cream,shop_rel_outpost,shop_rel_pawnbroker,shop_rel_pottery,shop_rel_clothes;secondhand,shop_rel_wigs,shop_rel_agrarian,shop_rel_tiles,shop_rel_kitchen;bathroom_furnishing,amenity_rel_place_of_worship,amenity_rel_music_venue,amenity_rel_studio,shop_rel_accessories,shop_rel_weapons,shop_rel_hairdesser,shop_rel_boutique,shop_rel_energy,amenity_rel_coworking_space,shop_rel_erotic,shop_rel_antiques,shop_rel_orthopaedics,amenity_rel_gambling,amenity_rel_casino,shop_rel_CCG,shop_rel_wedding,shop_rel_spy,shop_rel_signs,amenity_rel_driving_school,shop_rel_printing,shop_rel_variety,amenity_rel_prep_school,shop_rel_plant_shop,amenity_rel_bicycle_rental,shop_rel_fireplace,shop_rel_rental,shop_rel_camera,shop_rel_hair extensions,amenity_rel_retail,amenity_rel_student_accommodation,geometry,population,av_age,percent_65,pp_income,male_rate,pop_buffer,has_Dia,has_Burger King,has_Mercadona,has_Ahorramás,has_Carrefour,has_Rodilla,has_McDonald's,has_Vips,has_100 Montaditos,has_Supercor,has_Alcampo,has_Telepizza,has_Lidl,has_Starbucks,has_Malvón,has_Domino's,has_Marco Aldany,has_Orange,has_Ginos,has_Granier,has_La Sirena,has_KFC,has_ALDI,has_Vitaldent,has_Foster's Hollywood,has_Mango,has_Vodafone,has_Movistar,has_Opticalia,has_Multiópticas,has_Lizarrán,has_Papa John's,has_Zara,trains_metro,trains_metro_in_buffer,bus,bus_in_buffer,Predicted_Segment
0,madrid_hdbscan_5_5,0,48,-3.777431930316292,40.52186878712187,-3.777268964018451,40.5198864,0.0004429890583949,108354.82071252615,0.0043157246827376,0.0159059147777295,0.0028873134893482,0.0049492205763481,Yes,0.021,0.021,0.354,0.062,0.062,0.042,0.042,0.021,0.021,0.021,0.021,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.763956009477168 40.51411232096596, -3.780367941409266 40.51863324445114, -3.781404496486631 40.519793058547734, -3.783787813116837 40.53644962656074, -3.779971575049575 40.53358378377221, -3.763956009477168 40.51411232096596))",1445.0,48.15,26.3,17705.5,88.1,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,Urban
1,madrid_hdbscan_5_5,1,7,-3.567576668269268,40.49740325455703,-3.567612344097124,40.4971779,4.6896393243196e-07,14926521.030517844,0.0005701062197051,0.0008784940837362,9.541224631796682e-05,0.0006032077269458,Yes,,,,,,,,,,,0.143,,0.429,0.143,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.567604671688637 40.496525206913866, -3.567624473959013 40.498194866622015, -3.5673436 40.4971779, -3.567604671688637 40.496525206913866))",0.0,41.3,14.7,11509.0,88.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urban
2,madrid_hdbscan_5_5,2,22,-3.5673444440430924,40.49443485582967,-3.567415612629868,40.49447263390803,2.862117648305926e-06,7686616.241307096,0.0005495070656237,0.0019630662325358,0.0003106331758725,0.0005798390405837,Yes,,,0.182,0.136,,,,,,,,0.045,0.091,0.045,0.136,0.045,0.045,0.091,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.5676068 40.4924894, -3.567703975175196 40.49448590394559, -3.5676715 40.4950385, -3.5672888 40.4950768, -3.5669487 40.4950356, -3.5665978 40.4941675, -3.5676068 40.4924894))",1.0,41.3,14.7,11509.0,88.1,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Urban
3,madrid_hdbscan_5_5,3,5,-3.5675992818216096,40.4916647449777,-3.5675956,40.4915673,3.5289722591717376e-08,141684310.1275474,0.000389219968389,0.0006538560903438,1.0199282240335571e-05,0.0004433647175119,Yes,,,,,,,,,,,0.2,,0.4,,0.2,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.56759235 40.49105105, -3.5676191 40.4915673, -3.5675981 40.4923186, -3.567591259108049 40.491403924888466, -3.56759235 40.49105105))",0.0,41.3,14.7,11509.0,88.1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tourism
4,madrid_hdbscan_5_5,4,9,-3.5533329701939107,40.397453353371326,-3.5532485,40.3975307,1.1524157181529083e-06,7809681.747855017,0.0003245575836417,0.0011370989113851,0.0003656179662292,0.0002540202342649,Yes,,0.222,,,,0.111,,,,,,,,,,,,,,0.111,0.111,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.554284231745193 40.39683038034195, -3.5533451 40.3976789, -3.5529744 40.3977102, -3.5533087 40.3973056, -3.554284231745193 40.39683038034195))",5.0,32.5,2.7,20713.0,88.1,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Local
5,madrid_hdbscan_5_5,5,21,-3.552743420895541,40.40742548456387,-3.552368,40.4076477,1.9960953324131383e-05,1052053.960499596,0.0014934957013293,0.0034265750396776,0.0013385996619065,0.0011796486277633,Yes,0.048,,0.238,,,0.048,,,,,,0.048,,,0.048,,,,0.048,,0.048,,0.048,0.048,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.5508169 40.4050613, -3.555600203957972 40.40553334106066, -3.5546844 40.4086572, -3.5531022 40.4086707, -3.5523733 40.4086646, -3.550069934848391 40.40566733478082, -3.5504293 40.4052522, -3.5508169 40.4050613))",185.0,31.79,2.26,19738.79,88.1,641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Urban
6,madrid_hdbscan_5_5,6,19,-3.803041690584799,40.36504741782581,-3.8034046,40.3650388,4.6263687849679614e-05,410689.2658824556,0.0011524009214966,0.0072662962072762,0.0010980794367352,0.0017702458462626,No,,,,,,,,,,,,,,,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.798985434166931 40.35901866634276, -3.8038498 40.3651982, -3.8018199 40.3685294, -3.798985434166931 40.35901866634276))",210.0,39.62,8.3,18835.75,88.3,1557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urban
7,madrid_hdbscan_5_5,7,15,-3.561953162711474,40.40605768975168,-3.5620161,40.4063476,1.440159999325542e-05,1041550.9392723604,0.0012217399454787,0.0028021281555658,0.0011630663860882,0.0008283137525258,Yes,0.067,,0.2,,,0.067,,,,,,,,,,,,,0.133,,0.067,0.067,,,,0.067,0.067,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.5613851 40.4039951, -3.5633998 40.4064825, -3.562706040672109 40.40753444627507, -3.5593308 40.4050702, -3.5613851 40.4039951))",106.0,32.1,2.23,19048.26,88.1,1020.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,Local
8,madrid_hdbscan_5_5,8,13,-3.5614541461538463,40.40231218461539,-3.5613345,40.4022529,8.259335100017871e-07,15739765.783291528,0.0004238957660264,0.0007753825835195,0.0004132317390732,0.0002109818834587,Yes,,0.077,,,,0.077,,,,,,,,,0.077,,,,0.154,,0.077,,,0.077,0.077,,,0.077,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.5608749 40.4020151, -3.5609662 40.4020602, -3.5617742 40.4024714, -3.5620394 40.4026103, -3.5621442 40.4026658, -3.5611638 40.4021679, -3.5608749 40.4020151))",1.0,31.0,2.1,18117.0,88.1,1167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Shopping
10,madrid_hdbscan_5_5,10,10,-3.56240767,40.40109405999999,-3.5623163,40.40104845,4.610026200035482e-07,21691850.68823044,0.0003382747080606,0.0005608761044083,0.0003323430698841,0.0001663400745472,Yes,,0.1,,,,0.1,,,,,,,,,,,,,,,0.1,,,0.1,,,,0.1,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.5619021 40.4008512, -3.5621419 40.4009498, -3.562871 40.401327, -3.5623796 40.4010858, -3.5619021 40.4008512))",1.0,31.0,2.1,18117.0,88.1,1174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Local
