,param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,shop_rel_gift,shop_rel_clothes,shop_rel_convenience,shop_rel_confectionery,shop_rel_optician,shop_rel_deli,shop_rel_fashion_accessories,shop_rel_books,amenity_rel_restaurant,amenity_rel_fast_food,amenity_rel_car_rental,amenity_rel_cafe,amenity_rel_post_box,amenity_rel_bar,amenity_rel_atm,amenity_rel_pharmacy,amenity_rel_pub,amenity_rel_college,shop_rel_doors,amenity_rel_hospital,shop_rel_supermarket,shop_rel_hairdresser,shop_rel_bicycle,shop_rel_chemist,shop_rel_motorcycle,shop_rel_car_repair,shop_rel_florist,shop_rel_herbalist,shop_rel_car,shop_rel_variety_store,amenity_rel_community_centre,amenity_rel_school,amenity_rel_bank,amenity_rel_clinic,amenity_rel_veterinary,amenity_rel_dentist,amenity_rel_library,amenity_rel_charging_station,shop_rel_car_parts,amenity_rel_post_office,shop_rel_bakery,shop_rel_kiosk,shop_rel_hardware,shop_rel_seafood,shop_rel_sports,shop_rel_mall,amenity_rel_cinema,shop_rel_greengrocer,shop_rel_mobile_phone,shop_rel_paint,amenity_rel_language_school,shop_rel_butcher,shop_rel_wholesale,shop_rel_doityourself,amenity_rel_theatre,shop_rel_computer,shop_rel_laundry,shop_rel_ticket,amenity_rel_university,amenity_rel_events_venue,amenity_rel_doctors,amenity_rel_conference_centre,shop_rel_e-cigarette,shop_rel_pawnbroker,amenity_rel_taxi,shop_rel_lottery,shop_rel_stationery,shop_rel_shoes,shop_rel_tattoo,shop_rel_dry_cleaning,shop_rel_pet,shop_rel_furniture,shop_rel_electronics,shop_rel_vacant,shop_rel_beauty,shop_rel_sewing,shop_rel_hairdresser_supply,shop_rel_perfumery,shop_rel_toys,shop_rel_grocery,shop_rel_tobacco,shop_rel_bed,shop_rel_photo,shop_rel_musical_instrument,shop_rel_travel_agency,shop_rel_interior_decoration,shop_rel_coffee,shop_rel_fuel,shop_rel_games,shop_rel_kitchen,shop_rel_baby_goods,shop_rel_tyres,shop_rel_pet_grooming,amenity_rel_marketplace,shop_rel_pastry,shop_rel_locksmith,shop_rel_department_store,shop_rel_radiotechnics,shop_rel_motorcycle_repair,shop_rel_jewelry,shop_rel_electrical,shop_rel_party,shop_rel_funeral_directors,shop_rel_tattoo;hairdresser,amenity_rel_biergarten,amenity_rel_post_depot,shop_rel_copyshop,shop_rel_watches,shop_rel_cosmetics,shop_rel_video_games,shop_rel_mobile_phone_accessories,shop_rel_yes,shop_rel_carpet,shop_rel_general,amenity_rel_arts_centre,shop_rel_estate_agent,shop_rel_telecommunication,shop_rel_fabric,shop_rel_tailor,shop_rel_storage_rental,shop_rel_antiques,shop_rel_massage,shop_rel_craft,shop_rel_newsagent,shop_rel_second_hand,shop_rel_lighting,shop_rel_hearing_aids,shop_rel_printer_ink,shop_rel_appliance,shop_rel_glaziery,shop_rel_repair,shop_rel_wine,shop_rel_boutique,shop_rel_windows,shop_rel_farm,shop_rel_medical_supply,shop_rel_fireplace,shop_rel_hifi,shop_rel_bookmaker,shop_rel_houseware,shop_rel_bag,shop_rel_video,amenity_rel_money_transfer,shop_rel_frame,shop_rel_anime,shop_rel_design,shop_rel_flooring,shop_rel_window_blind,shop_rel_psychic,shop_rel_art,shop_rel_hvac,shop_rel_household_linen,shop_rel_spices,shop_rel_health_food,shop_rel_trade,shop_rel_frozen_food,amenity_rel_laundry,shop_rel_ice_cream,shop_rel_alcohol,shop_rel_scooter,shop_rel_charity,amenity_rel_training,"shop_rel_bulk,_ecologic_food",shop_rel_tea,shop_rel_furniture;interior_decoration,shop_rel_music,shop_rel_greengrocer;seafood,shop_rel_leather,shop_rel_garden_centre,shop_rel_religion,amenity_rel_bureau_de_change,shop_rel_chocolate,shop_rel_vacuum_cleaner,geometry,population,av_age,percent_65,pp_income,male_rate,pop_buffer,has_Dia,has_Burger King,has_El Jamón,has_Mercadona,has_Carrefour Express,has_Telepizza,has_Supersol,has_McDonald's,has_Lidl,has_ALDI,has_100 Montaditos,has_Starbucks,has_Movistar,has_Vodafone,has_Dia Market,has_Orange,has_Pull & Bear,has_Petit Palace Hotels,has_Carrefour,has_El Corte Inglés,trains_metro,trains_metro_in_buffer,bus,bus_in_buffer
0,Seville_hdbscan_5_5,0,31,-5.899434106661191,37.423075574234645,-5.9004001,37.4225501,0.000124567838054,248860.38390213373,0.0025364058903444,0.0104673179923194,0.0024653058078472,0.0026027959827831,Yes,0.065,0.065,0.065,0.032,0.032,0.032,0.032,0.032,0.194,0.129,0.097,0.097,0.032,0.032,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-5.895308736008327 37.41345548780422, -5.9012405 37.4218736, -5.9013034 37.4221001, -5.9013573 37.4228006, -5.895192020568448 37.4280936927582, -5.8939146 37.428949, -5.8933173 37.4260716, -5.895308736008327 37.41345548780422))",2982.0,44.24,20.65,13985.0,90.16,4320.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
1,Seville_hdbscan_5_5,1,6,-5.9258801272076065,37.43080724315561,-5.925635005146213,37.430673878400405,9.279372601664926e-06,646595.438890283,0.0012091100342814,0.0024955818971555,0.0011848254626456,0.000814323376625,No,,,,,,,,,,,,,,,,0.167,0.167,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-5.925686310292426 37.42971713039275, -5.928339280298449 37.431232090282485, -5.924741300898938 37.432296181457616, -5.924913471755833 37.43052025680081, -5.925686310292426 37.42971713039275))",225.0,44.24,20.65,13985.0,90.16,1508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Seville_hdbscan_5_5,2,9,-5.971636493519062,37.319246688717975,-5.971507,37.3192120338422,2.503702961440989e-06,3594675.6219116794,0.0005292836528173,0.001507918180499,0.0004881456947945,0.0004454263501051,Yes,,,,,,,,,,,,,,,,,,,0.667,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-5.9711913 37.318874, -5.9723084 37.3189203, -5.9720211 37.3192742, -5.970686793565648 37.32041796461953, -5.9711913 37.318874))",45.0,44.24,20.65,13985.0,90.16,1082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3,Seville_hdbscan_5_5,3,77,-5.9676363492184805,37.327497274364745,-5.967755601977946,37.3272948,0.0001325729920765,580812.1156043025,0.0037126794113839,0.009078744234385,0.0015099870607933,0.0040143767107589,Yes,,,0.026,0.013,,,,,0.078,0.026,,0.078,,0.117,,0.104,,,,0.026,0.052,0.026,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.039,0.026,0.026,0.013,0.013,0.013,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-5.9684152 37.318452, -5.971213671232162 37.32818113158074, -5.9699225 37.3343762, -5.969204467323214 37.335495069464145, -5.9689625 37.335824, -5.967755601977946 37.334247130739826, -5.963582253313869 37.326633078382926, -5.9656206 37.3218797, -5.9668209 37.3194517, -5.9684152 37.318452))",3492.0,44.24,20.65,13985.0,90.16,4320.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0
4,Seville_hdbscan_5_5,4,14,-5.933419171781052,37.375113458724584,-5.93369362443016,37.37487365078999,2.4281356530024382e-05,576574.0469519781,0.0018710722667681,0.0038060743313541,0.0009759098488371,0.0018708986166654,Yes,,0.071,,,,,,,,,,,0.071,,,0.071,,,,,,,,,,,,,,,0.071,,,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-5.93267125 37.3720852, -5.933789941631614 37.37273492907091, -5.9348653 37.3786341, -5.9316272 37.376417, -5.9311576 37.3740253, -5.93267125 37.3720852))",634.0,44.24,20.65,13985.0,90.16,2226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Seville_hdbscan_5_5,5,9,-5.93086026643378,37.384825716363885,-5.930768785258802,37.38569363979323,1.2761946720211976e-05,705221.5619852163,0.0014571096820347,0.0029610349046887,0.0010262514968149,0.0013326209334064,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-5.9313429 37.3823378, -5.932856831541627 37.38575380122433, -5.930352695881968 37.38569363979323, -5.929764390993638 37.38504197523531, -5.9291209 37.3824294, -5.9313429 37.3823378))",401.0,44.24,20.65,13985.0,90.16,1765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
6,Seville_hdbscan_5_5,6,9,-5.980585238742117,37.4315820137267,-5.9806046,37.4313154,9.073816036391796e-06,991864.940164563,0.0011466984038757,0.0025579378228682,0.0010002571521855,0.0008495903270872,Yes,,,,,,,,,0.222,,,,,,,0.111,,,,,0.111,,,,,,,,,,,0.111,,0.111,,,,,0.111,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-5.982608297492584 37.430016676958516, -5.981487451186474 37.43203984658176, -5.9811733 37.4325876, -5.9793157 37.4327725, -5.9793319 37.4322927, -5.9800709 37.4311982, -5.9806046 37.4308969, -5.982608297492584 37.430016676958516))",192.0,44.24,20.65,13985.0,90.16,1499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,Seville_hdbscan_5_5,7,18,-5.985650851939983,37.42053093137926,-5.985629449999999,37.42050624779925,7.6182707331893136e-06,2362740.919875983,0.0009883211358477,0.0018959599613087,0.000643348733844,0.0008828452574647,Yes,,,,,,,,,,,,0.167,,0.111,,0.111,,,,,,0.056,,,,,,,,,,,,,,,,,,,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-5.986230293726985 37.41889447935609, -5.9867161 37.4201839, -5.9866111 37.4219105, -5.9858363 37.4224178, -5.9851 37.4216249, -5.984553858324277 37.4205181217788, -5.984999010333435 37.41927890401798, -5.986230293726985 37.41889447935609))",249.0,44.24,20.65,13985.0,90.16,1501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
8,Seville_hdbscan_5_5,8,25,-5.984713197882058,37.42480030907327,-5.9845345,37.4247466,8.770984394890212e-06,2850307.2032102197,0.0008711633037743,0.0022722408584553,0.0006808501700475,0.0007589954280923,Yes,,,,,,,,,0.04,,,,,0.04,0.08,0.08,,,,,0.08,0.08,,0.04,,,,,,,0.08,0.08,0.08,,,,0.04,,,,,0.16,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-5.9863913 37.4232683, -5.986424881622992 37.4235660969543, -5.98604908663333 37.424172801716054, -5.9841997 37.4263656, -5.983593065397605 37.4247214212155, -5.9843263 37.4237024, -5.9863913 37.4232683))",197.0,44.24,20.65,13985.0,90.16,1481.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
9,Seville_hdbscan_5_5,9,9,-5.987831809464364,37.3431342236248,-5.9879596,37.3429252,1.549947953752299e-05,580664.6589784983,0.001479042724725,0.003149427442937,0.001076331779087,0.0013217693914626,Yes,,0.111,,,,,,,0.111,0.111,,,,,,0.111,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,0.111,0.111,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-5.9873945 37.3411569, -5.988738 37.3429252, -5.9893559 37.3441038, -5.985858898484619 37.345589119851596, -5.9864163 37.3414943, -5.9873945 37.3411569))",415.0,44.24,20.65,13985.0,90.16,1831.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
