Unnamed: 0,param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,amenity_rel_restaurant,amenity_rel_pharmacy,shop_rel_bakery,amenity_rel_post_box,amenity_rel_events_venue,shop_rel_supermarket,shop_rel_kiosk,shop_rel_hairdresser,amenity_rel_school,shop_rel_tobacco,shop_rel_butcher,shop_rel_convenience,amenity_rel_cafe,shop_rel_car,shop_rel_wholesale,shop_rel_stationery,shop_rel_yes,shop_rel_car_repair,shop_rel_greengrocer,amenity_rel_bar,amenity_rel_charging_station,amenity_rel_community_centre,amenity_rel_theatre,shop_rel_seafood,shop_rel_fishing,shop_rel_copyshop,amenity_rel_bank,amenity_rel_university,shop_rel_optician,shop_rel_dry_cleaning,shop_rel_jewelry,shop_rel_newsagent,shop_rel_florist,shop_rel_shoes,shop_rel_pyrotechnics,shop_rel_erotic,shop_rel_travel_agency,shop_rel_fireplace,shop_rel_hardware,shop_rel_variety_store,shop_rel_furniture,shop_rel_interior_decoration,amenity_rel_fast_food,amenity_rel_dentist,amenity_rel_veterinary,amenity_rel_exhibition_centre,amenity_rel_library,amenity_rel_clinic,amenity_rel_taxi,shop_rel_medical_supply,shop_rel_vacant,shop_rel_motorcycle,amenity_rel_pub,amenity_rel_doctors,amenity_rel_research_institute,shop_rel_computer,shop_rel_sports,shop_rel_books,amenity_rel_language_school,shop_rel_clothes,shop_rel_mall,amenity_rel_atm,shop_rel_lottery,shop_rel_beauty,shop_rel_funeral_directors,amenity_rel_hospital,amenity_rel_arts_centre,shop_rel_gift,amenity_rel_cinema,shop_rel_frozen_food,shop_rel_video_games,amenity_rel_biergarten,shop_rel_car_repair;car,shop_rel_games,shop_rel_laundry,amenity_rel_college,shop_rel_deli,shop_rel_pastry,shop_rel_perfumery,shop_rel_bicycle,shop_rel_ticket,shop_rel_confectionery,amenity_rel_car_rental,shop_rel_electronics,shop_rel_paint,shop_rel_fabric,shop_rel_tailor,shop_rel_kitchen,shop_rel_neon_signs,shop_rel_mobile_phone,shop_rel_bed,shop_rel_sewing,shop_rel_department_store,shop_rel_toys,shop_rel_tattoo,shop_rel_music,shop_rel_appliance,shop_rel_herbalist,shop_rel_locksmith,amenity_rel_post_office,shop_rel_second_hand,shop_rel_photo,shop_rel_coffee,shop_rel_cosmetics,shop_rel_mobile_phone_accessories,shop_rel_houseware,shop_rel_frame,shop_rel_massage,shop_rel_dairy,amenity_rel_payment_centre,shop_rel_bathroom_furnishing,shop_rel_pet,shop_rel_nutrition_supplements,shop_rel_musical_instrument,shop_rel_pasta,shop_rel_health_food,shop_rel_hearing_aids,shop_rel_grocery,shop_rel_pet_grooming,shop_rel_lighting,shop_rel_electrical,shop_rel_watches,shop_rel_alcohol,shop_rel_storage_rental,shop_rel_general,shop_rel_rental,shop_rel_Roller_Skate_and_Longboard,amenity_rel_bicycle_rental,shop_rel_wine,shop_rel_trade,shop_rel_window_blind,shop_rel_estate_agent,shop_rel_bag,shop_rel_bookmaker,shop_rel_tarot,amenity_rel_bureau_de_change,shop_rel_doityourself,shop_rel_video,shop_rel_hunting,shop_rel_baby_goods,shop_rel_doors,shop_rel_chemist,shop_rel_repair,shop_rel_motorcycle_repair,shop_rel_pawnbroker,shop_rel_car_detail,shop_rel_telecommunication,shop_rel_tea,shop_rel_outdoor,shop_rel_shoe_repair,shop_rel_art,shop_rel_cheese,shop_rel_fashion_accessories,shop_rel_cannabis,shop_rel_wool,shop_rel_pottery,shop_rel_chocolate,shop_rel_fan,amenity_rel_money_transfer,shop_rel_honey,shop_rel_radiotechnics,shop_rel_party,shop_rel_wigs,shop_rel_craft,shop_rel_collector,geometry,population,av_age,percent_65,pp_income,male_rate,pop_buffer,has_Consum,has_Mercadona,has_Carrefour Express,has_Burger King,has_Dia,has_McDonald's,has_100 Montaditos,has_Telepizza,has_KFC,has_ALE-HOP,has_Lidl,has_Opticalia,has_El Corte Inglés,has_Domino's,has_ALDI,has_Pull & Bear,has_Suma,has_Foster's Hollywood,has_ILUNION Hotels,has_Vodafone,has_Vitaldent,has_Mango,has_Calzedonia,has_Zara,has_Charter,has_TEDi,has_Oro Gema Subastas,trains_metro,trains_metro_in_buffer,bus,bus_in_buffer,Predicted_Segment
0,Valencia_hdbscan_5_5,0,5,-0.2974861300984581,39.310311775393934,-0.296596,39.3078804,0.0001011001493065,49455.91113659057,0.0047424187883806,0.0113557711085083,0.0024507432316186,0.0052733651763534,No,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.296249244404699 39.306846632408906, -0.2982086 39.3083591, -0.301807806087591 39.320813044560744, -0.294569 39.3078804, -0.296249244404699 39.306846632408906))",1337.0,44.77,21.39,15201.0,90.31,4675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mixed
1,Valencia_hdbscan_5_5,1,36,-0.3178693651827962,39.31139510825389,-0.3178734868726547,39.31065735,0.0001482227771033,242877.6514886855,0.0022247941104786,0.014755726466718,0.0011505466972254,0.0035473165753351,Yes,0.722,0.028,0.056,0.028,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.3184056 39.3067092, -0.319665564094993 39.31202047708825, -0.319486259523521 39.326061979639825, -0.312006572474049 39.32233819385393, -0.3182245 39.3067633, -0.3184056 39.3067092))",4374.0,44.74,21.32,15107.96,90.53,5376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,Mixed
2,Valencia_hdbscan_5_5,2,24,-0.331067677457242,39.38324966577463,-0.3324549,39.3828218,0.0003158826100399,75977.59179260088,0.0038824655318358,0.0153325169419232,0.0034161535569874,0.0040633735648189,Yes,0.375,0.042,0.042,0.042,,0.042,0.042,0.042,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.322025294934683 39.374178068041054, -0.3349885 39.3824781, -0.3300106 39.3985457, -0.3239311 39.3804534, -0.322025294934683 39.374178068041054))",7022.0,44.77,21.39,15201.0,90.31,5451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,Mixed
3,Valencia_hdbscan_5_5,3,10,-0.384453028289823,39.52758255245724,-0.38493915,39.52973379234623,0.0001407482566157,71048.83740977825,0.0041709743489401,0.0106340012185901,0.0029535786780978,0.0043608184253746,Yes,,0.1,0.1,,,,,,0.1,0.1,0.1,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.389995265833758 39.51897578349919, -0.3854254 39.5308739, -0.38099680815409 39.529816484692454, -0.378165808910382 39.51900625638074, -0.389995265833758 39.51897578349919))",5121.0,44.63,21.09,14892.25,91.31,5060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,Local
4,Valencia_hdbscan_5_5,4,29,-0.3637523483415183,39.42996332337443,-0.3634159,39.4298361,0.0003248269244784,89278.31350976546,0.0052869863799078,0.0147052239399172,0.0055455181600451,0.0034409414934488,Yes,0.069,0.069,0.103,,,0.034,,,0.069,,,,,0.138,0.069,0.034,0.034,0.034,0.034,0.069,0.034,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.365242479732033 39.423586642277066, -0.3724665 39.4274493, -0.373605316459125 39.43204790887155, -0.3550687 39.4374269, -0.3501356 39.4355156, -0.362486354909243 39.42418225523607, -0.365242479732033 39.423586642277066))",9483.0,44.77,21.39,15201.0,90.31,6929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,Mixed
5,Valencia_hdbscan_5_5,5,16,-0.3404005534695467,39.421742730383976,-0.3404778,39.42155215,8.067325471089688e-06,1983309.0975860693,0.0007763601844806,0.0022226234178698,0.000552887566154,0.0007901864594791,Yes,0.312,0.062,,0.062,,,,0.062,,0.062,,,,,,,,,0.062,,,,,0.062,0.062,0.062,0.062,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.33996 39.4202092, -0.3412678 39.4217065, -0.341367005512746 39.42374423614361, -0.33944895 39.42246635, -0.3390849 39.4213497, -0.33996 39.4202092))",246.0,44.77,21.39,15201.0,90.31,1794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,Mixed
6,Valencia_hdbscan_5_5,6,5,-0.3351420604528349,39.42114489396587,-0.3345924,39.4216562,7.308435830313456e-06,684140.9182606932,0.0012870880313775,0.0019929515249203,0.0009965241659648,0.0009643382255831,Yes,0.6,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.3345924 39.4194325, -0.336894302264175 39.42209436982932, -0.334497 39.421782, -0.3341487 39.4207594, -0.3345924 39.4194325))",182.0,44.77,21.39,15201.0,90.31,1495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mixed
7,Valencia_hdbscan_5_5,7,90,-0.4203352294853013,39.50100100226544,-0.41945335,39.501404985920445,0.0001532852413608,587140.6744770468,0.0032502448051838,0.0085589742504384,0.0031630711153869,0.0018530583664875,Yes,0.1,0.044,0.033,,,0.044,,0.033,0.044,,0.044,,0.044,0.011,,,,0.011,0.033,0.056,,0.011,0.022,,,0.022,0.011,,0.022,0.022,0.022,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.418366266154038 39.494554411539326, -0.426766070560538 39.49852156573561, -0.427297600416644 39.50066277500928, -0.428207970796357 39.50435897553348, -0.424075892935333 39.50425657790153, -0.417066 39.5029376, -0.412573900637572 39.50068856576913, -0.418366266154038 39.494554411539326))",5090.0,44.77,21.39,15201.0,90.31,5767.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,18.0,2.0,Primary
8,Valencia_hdbscan_5_5,8,24,-0.3340252624532653,39.44704244678881,-0.33367715,39.4472578667244,7.937195431762816e-05,302373.8070497491,0.0034195926391359,0.0059945268437404,0.0022438293624109,0.0029659764668615,Yes,0.042,0.042,0.083,,,0.083,,,0.125,,,,,,,,,,,,,0.042,,,,,,,,,,,,,,,,,,,,,,,,,0.042,,,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.334996030098411 39.44234480390199, -0.338729374741948 39.443326847287274, -0.33932531292335 39.4469105334488, -0.335954912155311 39.45188025558072, -0.3337055 39.4521064, -0.3313206136315 39.45076528724947, -0.331194270261811 39.44897893141795, -0.33148823808708 39.44426079741374, -0.332309304387521 39.44340899472393, -0.334996030098411 39.44234480390199))",3363.0,44.77,21.39,15201.0,90.31,4104.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,Local
9,Valencia_hdbscan_5_5,9,25,-0.3916749882404088,39.43455865554869,-0.3916441,39.4350922,1.316018636341501e-05,1899669.146745473,0.0011964464887443,0.003048950123308,0.0008405978426947,0.0010821608651655,Yes,,0.08,0.08,0.04,,0.04,0.04,0.04,0.04,,0.04,,0.04,,,,,,0.04,0.04,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.04,,0.04,0.04,0.12,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.3919767 39.4318252, -0.393438089750554 39.43431511437751, -0.3933312 39.4345052, -0.391960165533245 39.43597100366601, -0.39059 39.4355438, -0.3904862 39.4354458, -0.390263750726422 39.431855970673695, -0.3919767 39.4318252))",514.0,44.77,21.39,15201.0,90.31,2138.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,Local
