,param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,amenity_rel_school,amenity_rel_restaurant,shop_rel_convenience,shop_rel_hairdresser,shop_rel_bakery,amenity_rel_community_centre,amenity_rel_bank,amenity_rel_library,amenity_rel_bar,amenity_rel_pharmacy,amenity_rel_atm,amenity_rel_pub,amenity_rel_cafe,amenity_rel_clinic,shop_rel_butcher,shop_rel_funeral_directors,amenity_rel_post_office,amenity_rel_taxi,amenity_rel_veterinary,amenity_rel_arts_centre,amenity_rel_post_box,shop_rel_confectionery,amenity_rel_car_rental,shop_rel_car_repair,shop_rel_outdoor,shop_rel_wholesale,amenity_rel_vehicle_inspection,shop_rel_seafood,shop_rel_supermarket,amenity_rel_doctors,shop_rel_department_store,shop_rel_car,shop_rel_shoes,shop_rel_firearm_shop,shop_rel_mall,shop_rel_tyres,amenity_rel_fast_food,amenity_rel_cinema,amenity_rel_charging_station,amenity_rel_hospital,shop_rel_hardware,shop_rel_furniture,shop_rel_clothes,shop_rel_motorcycle,shop_rel_doityourself,shop_rel_sports,shop_rel_car_parts,shop_rel_variety_store,shop_rel_lighting,shop_rel_copyshop,shop_rel_beverages,shop_rel_yes,shop_rel_toys,shop_rel_signs,shop_rel_watches,shop_rel_garden_centre,shop_rel_florist,shop_rel_pet,shop_rel_laundry,shop_rel_interior_decoration,shop_rel_stationery,amenity_rel_dentist,shop_rel_electronics,shop_rel_optician,shop_rel_kitchen,shop_rel_gift,shop_rel_computer,shop_rel_beauty,shop_rel_greengrocer,shop_rel_mobile_phone,shop_rel_jewelry,shop_rel_cosmetics,shop_rel_hairdresser_supply,shop_rel_fashion_accessories,shop_rel_video_games,shop_rel_dry_cleaning,shop_rel_lottery,shop_rel_mobile_phone_accessories,shop_rel_tobacco,amenity_rel_language_school,shop_rel_window_blind,shop_rel_ticket,amenity_rel_biergarten,shop_rel_games,shop_rel_bicycle,shop_rel_deli,amenity_rel_theatre,shop_rel_travel_agency,shop_rel_herbalist,shop_rel_vacant,amenity_rel_college,amenity_rel_university,shop_rel_car_repair;car,shop_rel_chemist,amenity_rel_police,amenity_rel_studio,amenity_rel_car_sharing,shop_rel_trade,shop_rel_paint,shop_rel_fabric,shop_rel_books,shop_rel_massage,shop_rel_storage_rental,shop_rel_general,shop_rel_photo,shop_rel_tattoo,shop_rel_gas,shop_rel_builder,shop_rel_shoe_repair,shop_rel_cannabis,shop_rel_coffee,shop_rel_repair,shop_rel_musical_instrument,shop_rel_sewing,shop_rel_antiques,amenity_rel_parcel_locker,shop_rel_doors,shop_rel_perfumery,amenity_rel_gym,shop_rel_medical_supply,shop_rel_pastry,shop_rel_tailor,amenity_rel_events_venue,shop_rel_curtain,shop_rel_bag,shop_rel_hearing_aids,shop_rel_beer,shop_rel_frame,shop_rel_art,shop_rel_wine,shop_rel_brewing_supplies,shop_rel_tea,shop_rel_pawnbroker,shop_rel_second_hand,shop_rel_weapons,shop_rel_craft,shop_rel_bed,shop_rel_appliance,shop_rel_nutrition_supplements,shop_rel_pottery,amenity_rel_payment_centre,shop_rel_newsagent,amenity_rel_place_of_worship,shop_rel_kiosk,shop_rel_pet_grooming,shop_rel_locksmith,amenity_rel_marketplace,shop_rel_estate_agent,shop_rel_boutique,shop_rel_party,shop_rel_electrical,amenity_rel_bureau_de_change,shop_rel_houseware,shop_rel_carpet,amenity_rel_money_transfer,shop_rel_nuts,shop_rel_electronic_parts,shop_rel_video,shop_rel_health_food,shop_rel_hifi,shop_rel_erotic,shop_rel_music,shop_rel_collector,shop_rel_beauty;travel_agency,shop_rel_clock,shop_rel_rental,shop_rel_charity,shop_rel_baby_goods,shop_rel_grocery,shop_rel_bathroom_furnishing,shop_rel_chocolate,shop_rel_dairy,amenity_rel_payment_terminal,geometry,population,av_age,percent_65,pp_income,male_rate,pop_buffer,has_El Rincón,has_Alcampo,has_Martín Martín,has_Dia,has_Mercadona,has_Panishop,has_BonÀrea,has_Eroski,has_Clarel,has_McDonald's,has_La Plaza de DIA,has_Telepizza,has_Burger King,has_Movistar,has_Multiópticas,has_Simply Market,has_Primaprix,has_Domino's,has_Lidl,has_100 Montaditos,has_Folder,trains_metro,trains_metro_in_buffer,bus,bus_in_buffer
0,Zaragoza_hdbscan_5_5,0,6,-0.951271890200118,41.58435450812431,-0.951831119548675,41.58386195634746,6.595622492156124e-05,90969.42717894376,0.0070411789403721,0.0105382323269993,0.0014870267997138,0.0071074111497919,No,0.5,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.95123 41.5768128, -0.95243223909735 41.57829981269492, -0.952700522403946 41.58965298768374, -0.949001879699412 41.59464534836719, -0.9496025 41.577292, -0.95123 41.5768128))",526.0,45.2,21.97,15394.75,95.91,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1,Zaragoza_hdbscan_5_5,1,23,-0.7950562774437644,41.761972810777195,-0.7966711221468447,41.7613112,0.0001074089356772,214134.88416941432,0.0033456789961596,0.0115700193054763,0.0041103514189628,0.0017836947169942,Yes,0.043,0.087,0.087,0.087,0.043,0.13,0.087,0.043,0.043,0.043,0.043,0.043,0.043,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.797707106706441 41.75898774018476, -0.798603239963581 41.76027789349348, -0.7976656 41.7618289, -0.797089191339919 41.76225878242679, -0.784439194035521 41.76657095025219, -0.7845602 41.7660233, -0.797707106706441 41.75898774018476))",159.0,45.29,22.41,15368.0,91.88,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
2,Zaragoza_hdbscan_5_5,2,32,-1.027775966289766,41.719483736283905,-1.0269771595108477,41.7197383,0.000186622396009,171469.2377995561,0.0034685964623661,0.0104454823850729,0.0030737155274631,0.003143506419125,Yes,0.156,0.062,,0.031,,0.031,,0.031,0.031,0.125,,,,0.031,0.062,0.031,0.031,0.031,0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-1.032477490903773 41.71015615521694, -1.034158594661618 41.72076817083446, -1.034413702287138 41.724847474711545, -1.0217108 41.7231668, -1.029666909718698 41.710302913812995, -1.032477490903773 41.71015615521694))",744.0,45.22,22.06,14088.63,95.08,809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0
3,Zaragoza_hdbscan_5_5,3,11,-0.8232632950986357,41.604523376256175,-0.8230747,41.6042337,1.8152156783994243e-05,605988.5957848991,0.0015276179172553,0.0032622986231236,0.0011045394976455,0.0012856550107244,No,0.091,0.273,,,,,,0.091,,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.823877221191605 41.602960729958724, -0.825274 41.6051926, -0.824252709612318 41.60763201763571, -0.8213881 41.6042337, -0.822188572752728 41.60336965354411, -0.823877221191605 41.602960729958724))",61.0,45.29,22.41,15368.0,91.88,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
4,Zaragoza_hdbscan_5_5,4,15,-0.8210974705308726,41.599114138204854,-0.8204037,41.5993785,1.3630527800027902e-05,1100470.9590166635,0.0017824752040671,0.002991270799558,0.001753783071872,0.0008138002649445,No,,,,,,,,,,,,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.8225434 41.5975682, -0.823754657963088 41.59822817307286, -0.8240828 41.5989257, -0.8210288 41.6001379, -0.8202955 41.6001637, -0.8190581 41.5998056, -0.8188312 41.5984127, -0.8225434 41.5975682))",58.0,45.29,22.41,15368.0,91.88,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,Zaragoza_hdbscan_5_5,5,10,-1.026154611587473,41.681912004541616,-1.02603665,41.6831016,5.345577383437068e-05,187070.53107086924,0.0029017945496954,0.0112580365924626,0.0013491266293442,0.0038165847309708,No,0.1,0.1,,,,,,0.1,,0.2,,,,0.1,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-1.027410525324634 41.67072424030554, -1.027992690550093 41.68191650511062, -1.0271161 41.684597, -1.0248641 41.6835769, -1.0241394 41.6830648, -1.027410525324634 41.67072424030554))",173.0,45.29,22.41,15368.0,91.88,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
6,Zaragoza_hdbscan_5_5,6,11,-0.8082230468843268,41.7243488411145,-0.8094230940246437,41.72400164176193,0.0002026402442914,54283.39290876529,0.0052166191883724,0.0129391905679169,0.0054350407110893,0.0037816899865371,No,,0.091,,,,,,0.273,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.80949493054016 41.71903518796691, -0.8137001 41.7226386, -0.813731002925788 41.72272978074636, -0.8119617 41.7246046, -0.7974046 41.731447, -0.797422242325572 41.731402905042, -0.80949493054016 41.71903518796691))",366.0,45.29,22.41,15368.0,91.88,639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
7,Zaragoza_hdbscan_5_5,7,10,-1.007957228777297,41.664923275358255,-1.00778085,41.66360695,2.492922990315301e-05,401135.5360293426,0.0024710776097881,0.009845630755466,0.0006060572956006,0.0034512231704458,Yes,,0.3,,,,,,,,,,,0.1,,,,,0.1,,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-1.0070163 41.6628221, -1.0086101 41.6635986, -1.00910408777297 41.666936653582525, -1.0076049 41.6747626, -1.0070163 41.6628221))",89.0,45.29,22.41,15368.0,91.88,471.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
8,Zaragoza_hdbscan_5_5,8,12,-0.7864007365811249,41.65572967280547,-0.78757275,41.6548024,0.0002126124312499,56440.72611113389,0.005506492096566,0.0135891497309841,0.0054427174392126,0.0032164814780384,Yes,,0.333,,,,,0.083,,,,,,,,,,,,,,,,,0.25,0.083,0.083,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.790233238973497 41.650769973665646, -0.7961466 41.6524129, -0.7879285 41.6599054, -0.7728732 41.6544371, -0.7824322 41.6521643, -0.790233238973497 41.650769973665646))",688.0,45.29,22.41,15368.0,91.88,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
9,Zaragoza_hdbscan_5_5,9,15,-0.9703779457471604,41.70190186133154,-0.9702513,41.70194928765039,1.2761093030040713e-05,1175447.8996970486,0.0011680108623897,0.0028002394802729,0.0011964008687422,0.0006672107532327,Yes,0.067,0.067,,,0.067,,0.067,0.067,,0.067,,,0.133,,0.067,,0.067,,,,,,,,,,,0.067,0.067,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.971429311911155 41.70039084972084, -0.9729323 41.7030493, -0.9681321 41.702886, -0.9689415 41.70189, -0.971429311911155 41.70039084972084))",45.0,45.29,22.41,15368.0,91.88,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
