param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,amenity_rel_restaurant,shop_rel_clothes,shop_rel_confectionery,amenity_rel_atm,amenity_rel_post_box,shop_rel_convenience,amenity_rel_school,amenity_rel_pharmacy,amenity_rel_clinic,shop_rel_agrarian,amenity_rel_cafe,amenity_rel_pub,amenity_rel_bar,shop_rel_toys,shop_rel_gas,shop_rel_truck,amenity_rel_hospital,amenity_rel_charging_station,shop_rel_vacant,shop_rel_bakery,amenity_rel_doctors,amenity_rel_taxi,amenity_rel_biergarten,shop_rel_hairdresser,shop_rel_paint,shop_rel_variety_store,shop_rel_lottery,shop_rel_tobacco,shop_rel_furniture,shop_rel_butcher,amenity_rel_library,amenity_rel_bank,amenity_rel_fast_food,shop_rel_car,shop_rel_computer,shop_rel_motorcycle,shop_rel_pet,shop_rel_beauty,shop_rel_hifi,shop_rel_electronics,shop_rel_doityourself,shop_rel_supermarket,shop_rel_grocery,shop_rel_ticket,shop_rel_hardware,amenity_rel_dentist,shop_rel_wholesale,shop_rel_kitchen,shop_rel_sports,shop_rel_car_repair,amenity_rel_veterinary,shop_rel_ice_cream,shop_rel_dry_cleaning,shop_rel_interior_decoration,shop_rel_newsagent,amenity_rel_cinema,shop_rel_florist,shop_rel_video,shop_rel_chemist,shop_rel_kiosk,shop_rel_tea,shop_rel_mobile_phone,shop_rel_shoes,shop_rel_estate_agent,shop_rel_beverages,shop_rel_pet_grooming,shop_rel_gift,shop_rel_greengrocer,shop_rel_mall,shop_rel_bicycle,shop_rel_optician,shop_rel_appliance,shop_rel_yes,shop_rel_stationery,shop_rel_books,shop_rel_cosmetics,shop_rel_outdoor,shop_rel_funeral_directors,shop_rel_bed,shop_rel_herbalist,shop_rel_general,shop_rel_travel_agency,shop_rel_fabric,amenity_rel_post_office,shop_rel_lighting,shop_rel_jetski,shop_rel_copyshop,shop_rel_second_hand,shop_rel_nutrition_supplements,amenity_rel_community_centre,shop_rel_perfumery,shop_rel_laundry,amenity_rel_college,shop_rel_car_parts,amenity_rel_parcel_locker,shop_rel_radiotechnics,shop_rel_musical_instrument,amenity_rel_language_school,shop_rel_video_games,shop_rel_jewelry,shop_rel_massage,shop_rel_games,shop_rel_sewing,shop_rel_tattoo,shop_rel_alcohol,shop_rel_outdoor;hunting,shop_rel_medical_supply,shop_rel_pawnbroker,shop_rel_tyres,amenity_rel_bureau_de_change,shop_rel_pastry,shop_rel_wine,amenity_rel_car_rental,shop_rel_watches,shop_rel_accessories,shop_rel_bookmaker,shop_rel_deli,shop_rel_erotic,amenity_rel_arts_centre
Alicante_hdbscan_5_5,0,6,-0.4778920223213961,38.16573133753895,-0.47780484999999995,38.16571265,5.676708946561005e-07,10569504.366847709,0.0002936647674226135,0.000729373246331004,0.0002946223399936588,0.00021613404930612652,No,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicante_hdbscan_5_5,1,24,-0.4815202488161221,38.16630954518036,-0.4816123904591536,38.16627041662962,3.8139580869972005e-06,6292675.339517336,0.0009008007001810727,0.0016846221784114776,0.0009590479368898112,0.00030448380557258887,Yes,0.458,0.042,0.042,0.042,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicante_hdbscan_5_5,2,13,-0.5736876565772957,38.40209412270196,-0.5761144632551165,38.403134058571005,0.001258156961899738,10332.574069590502,0.011960723404852536,0.03229898661659025,0.009507505677979328,0.010209836212914577,Yes,0.308,,,0.077,0.077,0.077,0.154,0.077,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicante_hdbscan_5_5,3,11,-0.6112842645684617,38.34371188437296,-0.6130366,38.3443215254192,0.00014647258237031186,75099.37916018856,0.004253986816659824,0.013625446053991184,0.005004915272383477,0.002057889258328867,Yes,0.091,,,,,0.182,0.091,,,0.091,0.273,0.091,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicante_hdbscan_5_5,4,12,-0.5678806693870847,38.34049187459363,-0.5676106772590837,38.3394575,0.00022111628259038804,54270.08748256535,0.004960585473012537,0.010548204744107361,0.004317622016770493,0.003613140396342493,Yes,0.333,,,,,,,,,,,,,0.083,0.083,0.083,0.083,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicante_hdbscan_5_5,5,26,-0.5210467507856362,38.28208073999385,-0.5207877000000001,38.28250415,2.3159792379998035e-05,1122635.2798591973,0.0016597535588577942,0.005032758610254716,0.0007630972299892161,0.0020291885644729006,Yes,0.308,,,,,0.038,,0.038,,,,0.038,0.192,,,,,,0.115,0.038,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicante_hdbscan_5_5,6,11,-0.5191222885764388,38.31397246612877,-0.5183264702337734,38.313556445640664,2.1016423661172676e-05,523400.18346328964,0.0021506620217852405,0.005983355353598753,0.0024055057304663697,0.0007301297039061066,No,,,,,,,0.091,,,,,,,,,,,,,,,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicante_hdbscan_5_5,7,11,-0.5204378875164903,38.30378935633464,-0.5200815,38.3043756,2.319654835633814e-05,474208.4827027466,0.002059032076970727,0.005185034473642728,0.0008338667889331503,0.0022041497670262614,No,0.273,,,,,,,,,,0.091,,,,,,,,,,,,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicante_hdbscan_5_5,8,27,-0.49055751094533306,38.386990902900784,-0.490907,38.3871464,7.312627990216361e-05,369224.3067215175,0.0017314298699358328,0.006383505303427329,0.0018248688893877892,0.0015782751444723387,Yes,0.037,,,,,,0.148,0.037,0.037,,,0.074,,,,,,,,0.037,,,,0.074,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicante_hdbscan_5_5,9,11,-0.4508036179887649,38.38467267499945,-0.4507499,38.3850051,5.718871636148265e-06,1923456.3564026144,0.0008385254890095194,0.0022319507346383383,0.0005142998986093398,0.0009514092819042107,Yes,0.182,,,,,0.091,,,,,,,,,,,,0.091,,,,,,,,,,,,,,,0.091,0.182,0.182,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
