param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,shop_rel_bakery,shop_rel_hairdresser,shop_rel_greengrocer,shop_rel_convenience,shop_rel_hardware,shop_rel_supermarket,shop_rel_butcher,shop_rel_bicycle,shop_rel_kiosk,shop_rel_travel_agency,shop_rel_florist,shop_rel_alcohol,shop_rel_seafood,shop_rel_computer,shop_rel_optician,shop_rel_jewelry,shop_rel_laundry,amenity_rel_pub,amenity_rel_bar,amenity_rel_restaurant,amenity_rel_bank,amenity_rel_post_box,amenity_rel_cafe,amenity_rel_pharmacy,amenity_rel_school,amenity_rel_community_centre,amenity_rel_fast_food,amenity_rel_dentist,amenity_rel_post_office,amenity_rel_veterinary,amenity_rel_library,amenity_rel_clinic,shop_rel_tobacco,shop_rel_repair,amenity_rel_theatre,amenity_rel_arts_centre,shop_rel_clothes,amenity_rel_college,amenity_rel_university,shop_rel_car_repair,shop_rel_beauty,shop_rel_storage_rental,amenity_rel_charging_station,amenity_rel_taxi,shop_rel_car,shop_rel_pet,shop_rel_variety_store,shop_rel_curtain,shop_rel_furniture,shop_rel_kitchen,amenity_rel_atm,shop_rel_interior_decoration,shop_rel_motorcycle,shop_rel_motorcycle_repair,shop_rel_yes,shop_rel_medical_supply,shop_rel_carpet,shop_rel_lighting,shop_rel_fabric,shop_rel_confectionery,shop_rel_newsagent,shop_rel_copyshop,shop_rel_video,amenity_rel_car_rental,shop_rel_sports,amenity_rel_hospital,shop_rel_video_games,shop_rel_massage,shop_rel_electronics,shop_rel_books,shop_rel_herbalist,amenity_rel_language_school,shop_rel_hearing_aids,shop_rel_farm,shop_rel_lottery,shop_rel_tyres,shop_rel_sewing,amenity_rel_doctors,shop_rel_shoes,shop_rel_cosmetics,shop_rel_mobile_phone,shop_rel_printer_ink,amenity_rel_biergarten,shop_rel_nutrition_supplements,shop_rel_locksmith,shop_rel_pawnbroker,shop_rel_erotic,shop_rel_mall,shop_rel_chemist,shop_rel_gift,shop_rel_ice_cream,shop_rel_wine,shop_rel_houseware,shop_rel_estate_agent,shop_rel_photo,shop_rel_hifi,shop_rel_frame,shop_rel_bathroom_furnishing,shop_rel_health_food,shop_rel_stationery,shop_rel_baby_goods,shop_rel_vacant,shop_rel_toys,shop_rel_tattoo,shop_rel_appliance,amenity_rel_parcel_locker,shop_rel_deli,shop_rel_paint,shop_rel_music,shop_rel_pastry,shop_rel_outdoor,shop_rel_second_hand,shop_rel_bag,shop_rel_craft,shop_rel_fashion_accessories,shop_rel_garden_centre,shop_rel_bed,shop_rel_tea,shop_rel_art,shop_rel_party,shop_rel_model,shop_rel_catalogue,shop_rel_wool,shop_rel_department_store,shop_rel_wigs,shop_rel_dry_cleaning,shop_rel_bookmaker,shop_rel_leather,shop_rel_skate,shop_rel_musical_instrument,shop_rel_cheese,shop_rel_antiques,shop_rel_esoteric,amenity_rel_ice_cream,shop_rel_pet_grooming,shop_rel_collector,shop_rel_tiles,amenity_rel_money_transfer,shop_rel_funeral_directors,shop_rel_tailor,shop_rel_perfumery,shop_rel_charity,shop_rel_printing,amenity_rel_bureau_de_change,shop_rel_spy,shop_rel_rental,shop_rel_hairdresser_supply,amenity_rel_bicycle_rental,shop_rel_food,shop_rel_shoe_repair,shop_rel_russian,shop_rel_car_parts
Bilbao_hdbscan_5_5,0,116,-2.972844005566284,43.275863959881484,-2.9729234809259695,43.27606725,6.663980267321553e-05,1740701.4328783986,0.001567163081381993,0.005618255568440534,0.0012319316984630887,0.001523705303220451,Yes,0.052,0.043,0.034,0.026,0.026,0.026,0.026,0.017,0.017,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.147,0.078,0.078,0.043,0.034,0.026,0.026,0.026,0.017,0.017,0.017,0.009,0.009,0.009,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao_hdbscan_5_5,1,42,-2.924026711632481,43.24203474700124,-2.9245794,43.241941,2.553919662001083e-05,1644530.9782020147,0.0015933745835051668,0.0036459832504386423,0.0015055665763938578,0.0010129324689064194,Yes,,,0.024,,,0.071,0.024,,,,,,,,0.024,,,0.024,0.357,0.095,0.071,,0.048,0.048,0.048,,0.048,,,,0.024,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao_hdbscan_5_5,2,10,-2.9625972167617762,43.26201972817596,-2.96263615,43.26200605,1.2206660654009099e-05,819224.8710310175,0.0010880627329135078,0.002359565109822878,0.0012093253480501224,0.0006151863577089069,Yes,,,,,,,,,,,,,,,,,,,0.3,,,,,0.1,,,,,,,,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao_hdbscan_5_5,3,10,-2.960929551547612,43.267722029980945,-2.9605857028596585,43.2675905,6.026920848469151e-06,1659222.0557434428,0.0008443888561010388,0.002189897435035099,0.0008634693273565713,0.0005834713232007153,No,,,,,,,,,,,,,,,,,,,0.3,0.1,,0.1,,,,0.1,,,,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao_hdbscan_5_5,4,6,-2.9638305719974505,43.271602080636065,-2.9639111357987513,43.27175995,2.8121178400038833e-06,2133623.2481607934,0.0007706053036349615,0.00111076707660873,0.0006330112748281556,0.0005209161898618174,Yes,,,,,,,,,,,,,,,,,,,0.333,,,,,,,,,,,,,,,,,,0.167,0.167,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao_hdbscan_5_5,5,6,-2.9566793668878795,43.25661311110184,-2.957012376667903,43.25641101627187,6.892245805695788e-06,870543.5309694799,0.0013208328268629348,0.0017665791172777811,0.0010077138155117182,0.0009231453053732109,No,,,,,,,,,,,,,,,,,,,0.167,0.167,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao_hdbscan_5_5,6,10,-2.910823069961846,43.26474925354891,-2.9110616634097397,43.264891466017644,1.5117441898333334e-05,661487.5762216409,0.0018342564648560961,0.002788128369487068,0.0015852585748949164,0.0010354426895062704,Yes,,,,,,0.1,,,,,,,,,,,,,,0.1,0.1,,,0.1,0.1,,,,,,,,,,,,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao_hdbscan_5_5,7,14,-2.896120802490376,43.26011173929522,-2.8962563,43.260283400000006,1.0467513067891503e-05,1337471.461386965,0.0009367628288723776,0.00283331417574076,0.000820150839499356,0.0008976890533383105,Yes,0.071,,0.071,,,,0.071,,,,,,,,,,,,0.429,,,,,0.071,,,,,,,,,,,,,,0.071,,,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao_hdbscan_5_5,8,12,-2.9328234614630175,43.2438581606041,-2.932719679160841,43.24359654179959,8.74960853808776e-06,1371489.9298366345,0.0010845816925828132,0.002240492223992595,0.0010723014467338128,0.0006638142448216284,Yes,,,,0.083,,,,,,,,,,,,,,,,0.083,,,,,0.083,,,,,,,,,,,,,,,,,0.167,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao_hdbscan_5_5,9,9,-2.900479108861308,43.25920370124518,-2.9006693,43.2592889,1.857689127779503e-05,484472.87898797716,0.00166360061796612,0.0030956484164848226,0.0012494548097025584,0.0013504559328033005,No,,,,,,,,,,,,,,,,,,,,,,,,0.111,0.222,0.222,,,,,,0.222,,,,,,,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
