param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,shop_rel_butcher,shop_rel_car_repair,shop_rel_bakery,shop_rel_supermarket,amenity_rel_restaurant,amenity_rel_post_box,amenity_rel_doctors,amenity_rel_pharmacy,amenity_rel_school,amenity_rel_community_centre,amenity_rel_bar,amenity_rel_atm,amenity_rel_cafe,amenity_rel_clinic,amenity_rel_pub,shop_rel_copyshop,shop_rel_pet,shop_rel_tobacco,shop_rel_garden_centre,amenity_rel_library,shop_rel_hardware,shop_rel_convenience,amenity_rel_post_office,amenity_rel_events_venue,amenity_rel_biergarten,amenity_rel_theatre,shop_rel_furniture,shop_rel_wholesale,shop_rel_sports,shop_rel_electronics,shop_rel_doityourself,amenity_rel_fast_food,shop_rel_car,shop_rel_gift,shop_rel_variety_store,amenity_rel_charging_station,amenity_rel_car_rental,shop_rel_tyres,shop_rel_bathroom_furnishing,shop_rel_funeral_directors,amenity_rel_university,amenity_rel_veterinary,shop_rel_security,shop_rel_optician,shop_rel_clothes,shop_rel_houseware,shop_rel_car_parts,amenity_rel_cinema,shop_rel_stationery,shop_rel_books,shop_rel_sewing,shop_rel_jewelry,shop_rel_beauty,amenity_rel_bank,amenity_rel_dentist,shop_rel_mall,shop_rel_motorcycle,shop_rel_fuel,shop_rel_interior_decoration,amenity_rel_taxi,shop_rel_shoes,shop_rel_household_linen,shop_rel_pastry,shop_rel_hairdresser,shop_rel_bicycle,shop_rel_florist,shop_rel_yes,shop_rel_estate_agent,shop_rel_greengrocer,shop_rel_laundry,amenity_rel_language_school,shop_rel_toys,shop_rel_video_games,shop_rel_dry_cleaning,shop_rel_mobile_phone,shop_rel_kiosk,shop_rel_newsagent,shop_rel_vacant,shop_rel_medical_supply,shop_rel_doors,shop_rel_nutrition_supplements,shop_rel_lottery,shop_rel_perfumery,shop_rel_hearing_aids,shop_rel_confectionery,amenity_rel_college,shop_rel_seafood,shop_rel_boutique,shop_rel_e-cigarette,shop_rel_art,shop_rel_fabric,shop_rel_computer,shop_rel_chemist,shop_rel_appliance,shop_rel_ticket,shop_rel_outdoor,shop_rel_photo_studio,shop_rel_pet_grooming,shop_rel_kitchen,shop_rel_lighting,shop_rel_hifi,shop_rel_wine,shop_rel_erotic,shop_rel_second_hand,shop_rel_weapons,shop_rel_cosmetics,shop_rel_massage,amenity_rel_money_transfer,shop_rel_nuts,amenity_rel_arts_centre,shop_rel_leather,amenity_rel_place_of_worship,shop_rel_deli,shop_rel_fashion_accessories,shop_rel_craft,shop_rel_bag,amenity_rel_music_venue,shop_rel_tea,shop_rel_dairy,shop_rel_antiques,shop_rel_mobile_phone_accessories
Cordoba_hdbscan_5_5,0,20,-4.635038815,37.733651560000006,-4.6352781499999995,37.733402999999996,7.946006488999334e-05,251698.7624876539,0.0026069761856006846,0.012083701532883144,0.0034196108819973645,0.0010975239470738085,Yes,0.1,0.1,0.05,0.05,0.2,0.1,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,1,12,-4.769309116877256,37.99733523937758,-4.7693324217686754,38.001630384454614,0.0003964867742865863,30265.826701513703,0.007966817133974475,0.019394359390525914,0.0028835615836968315,0.009413356457843,No,,,,,0.25,,,0.083,0.083,,,,0.083,0.083,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,2,18,-4.92749708795311,37.83197713599321,-4.9279098999999995,37.83195514173632,1.896209846999971e-05,949262.0254281526,0.001336030363113529,0.003713604848723889,0.0013284720676099147,0.0008609058148738676,Yes,,0.056,,0.056,0.167,,,0.111,0.056,,0.056,,,,,0.056,0.056,0.056,0.056,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,3,9,-4.912406995201344,37.8492387621296,-4.9100785441526895,37.8496576,5.9283105751558086e-05,151813.9086321985,0.003744098396995723,0.010139072296383774,0.004280625723148326,0.0014807670241409284,No,,,,,0.222,,0.111,,,,,,,,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,4,33,-4.89600772124692,37.925502488018715,-4.8976064337973755,37.92569325077842,0.0012670093528440354,26045.58516156604,0.005026330593846454,0.028612646257565454,0.0052170254841644465,0.00631062064735035,Yes,,,,0.03,0.091,,,,,,0.121,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,5,24,-4.673489206085788,37.93369157813904,-4.673251098693449,37.932627075,0.0010133050047900797,23684.872655861338,0.006558695343202304,0.023584088150910114,0.007771436293294406,0.004721177046430632,Yes,,,,0.083,0.042,,0.042,,0.083,,0.125,,,,,,,,,0.042,,0.042,0.042,0.042,0.042,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,6,6,-4.755929695819936,37.92778809298801,-4.755629846386962,37.927495466662705,9.467787987590018e-05,63372.775223363155,0.004596209100413746,0.007131102140195761,0.002879771866304662,0.00401109491653604,Yes,,,,0.333,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,7,13,-4.837546906416222,37.87642737473977,-4.8373366,37.8765238,2.3011625630733963e-05,564931.8396105578,0.002307291432405374,0.0047058531295009,0.0027781553320665865,0.0008200116978492814,Yes,,,,0.154,,,,,,,,,,,,,0.077,,,,,,,,,,0.231,0.154,0.154,0.077,0.077,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,8,26,-4.732849863804055,37.899219958641936,-4.734302116245144,37.89895225,0.00020109717263386826,129290.72875299664,0.005296171627150496,0.011723756374659479,0.005796922679452465,0.0020317985843989724,Yes,,,,0.077,0.077,,,,,,,,,,,,,,,,,0.115,,,,,0.346,0.038,,,,,0.077,0.038,0.038,0.077,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,9,6,-4.714834983039106,37.905529817577715,-4.71491315993355,37.905175090178886,1.2374348613678634e-05,484874.00729664153,0.001932787729339391,0.002350149285107801,0.0009414311031968124,0.0017039552570320877,Yes,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,0.167,,,,,,,,,,,0.167,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
