param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,shop_rel_convenience,amenity_rel_pharmacy,amenity_rel_post_box,amenity_rel_cafe,amenity_rel_school,amenity_rel_doctors,amenity_rel_restaurant,shop_rel_kiosk,amenity_rel_community_centre,shop_rel_bakery,shop_rel_supermarket,amenity_rel_pub,amenity_rel_bank,amenity_rel_library,shop_rel_tobacco,shop_rel_hardware,shop_rel_appliance,shop_rel_hairdresser,amenity_rel_bench,amenity_rel_veterinary,amenity_rel_clinic,amenity_rel_taxi,shop_rel_frozen_food,shop_rel_electrical,shop_rel_car,shop_rel_truck,shop_rel_caravan,shop_rel_tyres,amenity_rel_car_rental,amenity_rel_charging_station,amenity_rel_post_office,amenity_rel_dentist,shop_rel_greengrocer,shop_rel_butcher,amenity_rel_bar,amenity_rel_fast_food,shop_rel_copyshop,shop_rel_beauty,shop_rel_dry_cleaning,shop_rel_florist,amenity_rel_college,amenity_rel_hospital,shop_rel_confectionery,shop_rel_furniture,shop_rel_optician,shop_rel_bed,shop_rel_curtain,shop_rel_kitchen,shop_rel_electronics,amenity_rel_atm,shop_rel_doityourself,shop_rel_sports,shop_rel_fabric,shop_rel_car_repair,amenity_rel_cinema,shop_rel_bicycle,shop_rel_pastry,shop_rel_shoes,shop_rel_clothes,shop_rel_trade,shop_rel_laundry,amenity_rel_theatre,shop_rel_boutique,shop_rel_travel_agency,shop_rel_alcohol,shop_rel_bathroom_furnishing,shop_rel_bag,shop_rel_cosmetics,shop_rel_jewelry,shop_rel_mobile_phone,shop_rel_interior_decoration,shop_rel_variety_store,shop_rel_houseware,shop_rel_fashion_accessories,shop_rel_mall,shop_rel_gift,shop_rel_wine,amenity_rel_bureau_de_change,shop_rel_garden_centre,amenity_rel_research_institute,shop_rel_newsagent,shop_rel_books,shop_rel_toys,shop_rel_deli,shop_rel_stationery,shop_rel_motorcycle,shop_rel_car_parts,shop_rel_coffee,shop_rel_pet,shop_rel_boat,shop_rel_lottery,shop_rel_fuel,shop_rel_nutrition_supplements,shop_rel_party,shop_rel_second_hand,shop_rel_yes,shop_rel_paint,shop_rel_shoe_repair,shop_rel_model,amenity_rel_events_venue,shop_rel_pet_grooming,amenity_rel_language_school,shop_rel_computer,shop_rel_seafood,shop_rel_beverages,shop_rel_department_store,amenity_rel_university,shop_rel_bookmaker,shop_rel_funeral_directors,shop_rel_telecommunication,amenity_rel_telephone,shop_rel_watches,shop_rel_locksmith,shop_rel_e-cigarette,shop_rel_perfumery,shop_rel_chemist,shop_rel_health_food,shop_rel_ticket,shop_rel_tailor,amenity_rel_social_facility,shop_rel_medical_supply,shop_rel_lighting,amenity_rel_music_school,amenity_rel_arts_centre,shop_rel_haberdashery,shop_rel_tattoo,shop_rel_charity,shop_rel_storage_rental,shop_rel_frame,shop_rel_massage,shop_rel_photo,shop_rel_herbalist,shop_rel_hvac,shop_rel_art,shop_rel_general,shop_rel_musical_instrument,shop_rel_vacant,shop_rel_window_blind,shop_rel_grocery,shop_rel_sewing,amenity_rel_place_of_worship,shop_rel_music,amenity_rel_marketplace,shop_rel_gas,shop_rel_new_age,shop_rel_video_games,shop_rel_erotic,shop_rel_antiques,shop_rel_religion,shop_rel_collector,shop_rel_tea,shop_rel_craft,shop_rel_tiles,shop_rel_orthopedics,shop_rel_religion;candles,shop_rel_esoteric,shop_rel_locksmith;shoe_repair,shop_rel_camera,shop_rel_anime,shop_rel_repair,shop_rel_weapons,shop_rel_motorcycle_repair,shop_rel_farm,shop_rel_hearing_aids,amenity_rel_exhibition_centre,amenity_rel_parcel_locker,amenity_rel_trade_school,amenity_rel_coworking_space,amenity_rel_public_bath
Malaga_hdbscan_5_5,0,8,-4.317989717729813,36.76997040543588,-4.320406483919108,36.770736400000004,0.00014519689147582987,55097.598293498704,0.003992997871665163,0.01548773709277932,0.005337917434688046,0.002571280113379875,Yes,0.125,0.25,0.125,0.125,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaga_hdbscan_5_5,1,14,-4.375980713788461,36.80761829076551,-4.37862835,36.81095633689796,0.0021750303503798893,6436.691790325946,0.01757913224150905,0.03842352928818008,0.009820611669492248,0.017115670909994607,No,,,,,,,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaga_hdbscan_5_5,2,7,-4.548108766097502,36.70848048893581,-4.549608419811922,36.70902411202815,2.0225333107379977e-05,346100.60377427284,0.002361276393378455,0.004052379454629486,0.0023137971140653325,0.001245823453898357,Yes,,0.143,0.143,,0.143,,,0.143,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaga_hdbscan_5_5,3,15,-4.567079822707282,36.732777953877914,-4.567768602842505,36.7328951,1.819264568706243e-05,824508.9943496862,0.0015570042069315904,0.004838492885059837,0.001624197543871099,0.0008858594238868044,Yes,,0.067,,,0.067,0.067,0.067,,0.067,0.133,0.067,0.067,0.067,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaga_hdbscan_5_5,4,23,-4.537007746744629,36.722966747710096,-4.537372,36.7228202,3.0739112865335206e-05,748232.3937180804,0.001674906752097416,0.004674389745517946,0.0017408700405683927,0.001014473634028262,Yes,,0.043,,,0.087,,0.043,0.087,,,,,0.043,,0.087,0.043,0.043,0.043,0.043,0.043,0.043,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaga_hdbscan_5_5,5,20,-4.514315743410628,36.7080224062867,-4.5158778,36.70737926696839,0.0003278937661736216,60995.365155584834,0.00576755723579188,0.013260730874666603,0.004870862328347918,0.004158988294850066,Yes,,,,,0.05,,,,0.1,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaga_hdbscan_5_5,6,6,-4.548123354199009,36.7363791154576,-4.54788475,36.73618999999999,5.19351669417466e-06,1155286.5530845288,0.0009723198025319016,0.0018912206170975175,0.0008997571785014435,0.0006685776948521866,No,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaga_hdbscan_5_5,7,40,-4.555593018092103,36.73674765536826,-4.555897481787953,36.73696305,3.876900192996035e-05,1031752.1217663421,0.002383533556591169,0.003952419621284993,0.001792333829359094,0.0017705192219471695,No,,,,,,,0.1,,,,,,,,,,,,,,,0.025,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaga_hdbscan_5_5,8,8,-4.544818531855505,36.727818955390916,-4.54488445,36.72788854265991,5.508511763982831e-07,14522978.878447095,0.00041245626743074217,0.0006794123530782335,0.00039983215892771656,0.00017014737814762614,No,,,,,,,,,0.125,,,,0.125,0.125,,,,,,,,,,,,,,,,,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaga_hdbscan_5_5,9,7,-4.474082229807355,36.650525818146185,-4.4739872,36.65149131446218,5.977542496321768e-06,1171049.8092330405,0.0015975451872719463,0.0031790719734056945,0.000365552795183034,0.0017609696166980308,No,,,,0.143,,,0.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaga_hdbscan_5_5,10,18,-4.54787163275785,36.72848344981916,-4.548163230306018,36.72860695,3.1920451428806167e-06,5639017.994512493,0.0007182597363605568,0.0014458081614420288,0.0007579644569509299,0.00030803672132489107,Yes,0.056,,,0.056,0.056,,0.222,0.056,0.056,,,,0.056,,,,,0.056,,,,,,,,,,,,,,,0.056,0.056,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaga_hdbscan_5_5,11,8,-4.5478822625,36.729851125,-4.54781995,36.729825399999996,5.449046399978862e-07,14681467.935437353,0.00026871209181223804,0.0007965412902232651,0.0003252783190497153,0.0001427502692642203,Yes,,,,0.125,,,0.125,,,,,0.125,,,,,,0.125,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
