param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,amenity_rel_restaurant,amenity_rel_pharmacy,shop_rel_bakery,amenity_rel_post_box,amenity_rel_events_venue,shop_rel_supermarket,shop_rel_kiosk,shop_rel_hairdresser,amenity_rel_school,shop_rel_tobacco,shop_rel_butcher,shop_rel_convenience,amenity_rel_cafe,shop_rel_car,shop_rel_wholesale,shop_rel_stationery,shop_rel_yes,shop_rel_car_repair,shop_rel_greengrocer,amenity_rel_bar,amenity_rel_charging_station,amenity_rel_community_centre,amenity_rel_theatre,shop_rel_seafood,shop_rel_fishing,shop_rel_copyshop,amenity_rel_bank,amenity_rel_university,shop_rel_optician,shop_rel_dry_cleaning,shop_rel_jewelry,shop_rel_newsagent,shop_rel_florist,shop_rel_shoes,shop_rel_pyrotechnics,shop_rel_erotic,shop_rel_travel_agency,shop_rel_fireplace,shop_rel_hardware,shop_rel_variety_store,shop_rel_furniture,shop_rel_interior_decoration,amenity_rel_fast_food,amenity_rel_dentist,amenity_rel_veterinary,amenity_rel_exhibition_centre,amenity_rel_library,amenity_rel_clinic,amenity_rel_taxi,shop_rel_medical_supply,shop_rel_vacant,shop_rel_motorcycle,amenity_rel_pub,amenity_rel_doctors,amenity_rel_research_institute,shop_rel_computer,shop_rel_sports,shop_rel_books,amenity_rel_language_school,shop_rel_clothes,shop_rel_mall,amenity_rel_atm,shop_rel_lottery,shop_rel_beauty,shop_rel_funeral_directors,amenity_rel_hospital,amenity_rel_arts_centre,shop_rel_gift,amenity_rel_cinema,shop_rel_frozen_food,shop_rel_video_games,amenity_rel_biergarten,shop_rel_car_repair;car,shop_rel_games,shop_rel_laundry,amenity_rel_college,shop_rel_deli,shop_rel_pastry,shop_rel_perfumery,shop_rel_bicycle,shop_rel_ticket,shop_rel_confectionery,amenity_rel_car_rental,shop_rel_electronics,shop_rel_paint,shop_rel_fabric,shop_rel_tailor,shop_rel_kitchen,shop_rel_neon_signs,shop_rel_mobile_phone,shop_rel_bed,shop_rel_sewing,shop_rel_department_store,shop_rel_toys,shop_rel_tattoo,shop_rel_music,shop_rel_appliance,shop_rel_herbalist,shop_rel_locksmith,amenity_rel_post_office,shop_rel_second_hand,shop_rel_photo,shop_rel_coffee,shop_rel_cosmetics,shop_rel_mobile_phone_accessories,shop_rel_houseware,shop_rel_frame,shop_rel_massage,shop_rel_dairy,amenity_rel_payment_centre,shop_rel_bathroom_furnishing,shop_rel_pet,shop_rel_nutrition_supplements,shop_rel_musical_instrument,shop_rel_pasta,shop_rel_health_food,shop_rel_hearing_aids,shop_rel_grocery,shop_rel_pet_grooming,shop_rel_lighting,shop_rel_electrical,shop_rel_watches,shop_rel_alcohol,shop_rel_storage_rental,shop_rel_general,shop_rel_rental,shop_rel_Roller_Skate_and_Longboard,amenity_rel_bicycle_rental,shop_rel_wine,shop_rel_trade,shop_rel_window_blind,shop_rel_estate_agent,shop_rel_bag,shop_rel_bookmaker,shop_rel_tarot,amenity_rel_bureau_de_change,shop_rel_doityourself,shop_rel_video,shop_rel_hunting,shop_rel_baby_goods,shop_rel_doors,shop_rel_chemist,shop_rel_repair,shop_rel_motorcycle_repair,shop_rel_pawnbroker,shop_rel_car_detail,shop_rel_telecommunication,shop_rel_tea,shop_rel_outdoor,shop_rel_shoe_repair,shop_rel_art,shop_rel_cheese,shop_rel_fashion_accessories,shop_rel_cannabis,shop_rel_wool,shop_rel_pottery,shop_rel_chocolate,shop_rel_fan,amenity_rel_money_transfer,shop_rel_honey,shop_rel_radiotechnics,shop_rel_party,shop_rel_wigs,shop_rel_craft,shop_rel_collector
Valencia_hdbscan_5_5,0,5,-0.2974861300984581,39.310311775393934,-0.296596,39.3078804,0.00010110014930653432,49455.91113659057,0.004742418788380626,0.011355771108508335,0.002450743231618606,0.005273365176353404,No,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia_hdbscan_5_5,1,36,-0.31786936518279624,39.31139510825389,-0.3178734868726547,39.31065735,0.00014822277710338066,242877.6514886855,0.002224794110478689,0.014755726466718005,0.0011505466972254507,0.0035473165753351957,Yes,0.722,0.028,0.056,0.028,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia_hdbscan_5_5,2,24,-0.331067677457242,39.38324966577463,-0.3324549,39.3828218,0.0003158826100399941,75977.59179260088,0.003882465531835886,0.015332516941923233,0.003416153556987422,0.004063373564818946,Yes,0.375,0.042,0.042,0.042,,0.042,0.042,0.042,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia_hdbscan_5_5,3,10,-0.384453028289823,39.52758255245724,-0.38493915,39.52973379234623,0.00014074825661571948,71048.83740977825,0.004170974348940146,0.010634001218590153,0.0029535786780978675,0.004360818425374679,Yes,,0.1,0.1,,,,,,0.1,0.1,0.1,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia_hdbscan_5_5,4,29,-0.3637523483415183,39.42996332337443,-0.3634159,39.4298361,0.00032482692447845035,89278.31350976546,0.005286986379907873,0.014705223939917246,0.005545518160045104,0.0034409414934488793,Yes,0.069,0.069,0.103,,,0.034,,,0.069,,,,,0.138,0.069,0.034,0.034,0.034,0.034,0.069,0.034,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia_hdbscan_5_5,5,16,-0.3404005534695467,39.421742730383976,-0.3404778,39.42155215,8.067325471089688e-06,1983309.0975860693,0.0007763601844806273,0.0022226234178698854,0.0005528875661540969,0.0007901864594791472,Yes,0.312,0.062,,0.062,,,,0.062,,0.062,,,,,,,,,0.062,,,,,0.062,0.062,0.062,0.062,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia_hdbscan_5_5,6,5,-0.33514206045283496,39.42114489396587,-0.3345924,39.4216562,7.308435830313456e-06,684140.9182606932,0.0012870880313775308,0.001992951524920388,0.0009965241659648442,0.000964338225583131,Yes,0.6,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia_hdbscan_5_5,7,90,-0.4203352294853013,39.50100100226544,-0.41945335,39.501404985920445,0.0001532852413608732,587140.6744770468,0.003250244805183836,0.008558974250438462,0.003163071115386996,0.001853058366487533,Yes,0.1,0.044,0.033,,,0.044,,0.033,0.044,,0.044,,0.044,0.011,,,,0.011,0.033,0.056,,0.011,0.022,,,0.022,0.011,,0.022,0.022,0.022,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia_hdbscan_5_5,8,24,-0.33402526245326536,39.44704244678881,-0.33367715,39.4472578667244,7.937195431762816e-05,302373.8070497491,0.003419592639135939,0.005994526843740446,0.0022438293624109235,0.0029659764668615394,Yes,0.042,0.042,0.083,,,0.083,,,0.125,,,,,,,,,,,,,0.042,,,,,,,,,,,,,,,,,,,,,,,,,0.042,,,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia_hdbscan_5_5,9,25,-0.39167498824040886,39.43455865554869,-0.3916441,39.4350922,1.316018636341501e-05,1899669.146745473,0.0011964464887443326,0.0030489501233080716,0.0008405978426947568,0.0010821608651655167,Yes,,0.08,0.08,0.04,,0.04,0.04,0.04,0.04,,0.04,,0.04,,,,,,0.04,0.04,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.04,,0.04,0.04,0.12,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
