param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,amenity_rel_school,amenity_rel_restaurant,shop_rel_convenience,shop_rel_hairdresser,shop_rel_bakery,amenity_rel_community_centre,amenity_rel_bank,amenity_rel_library,amenity_rel_bar,amenity_rel_pharmacy,amenity_rel_atm,amenity_rel_pub,amenity_rel_cafe,amenity_rel_clinic,shop_rel_butcher,shop_rel_funeral_directors,amenity_rel_post_office,amenity_rel_taxi,amenity_rel_veterinary,amenity_rel_arts_centre,amenity_rel_post_box,shop_rel_confectionery,amenity_rel_car_rental,shop_rel_car_repair,shop_rel_outdoor,shop_rel_wholesale,amenity_rel_vehicle_inspection,shop_rel_seafood,shop_rel_supermarket,amenity_rel_doctors,shop_rel_department_store,shop_rel_car,shop_rel_shoes,shop_rel_firearm_shop,shop_rel_mall,shop_rel_tyres,amenity_rel_fast_food,amenity_rel_cinema,amenity_rel_charging_station,amenity_rel_hospital,shop_rel_hardware,shop_rel_furniture,shop_rel_clothes,shop_rel_motorcycle,shop_rel_doityourself,shop_rel_sports,shop_rel_car_parts,shop_rel_variety_store,shop_rel_lighting,shop_rel_copyshop,shop_rel_beverages,shop_rel_yes,shop_rel_toys,shop_rel_signs,shop_rel_watches,shop_rel_garden_centre,shop_rel_florist,shop_rel_pet,shop_rel_laundry,shop_rel_interior_decoration,shop_rel_stationery,amenity_rel_dentist,shop_rel_electronics,shop_rel_optician,shop_rel_kitchen,shop_rel_gift,shop_rel_computer,shop_rel_beauty,shop_rel_greengrocer,shop_rel_mobile_phone,shop_rel_jewelry,shop_rel_cosmetics,shop_rel_hairdresser_supply,shop_rel_fashion_accessories,shop_rel_video_games,shop_rel_dry_cleaning,shop_rel_lottery,shop_rel_mobile_phone_accessories,shop_rel_tobacco,amenity_rel_language_school,shop_rel_window_blind,shop_rel_ticket,amenity_rel_biergarten,shop_rel_games,shop_rel_bicycle,shop_rel_deli,amenity_rel_theatre,shop_rel_travel_agency,shop_rel_herbalist,shop_rel_vacant,amenity_rel_college,amenity_rel_university,shop_rel_car_repair;car,shop_rel_chemist,amenity_rel_police,amenity_rel_studio,amenity_rel_car_sharing,shop_rel_trade,shop_rel_paint,shop_rel_fabric,shop_rel_books,shop_rel_massage,shop_rel_storage_rental,shop_rel_general,shop_rel_photo,shop_rel_tattoo,shop_rel_gas,shop_rel_builder,shop_rel_shoe_repair,shop_rel_cannabis,shop_rel_coffee,shop_rel_repair,shop_rel_musical_instrument,shop_rel_sewing,shop_rel_antiques,amenity_rel_parcel_locker,shop_rel_doors,shop_rel_perfumery,amenity_rel_gym,shop_rel_medical_supply,shop_rel_pastry,shop_rel_tailor,amenity_rel_events_venue,shop_rel_curtain,shop_rel_bag,shop_rel_hearing_aids,shop_rel_beer,shop_rel_frame,shop_rel_art,shop_rel_wine,shop_rel_brewing_supplies,shop_rel_tea,shop_rel_pawnbroker,shop_rel_second_hand,shop_rel_weapons,shop_rel_craft,shop_rel_bed,shop_rel_appliance,shop_rel_nutrition_supplements,shop_rel_pottery,amenity_rel_payment_centre,shop_rel_newsagent,amenity_rel_place_of_worship,shop_rel_kiosk,shop_rel_pet_grooming,shop_rel_locksmith,amenity_rel_marketplace,shop_rel_estate_agent,shop_rel_boutique,shop_rel_party,shop_rel_electrical,amenity_rel_bureau_de_change,shop_rel_houseware,shop_rel_carpet,amenity_rel_money_transfer,shop_rel_nuts,shop_rel_electronic_parts,shop_rel_video,shop_rel_health_food,shop_rel_hifi,shop_rel_erotic,shop_rel_music,shop_rel_collector,shop_rel_beauty;travel_agency,shop_rel_clock,shop_rel_rental,shop_rel_charity,shop_rel_baby_goods,shop_rel_grocery,shop_rel_bathroom_furnishing,shop_rel_chocolate,shop_rel_dairy,amenity_rel_payment_terminal
Zaragoza_hdbscan_5_5,0,6,-0.9512718902001179,41.58435450812431,-0.951831119548675,41.58386195634746,6.595622492156124e-05,90969.42717894375,0.007041178940372127,0.010538232326999398,0.0014870267997138282,0.007107411149791931,No,0.5,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaragoza_hdbscan_5_5,1,23,-0.7950562774437644,41.761972810777195,-0.7966711221468447,41.7613112,0.00010740893567721263,214134.88416941432,0.0033456789961596595,0.011570019305476364,0.0041103514189628695,0.0017836947169942367,Yes,0.043,0.087,0.087,0.087,0.043,0.13,0.087,0.043,0.043,0.043,0.043,0.043,0.043,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaragoza_hdbscan_5_5,2,32,-1.027775966289766,41.719483736283905,-1.0269771595108477,41.7197383,0.00018662239600905744,171469.2377995561,0.003468596462366129,0.010445482385072934,0.003073715527463194,0.0031435064191250653,Yes,0.156,0.062,,0.031,,0.031,,0.031,0.031,0.125,,,,0.031,0.062,0.031,0.031,0.031,0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaragoza_hdbscan_5_5,3,11,-0.8232632950986357,41.604523376256175,-0.8230747,41.6042337,1.8152156783994243e-05,605988.5957848991,0.00152761791725533,0.003262298623123631,0.0011045394976455687,0.001285655010724467,No,0.091,0.273,,,,,,0.091,,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaragoza_hdbscan_5_5,4,15,-0.8210974705308726,41.599114138204854,-0.8204037,41.5993785,1.3630527800027902e-05,1100470.9590166637,0.0017824752040671397,0.0029912707995580095,0.0017537830718720325,0.0008138002649445105,No,,,,,,,,,,,,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaragoza_hdbscan_5_5,5,10,-1.0261546115874727,41.681912004541616,-1.02603665,41.6831016,5.345577383437068e-05,187070.53107086924,0.002901794549695472,0.011258036592462644,0.0013491266293442369,0.0038165847309708325,No,0.1,0.1,,,,,,0.1,,0.2,,,,0.1,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaragoza_hdbscan_5_5,6,11,-0.8082230468843268,41.7243488411145,-0.8094230940246437,41.72400164176193,0.00020264024429143227,54283.39290876529,0.00521661918837244,0.012939190567916918,0.005435040711089328,0.003781689986537161,No,,0.091,,,,,,0.273,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaragoza_hdbscan_5_5,7,10,-1.007957228777297,41.664923275358255,-1.00778085,41.66360695,2.492922990315301e-05,401135.5360293426,0.0024710776097881665,0.00984563075546605,0.000606057295600616,0.0034512231704458226,Yes,,0.3,,,,,,,,,,,0.1,,,,,0.1,,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaragoza_hdbscan_5_5,8,12,-0.7864007365811249,41.65572967280547,-0.78757275,41.6548024,0.0002126124312499374,56440.72611113389,0.005506492096566049,0.013589149730984138,0.005442717439212664,0.0032164814780384905,Yes,,0.333,,,,,0.083,,,,,,,,,,,,,,,,,0.25,0.083,0.083,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaragoza_hdbscan_5_5,9,15,-0.9703779457471604,41.70190186133154,-0.9702513,41.70194928765039,1.2761093030040711e-05,1175447.8996970486,0.0011680108623897262,0.002800239480272963,0.0011964008687422646,0.0006672107532327062,Yes,0.067,0.067,,,0.067,,0.067,0.067,,0.067,,,0.133,,0.067,,0.067,,,,,,,,,,,0.067,0.067,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
