geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (2.178141 41.3758023),Pg. de Colom-Pl. Portal de la Pau,,stop_position,,,,,,,,,,,,,,2.178141,41.3758023
POINT (2.1358691 41.3816448),Plaça del Centre (mar),,,subway_entrance,,,,,,,,,no,,,,2.1358691,41.3816448
POINT (2.1525394 41.3903935),Casanova - Hospital Clínic,,stop_position,,,,,,,,,,,,,,2.1525394,41.3903935
POINT (2.154467 41.3860643),València - Comte d'Urgell,,stop_position,,,,,,,,,,,,,,2.154467,41.3860643
POINT (2.1386111 41.3829839),Berlín - Numància,,stop_position,,bus_stop,,,,TMB,,,,,,,,2.1386111,41.3829839
POINT (2.2042919 41.3925049),Platja Bogatell,,stop_position,,,,,,,,,,,,,,2.2042919,41.3925049
POINT (2.2119386 41.4009428),Platja Nova Mar Bella,,stop_position,,,,,,,,,,,,,,2.2119386,41.4009428
POINT (2.1171394 41.4034319),Major de Sarrià - General Vives,,stop_position,,bus_stop,,,,,,,,,,,,2.1171394,41.4034319
POINT (2.2072549 41.4347527),Llinars - Santander,,stop_position,,bus_stop,,,,AMT (Autoritat Metropolitana del Transport),,,,,,,,2.2072549,41.4347527
POINT (2.1834911 41.3771829),Port Vell,,stop_position,,bus_stop,,,,,,,,,,,,2.1834911,41.3771829
POINT (2.1817471 41.4152091),Indústria - Freser,,stop_position,,bus_stop,,,,,,,,,,,,2.1817471,41.4152091
POINT (2.1438519 41.3752392),Creu Coberta,,stop_position,,bus_stop,,,,,,,,,,,,2.1438519,41.3752392
POINT (2.174338 41.4440607),Almansa - Via Favència,,platform,,bus_stop,,,,Transports Metropolitans de Barcelona,,,,,,,,2.174338,41.4440607
POINT (2.1757237 41.4038717),Mallorca / Marina,,,subway_entrance,,,,,,,,,yes,,,,2.1757237,41.4038717
POINT (2.1700763 41.3861607),Catalunya,,stop_position,stop,,,,,Transports Metropolitans de Barcelona,,,,yes,,,,2.1700763,41.3861607
POINT (2.1759512 41.3769226),Drassanes,,stop_position,stop,,,,,Transports Metropolitans de Barcelona,,,,yes,,,,2.1759512,41.3769226
POINT (2.14227 41.4247988),Vall d’Hebron | Sant Genís,,stop_position,stop,,,,,Transports Metropolitans de Barcelona,,,,,,,,2.14227,41.4247988
POINT (2.1410744 41.4174456),Penitents,,stop_position,stop,,,,,Transports Metropolitans de Barcelona,,,,,,,,2.1410744,41.4174456
POINT (2.152931 41.4020197),Fontana,,stop_position,stop,,,,,Transports Metropolitans de Barcelona,,,,,,,,2.152931,41.4020197
POINT (2.1101111 41.3839574),Diagonal - Manuel Ballbé,,stop_position,,bus_stop,,,,,,,,,,,,2.1101111,41.3839574
POINT (2.149841 41.3710449),CaixaForum Barcelona - Pavelló Mies Van Der Rohen,,stop_position,,,,,,,,,,,,,,2.149841,41.3710449
POINT (2.146799 41.3694755),Poble Espanyol,,stop_position,,bus_stop,,,,,,,,,,,,2.146799,41.3694755
POINT (2.1474493 41.3655766),Av Estadi - INEFC,,stop_position,,,,,,,,,,,,,,2.1474493,41.3655766
POINT (2.1530565 41.3661803),Anella Olimpica,,stop_position,,bus_stop,,,,,,,,,,,,2.1530565,41.3661803
POINT (2.1619252 41.3688371),Av Miramar - Escoles del Bosc,,stop_position,,,,,,,,,,,,,,2.1619252,41.3688371
POINT (2.1579799 41.368438),Pg de Santa Madrona - Font del Gat,,stop_position,,bus_stop,,,,,,,,,,,,2.1579799,41.368438
POINT (2.150182 41.3598713),Foc - Sot del Migdia,,stop_position,,bus_stop,,,,,,,,,,,,2.150182,41.3598713
POINT (2.1466797 41.362874),Jocs del 92 - Pierre de Coubertin,,stop_position,,bus_stop,,,,,,,,,,,,2.1466797,41.362874
POINT (2.1448993 41.3654123),Polvorí - Camí de la Fuxarda,,stop_position,,,,,,,,,,,,,,2.1448993,41.3654123
POINT (2.1520257 41.3684826),MNAC,,stop_position,,bus_stop,,,,,,,,,,,,2.1520257,41.3684826
POINT (2.1833114 41.3808808),Barceloneta - Museu d'Història de Catalunya,,stop_position,,,,,,,,,,,,,,2.1833114,41.3808808
POINT (2.1361761 41.3820945),Plaça del Centre,,stop_position,stop,,,,,Transports Metropolitans de Barcelona,,,,,,,,2.1361761,41.3820945
POINT (2.1308967 41.3841397),les Corts,,stop_position,stop,,,,,Transports Metropolitans de Barcelona,,,,,,,,2.1308967,41.3841397
POINT (2.1178476 41.3858255),Palau Reial,,stop_position,stop,,,,,Transports Metropolitans de Barcelona,,,,,,,,2.1178476,41.3858255
POINT (2.1355647 41.3820892),Plaça del Centre (muntanya),,,subway_entrance,,,,,,,,,,,,,2.1355647,41.3820892
POINT (2.1416843 41.380926),Pl. Països Catalans / Numància / Ambulatori,,,subway_entrance,,,,,,,,,yes,,,,2.1416843,41.380926
POINT (2.1401589 41.3824087),Numància,,,subway_entrance,,,,,,,,,no,,,,2.1401589,41.3824087
POINT (2.1178079 41.3860863),Palau de Pedralbes,,,subway_entrance,,,,,,,,,,,,,2.1178079,41.3860863
POINT (2.111509 41.3844966),Parc de Cervantes,,,subway_entrance,,,,,,,,,,,,,2.111509,41.3844966
POINT (2.1741843 41.3804543),McDonald's,fast_food,,,,,wlan,McDonald's,McDonald's,burger,,,yes,,,,2.1741843,41.3804543
POINT (2.1723429 41.3766973),Garage Parking,parking,,,,,,,,,,,,Avinguda de les Drassanes,29,,2.1723429,41.3766973
POINT (2.1670539 41.3759505),Hotel Millenni,,,,,4,,,,,,,yes,,,,2.1670539,41.3759505
POINT (2.1682509 41.3751971),Hotel Barcelona Universal,,,,,4,,,,,167,,,,,,2.1682509,41.3751971
POINT (2.1704306 41.375051),Metro Paral·lel,,platform,,platform,,,,Transports Metropolitans de Barcelona,,,,,,,,2.1704306,41.375051
POINT (2.1706439 41.3748467),Paral·lel - Cabanes,,stop_position,,bus_stop,,,,Transports Metropolitans de Barcelona,,,,,,,,2.1706439,41.3748467
POINT (2.1681601 41.3750966),Ronda Sant Pau,,,subway_entrance,,,,,,,,,yes,,,,2.1681601,41.3750966
POINT (2.1679054 41.3748438),Fontrodona,,,subway_entrance,,,,,,,,,yes,,,,2.1679054,41.3748438
POINT (2.1661966 41.3747759),Hotel Paral·lel,,,,,2,,,NN Hotels,,,,,Carrer del Poeta Cabanyes,5-7,08004,2.1661966,41.3747759
POINT (2.1708651 41.3865666),Pl. Catalunya - Portal de l'Àngel,,stop_position,,,,,,,,,,,,,,2.1708651,41.3865666
POINT (2.1972519 41.3881251),Port Olimpic,,stop_position,,,,,,,,,,,,,,2.1972519,41.3881251
