geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-2.9373081 43.2702236),Unibertsitate 24,,stop_position,,,,,,,,,,,,,,-2.9373081,43.2702236
POINT (-2.9414957 43.2709904),San Pío X / Francisco Macía,,stop_position,,,,,,,,,,,,,,-2.9414957,43.2709904
POINT (-2.931379 43.2697163),La Salve / Igogailua,,stop_position,,,,,,,,,,,,,,-2.931379,43.2697163
POINT (-2.9304234 43.2692354),Campo Volantín / La Salve,,stop_position,,,,,,,,,,,,,,-2.9304234,43.2692354
POINT (-2.9229511 43.2623366),Areatza,parking,,,,,,,,,,,yes,,,,-2.9229511,43.2623366
POINT (-2.9159381 43.2453479),Abusu,,stop_position,tram_stop,,,,,Euskotren,,,,yes,,,,-2.9159381,43.2453479
POINT (-2.9464364 43.2520682),Gordóniz 54 / Plaza Errekalde,,stop_position,,,,,,,,,,,,,,-2.9464364,43.2520682
POINT (-2.9613523 43.2650306),Montevideo / Olabeaga,,stop_position,,,,,,,,,,,,,,-2.9613523,43.2650306
POINT (-2.934653 43.2633127),Moyua Plaza (Deutsche Bank),,stop_position,,,,,,,,,,,,,,-2.934653,43.2633127
POINT (-2.9356339 43.2629217),Moyúa 4,,stop_position,,,,,,,,,,,,,,-2.9356339,43.2629217
POINT (-2.9324412 43.2601118),Miguel de Unamuno,parking,,,,,,Indigo,Indigo,,,,,,,,-2.9324412,43.2601118
POINT (-2.9325113 43.259776),Urquijo 14 / Instituto,,stop_position,,,,,,,,,,,,,,-2.9325113,43.259776
POINT (-2.9328501 43.2641698),Heros,parking,,,,,,,,,,,,,,,-2.9328501,43.2641698
POINT (-2.9349386 43.2682852),Guggenheim,parking,,,,,,,,,,,,,,,-2.9349386,43.2682852
POINT (-2.9114011 43.2542469),Karmelo,parking,,,,,,,,,,,,,,,-2.9114011,43.2542469
POINT (-2.9735386 43.2645368),Zorrotza-Kastrexana / Etxebarria,,stop_position,,,,,,,,,,,,,,-2.9735386,43.2645368
POINT (-2.9225935 43.2698034),Maurice Ravel / Mirador,,stop_position,,,,,,,,,,,,,,-2.9225935,43.2698034
POINT (-2.9167833 43.2655348),Artzain Onaren 4,,stop_position,,,,,,,,,,,,,,-2.9167833,43.2655348
POINT (-2.92287 43.2662788),Anselma de Salces 2,,stop_position,,,,,,,,,,,,,,-2.92287,43.2662788
POINT (-2.9245638 43.268093),Matiko 1,,stop_position,,,,,,,,,,,,,,-2.9245638,43.268093
POINT (-2.9222659 43.255145),Santos Juanes 7,,stop_position,,,,,,,,,,,,,,-2.9222659,43.255145
POINT (-2.9046886 43.260342),Jesús Galíndez 26,,stop_position,,,,,,,,,,,,,,-2.9046886,43.260342
POINT (-2.94067 43.2698413),Botika Zaharra / Deustuko Zubia,,stop_position,,,,,,,,,,,,,,-2.94067,43.2698413
POINT (-2.93431 43.2631551),Ercilla,,,subway_entrance,,,,,,,,,no,,,,-2.93431,43.2631551
POINT (-2.9280532 43.2620126),Berastegi,,,subway_entrance,,,,,,,,,no,,,,-2.9280532,43.2620126
POINT (-2.9072197 43.2574423),Gabriel Aresti / (Anbulatorioa),,platform,,bus_stop,,,,,,,,,,,,-2.9072197,43.2574423
POINT (-2.9054622 43.2602466),Gabriel Aresti,,platform,,bus_stop,,,,,,,,,,,,-2.9054622,43.2602466
POINT (-2.9098674 43.2572136),Txomin Garat 4,,platform,,bus_stop,,,,,,,,,,,,-2.9098674,43.2572136
