geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-4.7203673 37.9124836),Rabanales,,stop_position,stop,,,,,,,,,,,,,-4.7203673,37.9124836
POINT (-4.7208905 37.9142171),Biblioteca Maimónides,library,,,,,wlan,,,,,,,,,,-4.7208905,37.9142171
POINT (-4.7813288 37.8864553),Edaco,parking,,,,,,,,,,,,,,,-4.7813288,37.8864553
POINT (-4.7829841 37.8874624),El Corte Inglés,parking,,,,,,,,,,,,,,,-4.7829841,37.8874624
POINT (-4.7802628 37.882153),Carpe Diem,,,,,3,,,,,,,,Calle de Barroso,4,14003,-4.7802628,37.882153
POINT (-4.8529387 37.8808681),,,platform,,bus_stop,,,,,,,,,,,,-4.8529387,37.8808681
POINT (-4.8692584 37.8873731),,,platform,,bus_stop,,,,,,,,,,,,-4.8692584,37.8873731
POINT (-4.7624685 37.9802336),,,stop_position,,bus_stop,,,,,,,,,,,,-4.7624685,37.9802336
POINT (-4.7841108 37.8828422),NH Califa,,,,,3,,NH,NH,,,,,,,,-4.7841108,37.8828422
POINT (-4.782806 37.8791968),NH Amistad,,,,,4,,,NH,,,,,,,,-4.782806,37.8791968
POINT (-4.789061 37.8888129),,,stop_position,stop,,,,,,,,,,,,,-4.789061,37.8888129
POINT (-4.7534886 37.8975133),Fátima,,platform,,platform,,,,,,,,,,,,-4.7534886,37.8975133
POINT (-4.7739324 37.8988295),Virgen Angustias 3ª DC,,platform,,bus_stop,,,,,,,,,,,,-4.7739324,37.8988295
POINT (-4.777034 37.8996614),Virgen Angustias 2ª DC,,platform,,bus_stop,,,,,,,,,,,,-4.777034,37.8996614
POINT (-4.8086769 37.8944922),Aparcamientos Hipercor,parking,,,,,,,,,,,,,,,-4.8086769,37.8944922
POINT (-4.7819054 37.8800938),El Churrasco,restaurant,,,,,wlan,,,,,,no,,,,-4.7819054,37.8800938
POINT (-4.7220061 37.9134638),Cafetería Averroes,cafe,,,,,no,,,spanish,,,,,,,-4.7220061,37.9134638
POINT (-4.7206348 37.9126014),Rabanales,,station,halt,,,,,Adif,,,,,,,,-4.7206348,37.9126014
POINT (-4.7176788 37.9137848),Campus de Rabanales,,platform,,bus_stop,,,,,,,,,,,,-4.7176788,37.9137848
POINT (-4.7841 37.894732),Goya 2ª,,platform,,bus_stop,,,,,,,,,,,,-4.7841,37.894732
POINT (-4.7839688 37.8949339),Avenida brillante Goya,,platform,,bus_stop,,,,,,,,,,,,-4.7839688,37.8949339
POINT (-4.7625108 37.8937423),Sagunto (Los Apóstoles),,platform,,bus_stop,,,,,,,,,,,,-4.7625108,37.8937423
POINT (-4.7889887 37.8887093),Córdoba,,stop_position,stop,,,,,,,,,yes,,,,-4.7889887,37.8887093
POINT (-4.9277904 37.8304697),,parking,,,,,,,,,,,,,,,-4.9277904,37.8304697
POINT (-4.7597876 37.8983106),Virgen de Fátima 1ª,,platform,,platform,,,,,,,,,,,,-4.7597876,37.8983106
POINT (-4.7569062 37.8984418),Arcos de la Frontera 2ª,,platform,,platform,,,,,,,,,,,,-4.7569062,37.8984418
POINT (-4.7736857 37.8968723),Fuente de la Salud,,platform,,platform,,,,,,,,no,,,,-4.7736857,37.8968723
POINT (-4.7886472 37.8851703),,parking,,,,,,,,,,,yes,,,,-4.7886472,37.8851703
POINT (-4.7807068 37.8990244),,parking_space,,,,,,,,,,,yes,,,,-4.7807068,37.8990244
POINT (-4.8068206 37.8919493),Avenida Mediterráneo,,platform,,bus_stop,,,,,,,,,,,,-4.8068206,37.8919493
POINT (-4.8027142 37.8925766),Figueroa (Instituto),,platform,,bus_stop,,,,,,,,,,,,-4.8027142,37.8925766
POINT (-4.8058118 37.8951793),Glorieta Albaida,,platform,,bus_stop,,,,,,,,,,,,-4.8058118,37.8951793
POINT (-4.8020128 37.8903099),Figueroa (Club),,platform,,bus_stop,,,,,,,,,,,,-4.8020128,37.8903099
POINT (-4.8065577 37.8901204),Figueroa (Cine),,platform,,bus_stop,,,,,,,,,,,,-4.8065577,37.8901204
POINT (-4.7989125 37.8916531),Isla Mallorca DC,,platform,,bus_stop,,,,,,,,,,,,-4.7989125,37.8916531
POINT (-4.8019226 37.8911578),Isla Mallorca,,platform,,bus_stop,,,,,,,,,,,,-4.8019226,37.8911578
POINT (-4.8063157 37.8922562),Ramón Toledano,,platform,,bus_stop,,,,,,,,,,,,-4.8063157,37.8922562
POINT (-4.8078038 37.8952119),Albaida,,platform,,bus_stop,,,,,,,,,,,,-4.8078038,37.8952119
POINT (-4.7996243 37.8929219),Isla Formentera,,platform,,bus_stop,,,,,,,,no,,,,-4.7996243,37.8929219
POINT (-4.8024246 37.894242),Carretera Trassierra (Anna Pavlova),,platform,,bus_stop,,,,,,,,,,,,-4.8024246,37.894242
POINT (-4.8024807 37.8940553),Carretera Trassierra (Anna Pavlova) DC,,platform,,bus_stop,,,,,,,,,,,,-4.8024807,37.8940553
POINT (-4.8057742 37.8868432),Isla Graciosa,,platform,,bus_stop,,,,,,,,,,,,-4.8057742,37.8868432
POINT (-4.7995309 37.8861353),Cantábrico DC,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7995309,37.8861353
POINT (-4.8030279 37.8868986),Isla Fuerteventura,,platform,,bus_stop,,,,,,,,,,,,-4.8030279,37.8868986
POINT (-4.801885 37.8869015),Isla Fuerteventura DC,,platform,,bus_stop,,,,,,,,,,,,-4.801885,37.8869015
POINT (-4.7993721 37.8861535),Cantábrico,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7993721,37.8861535
POINT (-4.8256264 37.861507),Aucorsa,,platform,,bus_stop,,,,,,,,,,,,-4.8256264,37.861507
POINT (-4.7654925 37.892496),Sagunto (Centro Salud) D.C.,,platform,,platform,,,,,,,,,,,,-4.7654925,37.892496
POINT (-4.7670397 37.8941689),Caravaca de la Cruz,,platform,,bus_stop,,,,,,,,,,,,-4.7670397,37.8941689
POINT (-4.7650419 37.8925994),Sagunto (Centro de Salud),,platform,,bus_stop,,,,,,,,,,,,-4.7650419,37.8925994
POINT (-4.768608 37.894283),Agrupación Córdoba,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.768608,37.894283
POINT (-4.809271 37.914883),Arrayanes,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.809271,37.914883
