geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-4.4130976 36.720433),Paseo del Parque - Plaza del General Torrijos,,stop_position,,,,,,EMTSAM,,,,,,,,-4.4130976,36.720433
POINT (-4.4364691 36.7155367),Avenida de las Américas - Puente de las Américas,,stop_position,,,,,,EMTSAM,,,,,,,,-4.4364691,36.7155367
POINT (-4.4401019 36.7121134),Paseo de los Tilos - Cruz de Humilladero,,stop_position,,,,,,EMTSAM,,,,,,,,-4.4401019,36.7121134
POINT (-4.4251791 36.7197459),Pasillo de Santa Isabel,,stop_position,,,,,,EMTSAM,,,,,,,,-4.4251791,36.7197459
POINT (-4.4060387 36.7259743),Paseo de Calvo Sotelo - Ventajilla,,stop_position,,,,,,EMTSAM,,,,,,,,-4.4060387,36.7259743
POINT (-4.4258474 36.7535193),Arroyo del Sastre - Limonero,,stop_position,,,,,,EMTSAM,,,,,,,,-4.4258474,36.7535193
POINT (-4.4283642 36.7307344),Avenida Doctor Marañón - Conde de Ferrería,,stop_position,,,,,,EMTSAM,,,,,,,,-4.4283642,36.7307344
POINT (-4.4275608 36.7335957),Avenida de la Palmilla - Campo de Fútbol,,stop_position,,,,,,EMTSAM,,,,,,,,-4.4275608,36.7335957
POINT (-4.4228751 36.7508677),Camino de Casabermeja - Polideportivo,,stop_position,,,,,,EMTSAM,,,,,,,,-4.4228751,36.7508677
POINT (-4.4235074 36.7357388),Emilio Díaz,,stop_position,,,,,,EMTSAM,,,,,,,,-4.4235074,36.7357388
POINT (-4.4184348 36.7446073),Jerez Perchet - Los Casinis,,stop_position,,,,,,EMTSAM,,,,,,,,-4.4184348,36.7446073
POINT (-4.4226823 36.736921),San Juan Bosco - Guerrero Strachan,,stop_position,,,,,,EMTSAM,,,,,,,,-4.4226823,36.736921
POINT (-4.4222095 36.7377898),Avenida de las Postas - Lorenza Correa,,stop_position,,,,,,EMTSAM,,,,,,,,-4.4222095,36.7377898
POINT (-4.4149536 36.7350779),Olletas - Camino del Colmenar,,stop_position,,,,,,EMTSAM,,,,limited,,,,-4.4149536,36.7350779
POINT (-4.4279615 36.7375244),Avenida de Valle Inclán - La Palma,,stop_position,,,,,,EMTSAM,,,,,,,,-4.4279615,36.7375244
POINT (-4.5266755 36.7115435),Cortijo Jurado,,stop_position,,,,,,EMTSAM,,,,,,,,-4.5266755,36.7115435
POINT (-4.4470488 36.7221012),Avenida Carlos Haya - Los Remedios,,stop_position,,,,,,EMTSAM,,,,,,,,-4.4470488,36.7221012
POINT (-4.5471431 36.7292162),José Calderón - Instalaciones Deportivas,,stop_position,,,,,,EMTSAM,,,,,,,,-4.5471431,36.7292162
POINT (-4.5509778 36.7311692),Parque Tecnológico,,stop_position,,,,,,EMTSAM,,,,,,,,-4.5509778,36.7311692
POINT (-4.4166702 36.7232026),Plaza de la Merced,,stop_position,,,,,,EMTSAM,,,,,,,,-4.4166702,36.7232026
POINT (-4.3417301 36.721948),Camino Viejo de Vélez,,stop_position,,,,,,EMTSAM,,,,,,,,-4.3417301,36.721948
POINT (-4.3401468 36.7215296),Camino Viejo de Vélez,,stop_position,,,,,,EMTSAM,,,,,,,,-4.3401468,36.7215296
POINT (-4.3915408 36.7261833),Miguel Indurain - Sibelius,,stop_position,,,,,,EMTSAM,,,,,,,,-4.3915408,36.7261833
POINT (-4.3972841 36.729773),Avenida de las Caballerizas,,stop_position,,,,,,EMTSAM,,,,,,,,-4.3972841,36.729773
POINT (-4.3978679 36.7320743),El Mayorazgo - Avenida de las Caballerizas,,stop_position,,,,,,EMTSAM,,,,,,,,-4.3978679,36.7320743
POINT (-4.3399625 36.7302293),Carretera de Olías - Ventas,,stop_position,,,,,,EMTSAM,,,,,,,,-4.3399625,36.7302293
