geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-1.1417642 37.9940887),Hotel Legazpi,,,,,1,,,,,,,,,,,-1.1417642,37.9940887
POINT (-1.1530116 38.07478),Garita Altorreal,,platform,,bus_stop,,,,,,,,,,,,-1.1530116,38.07478
POINT (-1.131172 37.9916457),Cajamurcia,,platform,,bus_stop,,,,,,,,,,,,-1.131172,37.9916457
POINT (-1.175719 37.9474165),Cementerio,,platform,,bus_stop,,,,,,,,,,,,-1.175719,37.9474165
POINT (-1.1724573 37.9537471),La Acequia,,platform,,bus_stop,,,,,,,,,,,,-1.1724573,37.9537471
POINT (-0.9733981 37.8957747),Riquelme - Sucina,,,station,,,,,,,,,,,,,-0.9733981,37.8957747
POINT (-1.1689244 38.0217592),Centro Social,,stop_position,tram_stop,,,,,,,,,,,,,-1.1689244,38.0217592
POINT (-1.1682776 38.0153386),,parking,,,,,,,,,,,,,,,-1.1682776,38.0153386
POINT (-1.1668307 37.9416116),Psiquiátrico,,platform,,bus_stop,,,,,,,,,,,,-1.1668307,37.9416116
POINT (-1.1623353 37.9424088),Iglesia,,platform,,bus_stop,,,,,,,,,,,,-1.1623353,37.9424088
POINT (-1.2116212 37.9274428),Muebles Fuentes,,platform,,bus_stop,,,,,,,,,,,,-1.2116212,37.9274428
POINT (-1.2100074 37.9293465),La Fuente,,platform,,bus_stop,,,,,,,,,,,,-1.2100074,37.9293465
POINT (-1.2089238 37.9308359),Cementerio,,platform,,bus_stop,,,,,,,,,,,,-1.2089238,37.9308359
POINT (-1.1888931 37.9356808),Desvío cárcel,,platform,,bus_stop,,,,,,,,,,,,-1.1888931,37.9356808
POINT (-1.1838224 37.9369128),Gasolinera,,platform,,bus_stop,,,,,,,,,,,,-1.1838224,37.9369128
POINT (-1.1796035 37.9384142),Bar Simón,,platform,,bus_stop,,,,,,,,,,,,-1.1796035,37.9384142
POINT (-1.1750275 37.9398873),Casas de Gallego,,platform,,bus_stop,,,,,,,,,,,,-1.1750275,37.9398873
POINT (-1.21102 37.9317352),Farmacia,,platform,,bus_stop,,,,,,,,,,,,-1.21102,37.9317352
POINT (-1.2072154 37.9331389),La Plaza,,platform,,bus_stop,,,,,,,,,,,,-1.2072154,37.9331389
POINT (-1.205791 37.9338993),Mercadona,,platform,,bus_stop,,,,,,,,,,,,-1.205791,37.9338993
POINT (-1.202611 37.9347361),Discoteca,,platform,,bus_stop,,,,,,,,,,,,-1.202611,37.9347361
POINT (-1.193842 37.9358071),Casillas,,platform,,bus_stop,,,,,,,,,,,,-1.193842,37.9358071
POINT (-1.2122492 37.9257264),La Curva,,platform,,bus_stop,,,,,,,,,,,,-1.2122492,37.9257264
POINT (-1.2141423 37.9281524),El Moro,,platform,,bus_stop,,,,,,,,,,,,-1.2141423,37.9281524
POINT (-1.2149992 37.9309616),Herrería,,platform,,bus_stop,,,,,,,,,,,,-1.2149992,37.9309616
POINT (-1.2071155 37.9169775),El Palmeral,,platform,,bus_stop,,,,,,,,,,,,-1.2071155,37.9169775
POINT (-1.2080908 37.9186146),Quiosco,,platform,,bus_stop,,,,,,,,,,,,-1.2080908,37.9186146
POINT (-1.2089787 37.9201435),El Bartolo,,platform,,bus_stop,,,,,,,,,,,,-1.2089787,37.9201435
POINT (-1.2100289 37.9218822),Depósito,,platform,,bus_stop,,,,,,,,,,,,-1.2100289,37.9218822
POINT (-1.1307339 37.9830865),Glorieta de España,,platform,,bus_stop,,,,,,,,,,,,-1.1307339,37.9830865
POINT (-1.1351227 37.983374),Plano de San Francisco,,platform,,bus_stop,,,,,,,,,,,,-1.1351227,37.983374
POINT (-1.1348093 37.983193),Malecón,,platform,,bus_stop,,,,,,,,,,,,-1.1348093,37.983193
POINT (-1.1395041 37.9861653),Estación de Autobuses de Murcia,bus_station,station,,,,,,,,,,,,,,-1.1395041,37.9861653
POINT (-1.1385503 37.9697268),Alias,,platform,,bus_stop,,,,,,,,,,,,-1.1385503,37.9697268
POINT (-1.1359851 37.9723635),Iglesia,,platform,,bus_stop,,,,,,,,,,,,-1.1359851,37.9723635
POINT (-1.1350407 37.9738319),Colonia San Estéban,,platform,,bus_stop,,,,,,,,,,,,-1.1350407,37.9738319
POINT (-1.1304998 37.9804056),"Alameda de Colón, 11",,platform,,bus_stop,,,,,,,,,,,,-1.1304998,37.9804056
POINT (-1.1511813 37.9551022),La Vereda,,platform,,bus_stop,,,,,,,,,,,,-1.1511813,37.9551022
POINT (-1.1473277 37.9598399),Salabosque,,platform,,bus_stop,,,,,,,,,,,,-1.1473277,37.9598399
POINT (-1.1448859 37.9624427),Pedro Arqués,,platform,,bus_stop,,,,,,,,,,,,-1.1448859,37.9624427
POINT (-1.143191 37.9643508),Las Barracas,,platform,,bus_stop,,,,,,,,,,,,-1.143191,37.9643508
POINT (-1.1408414 37.9673748),Guillamones,,platform,,bus_stop,,,,,,,,,,,,-1.1408414,37.9673748
POINT (-1.1624878 37.9378719),Club ·3ª edad,,platform,,bus_stop,,,,,,,,,,,,-1.1624878,37.9378719
POINT (-1.1631217 37.9356201),Colegio José María Párraga,,platform,,bus_stop,,,,,,,,,,,,-1.1631217,37.9356201
POINT (-1.1627037 37.934761),Arrixaca,,platform,,bus_stop,,,,,,,,,,,,-1.1627037,37.934761
POINT (-1.1566445 37.9487882),Gasolinera,,platform,,bus_stop,,,,,,,,,,,,-1.1566445,37.9487882
POINT (-1.1534539 37.9524417),Ferresa,,platform,,bus_stop,,,,,,,,,,,,-1.1534539,37.9524417
POINT (-1.194805 37.9356083),Cruce Mercamurcia,,platform,,bus_stop,,,,,,,,,,,,-1.194805,37.9356083
POINT (-1.1928313 37.9310607),Instituto F.P.,,platform,,bus_stop,,,,,,,,,,,,-1.1928313,37.9310607
POINT (-1.1889446 37.9296475),Cárcel,,platform,,bus_stop,,,,,,,,,,,,-1.1889446,37.9296475
POINT (-1.1618296 37.9412628),Plaza Capitán García,,platform,,bus_stop,,,,,,,,,,,,-1.1618296,37.9412628
POINT (-1.1946008 37.9349274),Cruce Mercamurcia,,platform,,bus_stop,,,,,,,,,,,,-1.1946008,37.9349274
POINT (-1.1265495 37.9883915),Universidad,parking,,,,,,,,,,,,,,,-1.1265495,37.9883915
POINT (-1.1361774 37.9903725),Almudí,parking,,,,,,,,,,,,,,,-1.1361774,37.9903725
POINT (-1.136014 37.9903261),Almudí,parking,,,,,,,,,,,yes,,,,-1.136014,37.9903261
POINT (-1.1296596 37.9818064),Hdez. del Águila Nº21,,platform,,bus_stop,,,,,,,,,,,,-1.1296596,37.9818064
POINT (-1.1325936 37.9944255),Juan Carlos I,,stop_position,tram_stop,,,,,TDM,,,,,,,,-1.1325936,37.9944255
POINT (-1.1366662 37.9985436),Biblioteca Regional,,stop_position,tram_stop,,,,,,,,,,,,,-1.1366662,37.9985436
POINT (-1.1465364 38.0083127),Parque Empresarial,,stop_position,tram_stop,,,,,,,,,,,,,-1.1465364,38.0083127
POINT (-1.1557266 38.0136676),Espinardo,,stop_position,tram_stop,,,,,,,,,,,,,-1.1557266,38.0136676
POINT (-1.1620567 38.0125187),Los Rectores - Terra Natura,,stop_position,tram_stop,,,,,TDM,,,,,,,,-1.1620567,38.0125187
POINT (-1.1736731 38.0141519),Residencia Universitaria,,stop_position,tram_stop,,,,,,,,,,,,,-1.1736731,38.0141519
POINT (-1.1721811 38.0183106),Biblioteca General,,stop_position,tram_stop,,,,,,,,,,,,,-1.1721811,38.0183106
POINT (-1.1676358 38.0147121),Universidad de Murcia,,stop_position,tram_stop,,,,,,,,,,,,,-1.1676358,38.0147121
POINT (-1.12866 37.9799958),Catalonia Conde de Floridablanca,,,,,4,wlan,,Catalonia,,,,,,,,-1.12866,37.9799958
POINT (-1.1372578 37.9839643),Calle Juan de la Cierva Nº5,,platform,,bus_stop,,,,,,,,,,,,-1.1372578,37.9839643
POINT (-1.1615519 37.9264858),Club de Campo,,,,bus_stop,,,,,,,,,,,,-1.1615519,37.9264858
POINT (-1.1617913 37.9248513),Buenavista,,,,bus_stop,,,,,,,,,,,,-1.1617913,37.9248513
POINT (-1.1629927 37.9334883),Parking Hospital Virgen de la Arrixaca,parking,,,,,,,,,,,,,,,-1.1629927,37.9334883
POINT (-1.1730484 38.003085),Guadalupe,,stop_position,tram_stop,,,,,TDM,,,,,,,,-1.1730484,38.003085
POINT (-1.1704911 37.8404142),Corvera Golf,parking,,,,,,,,,,,,,,,-1.1704911,37.8404142
POINT (-1.1598382 37.8291989),,parking,,,,,,,,,,,,,,,-1.1598382,37.8291989
POINT (-1.1557856 37.8314821),,parking,,,,,,,,,,,,,,,-1.1557856,37.8314821
POINT (-1.1552722 37.8321299),,parking,,,,,,,,,,,,,,,-1.1552722,37.8321299
POINT (-1.1323595 37.9421195),El Charco,,platform,,bus_stop,,,,,,,,,,,,-1.1323595,37.9421195
POINT (-1.2113211 37.9242052),Potajes,,platform,,bus_stop,,,,,,,,,,,,-1.2113211,37.9242052
POINT (-1.1517803 38.0084722),Iglesia,,platform,,bus_stop,,,,,,,,,,,,-1.1517803,38.0084722
POINT (-1.1512681 38.0081499),Iglesia,,platform,,bus_stop,,,,,,,,,,,,-1.1512681,38.0081499
POINT (-1.22352 37.9634481),La Pradera,,platform,,bus_stop,,,,,,,,,,,,-1.22352,37.9634481
POINT (-1.1521473 38.0127762),El Puntal,,stop_position,tram_stop,,,,,,,,,,,,,-1.1521473,38.0127762
POINT (-1.1765771 37.9189766),San José de la Montaña,,platform,,bus_stop,,,,,,,,,,,,-1.1765771,37.9189766
