geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-5.9752061 37.3920924),Sevilla - Santa Justa,,station,station,,,,,Adif,,,,yes,,,,-5.9752061,37.3920924
POINT (-5.9924242 37.3821089),Puerta Jerez,,stop_position,tram_stop,,,,,Tussam,,,,,,,,-5.9924242,37.3821089
POINT (-5.9911275 37.3757137),Glorieta Marineros Voluntarios,,stop_position,,,,,,,,,,,,,,-5.9911275,37.3757137
POINT (-5.9888058 37.4030871),Parlamento de Andalucía - Macarena,,stop_position,,bus_stop,,,,,,,,,,,,-5.9888058,37.4030871
POINT (-5.9836499 37.3942182),María Auxiliadora (Puerta Osario),,stop_position,,traffic_signals,,,,,,,,,,,,-5.9836499,37.3942182
POINT (-5.987041 37.393612),Aparcamientos Escuelas Pías,parking,,,,,,,,,,,,,,,-5.987041,37.393612
POINT (-5.9864596 37.3930463),Plaza P. Jerónimo de Córdoba,,stop_position,,crossing,,,,,,,,yes,,,,-5.9864596,37.3930463
POINT (-5.9007475 37.4243108),,parking,,,,,,,,,,,,,,,-5.9007475,37.4243108
POINT (-5.9858667 37.3860415),Menéndez Pelayo (Puerta de La Carne),,stop_position,,,,,,,,,,,,,,-5.9858667,37.3860415
POINT (-5.9640269 37.3329587),Jardines de Hércules,,stop_position,stop,,,,,,,,,,,,,-5.9640269,37.3329587
POINT (-5.9795078 37.3776623),San Bernardo,,stop_position,stop,,,,,,,,,,,,,-5.9795078,37.3776623
POINT (-5.9870138 37.3808083),Prado San Sebastián,,stop_position,tram_stop,,,,,Tussam,,,,,,,,-5.9870138,37.3808083
POINT (-5.9938546 37.3847098),Archivo de Indias,,stop_position,tram_stop,,,,,Tussam,,,,,,,,-5.9938546,37.3847098
POINT (-5.9952513 37.3883218),Plaza Nueva,,stop_position,tram_stop,,,,,Tussam,,,,,,,,-5.9952513,37.3883218
POINT (-5.9814485 37.4338375),San Jerónimo,,stop_position,stop,,,,,,,,,,,,,-5.9814485,37.4338375
POINT (-5.9887653 37.3800997),Avenida del Cid (Consulado de Portugal),,stop_position,,,,,,,,,,,,,,-5.9887653,37.3800997
POINT (-5.9438768 37.3851265),Amor (Santa Isabel),,stop_position,,,,,,,,,,,,,,-5.9438768,37.3851265
POINT (-5.9708679 37.3141946),Carretera Isla Menor (Instituto La Grasa),,stop_position,,,,,,,,,,,,,,-5.9708679,37.3141946
POINT (-5.9716719 37.3826784),Eduardo Dato (Estadio Sánchez Pizjuan),,platform,,,,,,TUSSAM,,,,yes,,,,-5.9716719,37.3826784
POINT (-5.972896 37.382747),Eduardo Dato,,platform,,bus_stop,,,,,,,,,,,,-5.972896,37.382747
POINT (-5.9727717 37.3838139),Luis de Morales (Est. Sánchez Pizjuán),,platform,,bus_stop,,,,TUSSAM,,,,,,,,-5.9727717,37.3838139
POINT (-5.9727428 37.3856557),Luis de Morales (Luis Montoto),,platform,,bus_stop,,,,,,,,,,,,-5.9727428,37.3856557
POINT (-5.9518231 37.3940073),Montes Sierra (Santa Clara de Cuba),,stop_position,,,,,,,,,,,,,,-5.9518231,37.3940073
POINT (-5.9473567 37.397638),Montes Sierra (SE-30),,stop_position,,,,,,,,,,,,,,-5.9473567,37.397638
POINT (-5.9418759 37.4024637),Alcalde Luis Uruñuela (Los Azores),,stop_position,,,,,,,,,,,,,,-5.9418759,37.4024637
