geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-0.3660657 39.4731774),Alameda,,stop_position,stop,,,,,Metrovalencia,,,,,,,,-0.3660657,39.4731774
POINT (-0.3574556 39.4723986),Aragó,,stop_position,stop,,,,,,,,,,,,,-0.3574556,39.4723986
POINT (-0.4026173 39.4510701),Sant Isidre,,station,station,,,,,,,,,,,,,-0.4026173,39.4510701
POINT (-0.3978542 39.455039),Safranar,,stop_position,stop,,,,,,,,,limited,,,,-0.3978542,39.455039
POINT (-0.3619063 39.4780954),Facultats Manuel Broseta,,stop_position,stop,,,,,Metrovalencia,,,,,,,,-0.3619063,39.4780954
POINT (-0.3623735 39.4778165),Facultats Manuel Broseta,,,subway_entrance,,,,,,,,,no,,,,-0.3623735,39.4778165
POINT (-0.3617973 39.4776447),Facultats Manuel Broseta,,,subway_entrance,,,,,,,,,no,,,,-0.3617973,39.4776447
POINT (-0.3614142 39.4783852),Facultats Manuel Broseta,,,subway_entrance,,,,,,,,,,,,,-0.3614142,39.4783852
POINT (-0.3620124 39.4785592),Facultats Manuel Broseta,,,subway_entrance,,,,,,,,,,,,,-0.3620124,39.4785592
POINT (-0.37068 39.4701604),Colón,,stop_position,stop,,,,,Metrovalencia,,,,,,,,-0.37068,39.4701604
POINT (-0.3708839 39.4703044),Colón,,,subway_entrance,,,,,,,,,no,,,,-0.3708839,39.4703044
POINT (-0.3715438 39.4695255),Colón,,,subway_entrance,,,,,,,,,,,,,-0.3715438,39.4695255
POINT (-0.3572899 39.4833051),Vicent Zaragozà,,stop_position,tram_stop,,,,,,,,,,,,,-0.3572899,39.4833051
POINT (-0.3500137 39.4811835),Universitat Politècnica,,stop_position,tram_stop,,,,,,,,,,,,,-0.3500137,39.4811835
POINT (-0.3444999 39.479595),la Carrasca,,stop_position,tram_stop,,,,,,,,,,,,,-0.3444999,39.479595
POINT (-0.3395337 39.4781633),Tarongers Ernest Lluch,,stop_position,tram_stop,,,,,Ferrocarrils de la Generalitat Valenciana,,,,,,,,-0.3395337,39.4781633
