geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-0.8928562 41.6593259),Plaza de Europa,,stop_position,,bus_stop,,,,,,,,yes,,,,-0.8928562,41.6593259
POINT (-0.891808 41.6590494),Plaza de Europa,,stop_position,,bus_stop,,,,,,,,,,,,-0.891808,41.6590494
POINT (-0.9004734 41.6449659),Avda. San Juan Bosco 10,,platform,,bus_stop,,,,,,,,yes,,,,-0.9004734,41.6449659
POINT (-0.9111034 41.6595044),Estación Delicias / Acceso Estación Autobuses,,stop_position,,,,,,,,,,,,,,-0.9111034,41.6595044
POINT (-0.8905882 41.6697116),Clara Campoamor,,stop_position,tram_stop,,,,,Sociedad de Economía Mixta Los Tranvías de Zaragoza,,,,yes,,,,-0.8905882,41.6697116
POINT (-0.8807566 41.6657918),Avenida de los Pirineos / Valle de Broto,,stop_position,,,,,,,,,,,,,,-0.8807566,41.6657918
POINT (-0.8810664 41.6628208),Av. Pirineos / Colegio Moliere,,platform,,bus_stop,,,,,,,,,,,,-0.8810664,41.6628208
POINT (-0.9100716 41.6584062),Zaragoza-Delicias,,stop_position,stop,,,,,,,,,,,,,-0.9100716,41.6584062
POINT (-0.8909936 41.6514146),Paseo María Agustín 37,,platform,,bus_stop,,,,,,,,yes,,,,-0.8909936,41.6514146
POINT (-0.8842992 41.6486252),Plaza Aragón 1,,platform,,bus_stop,,,,,,,,yes,,,,-0.8842992,41.6486252
POINT (-0.8861642 41.6314369),Plaza de las Canteras,,platform,,bus_stop,,,,,,,,yes,,,,-0.8861642,41.6314369
POINT (-0.8745169 41.6394517),Avda. San José 70,,platform,,bus_stop,,,,,,,,,,,,-0.8745169,41.6394517
POINT (-0.8906476 41.6702206),Gómez Avellaneda 47,,stop_position,,bus_stop,,,,,,,,yes,,,,-0.8906476,41.6702206
POINT (-0.8895701 41.6838716),Campus Río Ebro,,stop_position,,bus_stop,,,,,,,,limited,,,,-0.8895701,41.6838716
POINT (-0.8937134 41.6548827),Paseo María Agustín 67,,platform,,bus_stop,,,,,,,,yes,,,,-0.8937134,41.6548827
POINT (-0.8886123 41.6500827),Paseo María Agustín 7 / Puerta del Carmen,,platform,,bus_stop,,,,,,,,yes,,,,-0.8886123,41.6500827
POINT (-0.8872128 41.648899),Paseo Pamplona 15,,platform,,bus_stop,,,,,,,,yes,,,,-0.8872128,41.648899
POINT (-0.9113534 41.6595135),Estación Central de Autobuses de Zaragoza,,stop_position,,,,,,,,,,,,,,-0.9113534,41.6595135
POINT (-0.9094804 41.6590531),Estación Delicias / Acceso Salidas,,stop_position,,,,,,,,,,,,,,-0.9094804,41.6590531
POINT (-0.9097277 41.6543788),Rioja / Parque Castillo Palomar,,stop_position,,bus_stop,,,,,,,,,,,,-0.9097277,41.6543788
POINT (-0.8725301 41.6451443),Avenida de San José 10,,platform,,bus_stop,,,,,,,,,,,,-0.8725301,41.6451443
POINT (-0.8735491 41.6409243),Avda. San José 66,,platform,,bus_stop,,,,,,,,yes,,,,-0.8735491,41.6409243
POINT (-0.9016042 41.6546096),Avenida de Navarra 1-3,,platform,,bus_stop,,,,,,,,,,,,-0.9016042,41.6546096
POINT (-0.8866521 41.6480803),Paseo Pamplona 1 / Plaza Paraíso,,platform,,bus_stop,,,,,,,,yes,,,,-0.8866521,41.6480803
POINT (-0.8818668 41.6478289),Paseo Constitución 16,,stop_position,,bus_stop,,,,,,,,yes,,,,-0.8818668,41.6478289
POINT (-0.8747663 41.6410006),Av. Cesáreo Alierta 44 / Av. de San José,,stop_position,,,,,,,,,,,,,,-0.8747663,41.6410006
POINT (-0.8856908 41.642045),Avenida Tenor Fleta 3,,stop_position,,,,,,,,,,,,,,-0.8856908,41.642045
POINT (-0.8854669 41.6456957),Glorieta Sasera,,platform,,bus_stop,,,,,,,,yes,,,,-0.8854669,41.6456957
POINT (-0.8838995 41.6552079),César Augusto,,stop_position,tram_stop,,,,,Sociedad de Economía Mixta Los Tranvías de Zaragoza,,,,yes,,,,-0.8838995,41.6552079
POINT (-0.8609622 41.6578258),Marqués de La Cadena / C.D.M. La Jota,,stop_position,,bus_stop,,,,,,,,,,,,-0.8609622,41.6578258
POINT (-0.8873363 41.6644478),Valle de Broto / Virginia Woolf,,stop_position,,,,,,,,,,,,,,-0.8873363,41.6644478
POINT (-0.8865822 41.6648129),Valle de Broto / Gertrudis Gómez de Avellaneda,,stop_position,,bus_stop,,,,,,,,yes,,,,-0.8865822,41.6648129
POINT (-0.8871248 41.6251825),Av. América / 3er Cinturón,,platform,,bus_stop,,,,,,,,yes,,,,-0.8871248,41.6251825
POINT (-0.8865199 41.6384651),Plaza Diego Velázquez / Parque Pignatelli,,platform,,bus_stop,,,,,,,,yes,,,,-0.8865199,41.6384651
POINT (-0.9051842 41.622253),Paseo Infantes de España 6,,stop_position,,,,,,,,,,,,,,-0.9051842,41.622253
POINT (-0.8958501 41.6555787),Avenida de Madrid / Aljafería,,platform,,bus_stop,,,,,,,,yes,,,,-0.8958501,41.6555787
POINT (-0.8722822 41.6370368),,parking,,,,,,,,,,,,,,,-0.8722822,41.6370368
