geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-3.7209928 40.4210046),,,stop_position,,,,,,,,,,,,,,-3.7209928,40.4210046
POINT (-3.6121729 40.4224813),Avenida de Guadalajara,,stop_position,stop,,,,,Metro de Madrid,,,,yes,,,,-3.6121729,40.4224813
POINT (-3.7339956 40.433724),,,stop_position,,,,,,,,,,,,,,-3.7339956,40.433724
POINT (-3.6886884 40.4076811),,,stop_position,,,,,,,,,,,,,,-3.6886884,40.4076811
POINT (-3.7622321 40.3859571),,,stop_position,,,,,,,,,,,,,,-3.7622321,40.3859571
POINT (-3.7447041 40.407775),Paseo de Extremadura-El Greco,,stop_position,,,,,,,,,,,,,,-3.7447041,40.407775
POINT (-3.7592549 40.3852597),Ocaña-Intercambiador de Aluche,,stop_position,,,,,,,,,,,,,,-3.7592549,40.3852597
POINT (-3.7600903 40.3865216),Intercambiador de Aluche,,platform,,bus_stop,,,,,,,,,,,,-3.7600903,40.3865216
POINT (-3.7550868 40.3841046),Ocaña-Diamante,,stop_position,,,,,,,,,,,,,,-3.7550868,40.3841046
POINT (-3.7517676 40.3864453),,,stop_position,,,,,,,,,,,,,,-3.7517676,40.3864453
POINT (-3.7487325 40.3783938),,,stop_position,,,,,,,,,,,,,,-3.7487325,40.3783938
POINT (-3.7391582 40.3846978),,,stop_position,,,,,,,,,,,,,,-3.7391582,40.3846978
POINT (-3.7581055 40.3826002),,,stop_position,,,,,,,,,,,,,,-3.7581055,40.3826002
POINT (-3.7595524 40.3867572),,,stop_position,,,,,,,,,,,,,,-3.7595524,40.3867572
POINT (-3.7510838 40.3844291),Eugenia de Montijo,,stop_position,stop,,,,,Metro de Madrid,,,,yes,,,,-3.7510838,40.3844291
POINT (-3.7654716 40.3907288),Empalme,,stop_position,stop,,,,,Metro de Madrid,,,,yes,,,,-3.7654716,40.3907288
POINT (-3.7608635 40.4034711),Casa de Campo,,stop_position,stop,,,,,Metro de Madrid,,,,yes,,,,-3.7608635,40.4034711
POINT (-3.7531106 40.4078337),Batán,,stop_position,stop,,,,,Metro de Madrid,,,,yes,,,,-3.7531106,40.4078337
POINT (-3.7350259 40.4164656),Lago,,stop_position,stop,,,,,Metro de Madrid,,,,yes,,,,-3.7350259,40.4164656
POINT (-3.6078911 40.4325743),Las Musas,,stop_position,stop,,,,,Metro de Madrid,,,,no,,,,-3.6078911,40.4325743
POINT (-3.703897 40.4169107),Sol,,stop_position,stop,,,,,Metro de Madrid,,,,yes,,,,-3.703897,40.4169107
POINT (-3.5941372 40.4536101),El Capricho,,stop_position,stop,,,,,Metro de Madrid,,,,yes,,,,-3.5941372,40.4536101
POINT (-3.7748334 40.3968649),Colonia Jardín,,stop_position,stop,,,,,Metro de Madrid,,,,yes,,,,-3.7748334,40.3968649
POINT (-3.708072 40.4117597),La Latina,,stop_position,stop,,,,,Metro de Madrid,,,,no,,,,-3.708072,40.4117597
POINT (-3.7111052 40.407048),Puerta de Toledo,,stop_position,stop,,,,,Metro de Madrid,,,,no,,,,-3.7111052,40.407048
POINT (-3.7110335 40.4026876),Pirámides,,stop_position,stop,,,,,Metro de Madrid,,,,yes,,,,-3.7110335,40.4026876
